,Net_Artikels
2020-01-05,619.0
2020-01-12,720.0
2020-01-19,930.0
2020-01-26,1064.0
2020-02-02,1072.0
2020-02-09,1190.0
2020-02-16,1230.0
2020-02-23,1360.0
2020-03-01,1403.0
2020-03-08,1429.0
2020-03-15,1494.0
2020-03-22,1603.0
2020-03-29,1678.0
2020-04-05,1732.0
2020-04-12,1939.0
2020-04-19,1933.0
2020-04-26,1687.0
2020-05-03,1634.0
2020-05-10,1749.0
2020-05-17,1662.0
2020-05-24,1682.0
2020-05-31,1702.0
2020-06-07,1850.0
2020-06-14,1971.0
2020-06-21,2069.0
2020-06-28,2314.0
2020-07-05,2295.0
2020-07-12,2279.0
2020-07-19,2094.0
2020-07-26,2034.0
2020-08-02,1683.0
2020-08-09,1383.0
2020-08-16,1324.0
2020-08-23,1377.0
2020-08-30,1638.0
2020-09-06,1694.0
2020-09-13,1918.0
2020-09-20,2017.0
2020-09-27,2061.0
2020-10-04,2045.0
2020-10-11,2063.0
2020-10-18,2105.0
2020-10-25,2132.0
2020-11-01,2068.0
2020-11-08,2007.0
2020-11-15,1924.0
2020-11-22,1938.0
2020-11-29,1903.0
2020-12-06,1868.0
2020-12-13,1688.0
2020-12-20,1515.0
2020-12-27,1368.0
