,Net_Artikels,Max,Min
2021-01-03,759.0,1009.0,509.0
2021-01-10,788.0,1038.0,538.0
2021-01-17,1188.0,1438.0,938.0
2021-01-24,1245.0,1495.0,995.0
2021-01-31,1271.0,1521.0,1021.0
2021-02-07,1403.0,1653.0,1153.0
2021-02-14,1499.0,1749.0,1249.0
2021-02-21,1640.0,1890.0,1390.0
2021-02-28,1649.0,1899.0,1399.0
2021-03-07,1675.0,1925.0,1425.0
2021-03-14,1792.0,2042.0,1542.0
2021-03-21,1812.0,2062.0,1562.0
2021-03-28,1824.0,2074.0,1574.0
2021-04-04,1838.0,2088.0,1588.0
2021-04-11,1985.0,2235.0,1735.0
2021-04-18,1976.0,2226.0,1726.0
2021-04-25,1896.0,2146.0,1646.0
2021-05-02,1798.0,2048.0,1548.0
2021-05-09,1820.0,2070.0,1570.0
2021-05-16,1786.0,2036.0,1536.0
2021-05-23,1814.0,2064.0,1564.0
2021-05-30,1775.0,2025.0,1525.0
2021-06-06,1879.0,2129.0,1629.0
2021-06-13,2006.0,2256.0,1756.0
2021-06-20,2015.0,2265.0,1765.0
2021-06-27,2209.0,2459.0,1959.0
2021-07-04,2314.0,2564.0,2064.0
2021-07-11,2414.0,2664.0,2164.0
2021-07-18,2324.0,2574.0,2074.0
2021-07-25,2198.0,2448.0,1948.0
2021-08-01,1696.0,1946.0,1446.0
2021-08-08,1357.0,1607.0,1107.0
2021-08-15,1304.0,1554.0,1054.0
2021-08-22,1304.0,1554.0,1054.0
2021-08-29,1557.0,1807.0,1307.0
2021-09-05,1678.0,1928.0,1428.0
2021-09-12,1799.0,2049.0,1549.0
2021-09-19,1922.0,2172.0,1672.0
2021-09-26,1991.0,2241.0,1741.0
2021-10-03,2005.0,2255.0,1755.0
2021-10-10,2082.0,2332.0,1832.0
2021-10-17,2090.0,2340.0,1840.0
2021-10-24,2058.0,2308.0,1808.0
2021-10-31,2038.0,2288.0,1788.0
2021-11-07,1987.0,2237.0,1737.0
2021-11-14,1865.0,2115.0,1615.0
2021-11-21,1904.0,2154.0,1654.0
2021-11-28,1882.0,2132.0,1632.0
2021-12-05,1902.0,2152.0,1652.0
2021-12-12,1731.0,1981.0,1481.0
2021-12-19,1588.0,1838.0,1338.0
2021-12-26,1341.0,1591.0,1091.0
