,Net_Artikels,Max,Min
2020-01-05,2311.0,2811.0,1811.0
2020-01-12,2557.0,3057.0,2057.0
2020-01-19,3304.0,3804.0,2804.0
2020-01-26,3652.0,4152.0,3152.0
2020-02-02,3706.0,4206.0,3206.0
2020-02-09,3961.0,4461.0,3461.0
2020-02-16,4113.0,4613.0,3613.0
2020-02-23,4430.0,4930.0,3930.0
2020-03-01,4677.0,5177.0,4177.0
2020-03-08,4760.0,5260.0,4260.0
2020-03-15,4897.0,5397.0,4397.0
2020-03-22,5156.0,5656.0,4656.0
2020-03-29,5399.0,5899.0,4899.0
2020-04-05,5478.0,5978.0,4978.0
2020-04-12,5636.0,6136.0,5136.0
2020-04-19,5596.0,6096.0,5096.0
2020-04-26,5479.0,5979.0,4979.0
2020-05-03,5520.0,6020.0,5020.0
2020-05-10,5565.0,6065.0,5065.0
2020-05-17,5548.0,6048.0,5048.0
2020-05-24,5590.0,6090.0,5090.0
2020-05-31,5636.0,6136.0,5136.0
2020-06-07,5523.0,6023.0,5023.0
2020-06-14,5727.0,6227.0,5227.0
2020-06-21,5654.0,6154.0,5154.0
2020-06-28,5795.0,6295.0,5295.0
2020-07-05,5940.0,6440.0,5440.0
2020-07-12,5868.0,6368.0,5368.0
2020-07-19,5642.0,6142.0,5142.0
2020-07-26,5353.0,5853.0,4853.0
2020-08-02,4786.0,5286.0,4286.0
2020-08-09,4111.0,4611.0,3611.0
2020-08-16,3782.0,4282.0,3282.0
2020-08-23,4150.0,4650.0,3650.0
2020-08-30,4854.0,5354.0,4354.0
2020-09-06,5267.0,5767.0,4767.0
2020-09-13,5544.0,6044.0,5044.0
2020-09-20,5955.0,6455.0,5455.0
2020-09-27,6255.0,6755.0,5755.0
2020-10-04,6285.0,6785.0,5785.0
2020-10-11,6295.0,6795.0,5795.0
2020-10-18,6525.0,7025.0,6025.0
2020-10-25,6671.0,7171.0,6171.0
2020-11-01,6657.0,7157.0,6157.0
2020-11-08,6655.0,7155.0,6155.0
2020-11-15,6439.0,6939.0,5939.0
2020-11-22,6400.0,6900.0,5900.0
2020-11-29,6399.0,6899.0,5899.0
2020-12-06,6182.0,6682.0,5682.0
2020-12-13,5686.0,6186.0,5186.0
2020-12-20,5145.0,5645.0,4645.0
2020-12-27,4535.0,5035.0,4035.0
