,Net_Artikels
2022-12-25,7140.0
2023-01-01,4443.0
2023-01-08,3201.0
2023-01-15,4990.0
2023-01-22,5876.0
2023-01-29,6041.0
2023-02-05,6140.0
2023-02-12,6370.0
2023-02-19,6483.0
2023-02-26,6945.0
2023-03-05,7525.0
2023-03-12,7769.0
2023-03-19,8156.0
2023-03-26,8248.0
2023-04-02,8466.0
2023-04-09,8804.0
2023-04-16,8928.0
2023-04-23,8868.0
2023-04-30,8720.0
2023-05-07,8889.0
2023-05-14,9057.0
2023-05-21,9098.0
2023-05-28,9163.0
2023-06-04,8989.0
2023-06-11,9368.0
2023-06-18,9613.0
2023-06-25,9759.0
2023-07-02,9953.0
2023-07-09,9924.0
2023-07-16,9750.0
2023-07-23,9353.0
2023-07-30,8462.0
2023-08-06,6946.0
2023-08-13,5884.0
2023-08-20,6112.0
2023-08-27,7975.0
2023-09-03,9642.0
2023-09-10,10381.0
2023-09-17,10647.0
2023-09-24,11321.0
2023-10-01,11395.0
2023-10-08,11505.0
2023-10-15,12088.0
2023-10-22,11977.0
2023-10-29,11799.0
2023-11-05,11980.0
2023-11-12,11979.0
2023-11-19,11838.0
2023-11-26,11820.0
2023-12-03,11711.0
2023-12-10,11316.0
2023-12-17,11156.0
