,Net_Artikels,Max,Min
2020-01-05,6783.0,8783.0,4783.0
2020-01-12,8552.0,10552.0,6552.0
2020-01-19,10751.0,12751.0,8751.0
2020-01-26,11440.0,13440.0,9440.0
2020-02-02,11915.0,13915.0,9915.0
2020-02-09,12547.0,14547.0,10547.0
2020-02-16,12495.0,14495.0,10495.0
2020-02-23,13359.0,15359.0,11359.0
2020-03-01,14169.0,16169.0,12169.0
2020-03-08,14180.0,16180.0,12180.0
2020-03-15,15189.0,17189.0,13189.0
2020-03-22,16088.0,18088.0,14088.0
2020-03-29,16321.0,18321.0,14321.0
2020-04-05,16789.0,18789.0,14789.0
2020-04-12,18025.0,20025.0,16025.0
2020-04-19,17736.0,19736.0,15736.0
2020-04-26,17457.0,19457.0,15457.0
2020-05-03,17225.0,19225.0,15225.0
2020-05-10,17381.0,19381.0,15381.0
2020-05-17,17510.0,19510.0,15510.0
2020-05-24,17578.0,19578.0,15578.0
2020-05-31,17443.0,19443.0,15443.0
2020-06-07,18082.0,20082.0,16082.0
2020-06-14,18585.0,20585.0,16585.0
2020-06-21,19068.0,21068.0,17068.0
2020-06-28,19765.0,21765.0,17765.0
2020-07-05,20303.0,22303.0,18303.0
2020-07-12,19823.0,21823.0,17823.0
2020-07-19,19611.0,21611.0,17611.0
2020-07-26,18419.0,20419.0,16419.0
2020-08-02,16885.0,18885.0,14885.0
2020-08-09,13914.0,15914.0,11914.0
2020-08-16,13482.0,15482.0,11482.0
2020-08-23,15165.0,17165.0,13165.0
2020-08-30,16993.0,18993.0,14993.0
2020-09-06,18128.0,20128.0,16128.0
2020-09-13,19554.0,21554.0,17554.0
2020-09-20,21222.0,23222.0,19222.0
2020-09-27,21067.0,23067.0,19067.0
2020-10-04,20760.0,22760.0,18760.0
2020-10-11,20817.0,22817.0,18817.0
2020-10-18,21390.0,23390.0,19390.0
2020-10-25,21133.0,23133.0,19133.0
2020-11-01,20860.0,22860.0,18860.0
2020-11-08,20239.0,22239.0,18239.0
2020-11-15,19727.0,21727.0,17727.0
2020-11-22,19433.0,21433.0,17433.0
2020-11-29,19286.0,21286.0,17286.0
2020-12-06,18584.0,20584.0,16584.0
2020-12-13,16554.0,18554.0,14554.0
2020-12-20,15304.0,17304.0,13304.0
2020-12-27,12013.0,14013.0,10013.0
