,Net_Artikels,Max,Min
2022-12-25,124.0,149.0,99.0
2023-01-01,95.0,120.0,70.0
2023-01-08,82.0,107.0,57.0
2023-01-15,104.0,129.0,79.0
2023-01-22,111.0,136.0,86.0
2023-01-29,116.0,141.0,91.0
2023-02-05,117.0,142.0,92.0
2023-02-12,121.0,146.0,96.0
2023-02-19,116.0,141.0,91.0
2023-02-26,122.0,147.0,97.0
2023-03-05,124.0,149.0,99.0
2023-03-12,135.0,160.0,110.0
2023-03-19,143.0,168.0,118.0
2023-03-26,156.0,181.0,131.0
2023-04-02,153.0,178.0,128.0
2023-04-09,159.0,184.0,134.0
2023-04-16,160.0,185.0,135.0
2023-04-23,163.0,188.0,138.0
2023-04-30,163.0,188.0,138.0
2023-05-07,153.0,178.0,128.0
2023-05-14,158.0,183.0,133.0
2023-05-21,158.0,183.0,133.0
2023-05-28,151.0,176.0,126.0
2023-06-04,146.0,171.0,121.0
2023-06-11,154.0,179.0,129.0
2023-06-18,158.0,183.0,133.0
2023-06-25,167.0,192.0,142.0
2023-07-02,180.0,205.0,155.0
2023-07-09,179.0,204.0,154.0
2023-07-16,173.0,198.0,148.0
2023-07-23,164.0,189.0,139.0
2023-07-30,157.0,182.0,132.0
2023-08-06,133.0,158.0,108.0
2023-08-13,125.0,150.0,100.0
2023-08-20,128.0,153.0,103.0
2023-08-27,146.0,171.0,121.0
2023-09-03,162.0,187.0,137.0
2023-09-10,169.0,194.0,144.0
2023-09-17,173.0,198.0,148.0
2023-09-24,156.0,181.0,131.0
2023-10-01,160.0,185.0,135.0
2023-10-08,158.0,183.0,133.0
2023-10-15,162.0,187.0,137.0
2023-10-22,163.0,188.0,138.0
2023-10-29,167.0,192.0,142.0
2023-11-05,156.0,181.0,131.0
2023-11-12,158.0,183.0,133.0
2023-11-19,152.0,177.0,127.0
2023-11-26,148.0,173.0,123.0
2023-12-03,143.0,168.0,118.0
2023-12-10,142.0,167.0,117.0
2023-12-17,134.0,159.0,109.0
