,Net_Artikels
2021-01-03,121.0
2021-01-10,125.0
2021-01-17,131.0
2021-01-24,131.0
2021-01-31,133.0
2021-02-07,131.0
2021-02-14,133.0
2021-02-21,137.0
2021-02-28,139.0
2021-03-07,139.0
2021-03-14,148.0
2021-03-21,158.0
2021-03-28,161.0
2021-04-04,159.0
2021-04-11,170.0
2021-04-18,167.0
2021-04-25,163.0
2021-05-02,164.0
2021-05-09,162.0
2021-05-16,164.0
2021-05-23,163.0
2021-05-30,162.0
2021-06-06,161.0
2021-06-13,168.0
2021-06-20,168.0
2021-06-27,174.0
2021-07-04,179.0
2021-07-11,174.0
2021-07-18,170.0
2021-07-25,162.0
2021-08-01,157.0
2021-08-08,152.0
2021-08-15,156.0
2021-08-22,161.0
2021-08-29,166.0
2021-09-05,167.0
2021-09-12,173.0
2021-09-19,185.0
2021-09-26,190.0
2021-10-03,188.0
2021-10-10,189.0
2021-10-17,188.0
2021-10-24,184.0
2021-10-31,180.0
2021-11-07,175.0
2021-11-14,179.0
2021-11-21,176.0
2021-11-28,174.0
2021-12-05,173.0
2021-12-12,170.0
2021-12-19,159.0
2021-12-26,146.0
