,Net_Artikels,Max,Min
2022-01-16,3387.0,3637.0,3137.0
2022-01-23,3776.0,4026.0,3526.0
2022-01-30,3883.0,4133.0,3633.0
2022-02-06,4163.0,4413.0,3913.0
2022-02-13,4325.0,4575.0,4075.0
2022-02-20,4413.0,4663.0,4163.0
2022-02-27,4754.0,5004.0,4504.0
2022-03-06,5234.0,5484.0,4984.0
2022-03-13,5373.0,5623.0,5123.0
2022-03-20,5413.0,5663.0,5163.0
2022-03-27,5449.0,5699.0,5199.0
2022-04-03,5586.0,5836.0,5336.0
2022-04-10,5610.0,5860.0,5360.0
2022-04-17,5554.0,5804.0,5304.0
2022-04-24,5667.0,5917.0,5417.0
2022-05-01,5571.0,5821.0,5321.0
2022-05-08,5556.0,5806.0,5306.0
2022-05-15,5632.0,5882.0,5382.0
2022-05-22,5639.0,5889.0,5389.0
2022-05-29,5504.0,5754.0,5254.0
2022-06-05,5495.0,5745.0,5245.0
2022-06-12,5728.0,5978.0,5478.0
2022-06-19,5794.0,6044.0,5544.0
2022-06-26,6005.0,6255.0,5755.0
2022-07-03,5951.0,6201.0,5701.0
2022-07-10,6008.0,6258.0,5758.0
2022-07-17,5821.0,6071.0,5571.0
2022-07-24,5785.0,6035.0,5535.0
2022-07-31,5232.0,5482.0,4982.0
2022-08-07,3953.0,4203.0,3703.0
2022-08-14,3303.0,3553.0,3053.0
2022-08-21,3340.0,3590.0,3090.0
2022-08-28,4101.0,4351.0,3851.0
2022-09-04,4795.0,5045.0,4545.0
2022-09-11,5041.0,5291.0,4791.0
2022-09-18,5295.0,5545.0,5045.0
2022-09-25,5437.0,5687.0,5187.0
2022-10-02,5599.0,5849.0,5349.0
2022-10-09,5768.0,6018.0,5518.0
2022-10-16,5973.0,6223.0,5723.0
2022-10-23,6168.0,6418.0,5918.0
2022-10-30,6196.0,6446.0,5946.0
2022-11-06,6185.0,6435.0,5935.0
2022-11-13,6038.0,6288.0,5788.0
2022-11-20,5915.0,6165.0,5665.0
2022-11-27,5828.0,6078.0,5578.0
2022-12-04,5801.0,6051.0,5551.0
2022-12-11,5625.0,5875.0,5375.0
2022-12-18,5424.0,5674.0,5174.0
2022-12-25,4786.0,5036.0,4536.0
2023-01-01,3182.0,3432.0,2932.0
2023-01-08,2050.0,2300.0,1800.0
