,Net_Artikels
2022-01-16,3387.0
2022-01-23,3776.0
2022-01-30,3883.0
2022-02-06,4163.0
2022-02-13,4325.0
2022-02-20,4413.0
2022-02-27,4754.0
2022-03-06,5234.0
2022-03-13,5373.0
2022-03-20,5413.0
2022-03-27,5449.0
2022-04-03,5586.0
2022-04-10,5610.0
2022-04-17,5554.0
2022-04-24,5667.0
2022-05-01,5571.0
2022-05-08,5556.0
2022-05-15,5632.0
2022-05-22,5639.0
2022-05-29,5504.0
2022-06-05,5495.0
2022-06-12,5728.0
2022-06-19,5794.0
2022-06-26,6005.0
2022-07-03,5951.0
2022-07-10,6008.0
2022-07-17,5821.0
2022-07-24,5785.0
2022-07-31,5232.0
2022-08-07,3953.0
2022-08-14,3303.0
2022-08-21,3340.0
2022-08-28,4101.0
2022-09-04,4795.0
2022-09-11,5041.0
2022-09-18,5295.0
2022-09-25,5437.0
2022-10-02,5599.0
2022-10-09,5768.0
2022-10-16,5973.0
2022-10-23,6168.0
2022-10-30,6196.0
2022-11-06,6185.0
2022-11-13,6038.0
2022-11-20,5915.0
2022-11-27,5828.0
2022-12-04,5801.0
2022-12-11,5625.0
2022-12-18,5424.0
2022-12-25,4786.0
2023-01-01,3182.0
2023-01-08,2050.0
