,Net_Artikels,Max,Min
2023-01-08,10034.0,12034.0,8034.0
2023-01-15,14646.0,16646.0,12646.0
2023-01-22,17017.0,19017.0,15017.0
2023-01-29,18448.0,20448.0,16448.0
2023-02-05,19964.0,21964.0,17964.0
2023-02-12,20582.0,22582.0,18582.0
2023-02-19,20539.0,22539.0,18539.0
2023-02-26,21669.0,23669.0,19669.0
2023-03-05,22636.0,24636.0,20636.0
2023-03-12,23402.0,25402.0,21402.0
2023-03-19,24749.0,26749.0,22749.0
2023-03-26,25001.0,27001.0,23001.0
2023-04-02,25640.0,27640.0,23640.0
2023-04-09,25643.0,27643.0,23643.0
2023-04-16,24964.0,26964.0,22964.0
2023-04-23,24971.0,26971.0,22971.0
2023-04-30,24330.0,26330.0,22330.0
2023-05-07,23766.0,25766.0,21766.0
2023-05-14,23683.0,25683.0,21683.0
2023-05-21,24091.0,26091.0,22091.0
2023-05-28,23344.0,25344.0,21344.0
2023-06-04,23100.0,25100.0,21100.0
2023-06-11,23654.0,25654.0,21654.0
2023-06-18,24736.0,26736.0,22736.0
2023-06-25,25357.0,27357.0,23357.0
2023-07-02,25678.0,27678.0,23678.0
2023-07-09,25354.0,27354.0,23354.0
2023-07-16,25076.0,27076.0,23076.0
2023-07-23,24186.0,26186.0,22186.0
2023-07-30,21970.0,23970.0,19970.0
2023-08-06,18389.0,20389.0,16389.0
2023-08-13,16424.0,18424.0,14424.0
2023-08-20,16625.0,18625.0,14625.0
2023-08-27,19025.0,21025.0,17025.0
2023-09-03,21957.0,23957.0,19957.0
2023-09-10,23970.0,25970.0,21970.0
2023-09-17,24644.0,26644.0,22644.0
2023-09-24,25096.0,27096.0,23096.0
2023-10-01,26123.0,28123.0,24123.0
2023-10-08,26948.0,28948.0,24948.0
2023-10-15,27201.0,29201.0,25201.0
2023-10-22,27400.0,29400.0,25400.0
2023-10-29,27099.0,29099.0,25099.0
2023-11-05,27217.0,29217.0,25217.0
2023-11-12,26644.0,28644.0,24644.0
2023-11-19,26290.0,28290.0,24290.0
2023-11-26,26199.0,28199.0,24199.0
2023-12-03,25483.0,27483.0,23483.0
2023-12-10,24582.0,26582.0,22582.0
2023-12-17,23555.0,25555.0,21555.0
2023-12-24,20575.0,22575.0,18575.0
2023-12-31,14732.0,16732.0,12732.0
