,Net_Artikels,Max,Min
2022-12-25,3644.0,4144.0,3144.0
2023-01-01,2694.0,3194.0,2194.0
2023-01-08,1869.0,2369.0,1369.0
2023-01-15,2928.0,3428.0,2428.0
2023-01-22,3414.0,3914.0,2914.0
2023-01-29,3432.0,3932.0,2932.0
2023-02-05,3464.0,3964.0,2964.0
2023-02-12,3510.0,4010.0,3010.0
2023-02-19,3443.0,3943.0,2943.0
2023-02-26,3577.0,4077.0,3077.0
2023-03-05,3853.0,4353.0,3353.0
2023-03-12,3973.0,4473.0,3473.0
2023-03-19,4209.0,4709.0,3709.0
2023-03-26,4193.0,4693.0,3693.0
2023-04-02,4223.0,4723.0,3723.0
2023-04-09,4386.0,4886.0,3886.0
2023-04-16,4356.0,4856.0,3856.0
2023-04-23,4428.0,4928.0,3928.0
2023-04-30,4488.0,4988.0,3988.0
2023-05-07,4665.0,5165.0,4165.0
2023-05-14,4773.0,5273.0,4273.0
2023-05-21,4719.0,5219.0,4219.0
2023-05-28,4649.0,5149.0,4149.0
2023-06-04,4542.0,5042.0,4042.0
2023-06-11,4619.0,5119.0,4119.0
2023-06-18,4893.0,5393.0,4393.0
2023-06-25,5171.0,5671.0,4671.0
2023-07-02,5347.0,5847.0,4847.0
2023-07-09,5252.0,5752.0,4752.0
2023-07-16,5141.0,5641.0,4641.0
2023-07-23,5024.0,5524.0,4524.0
2023-07-30,4823.0,5323.0,4323.0
2023-08-06,4143.0,4643.0,3643.0
2023-08-13,3273.0,3773.0,2773.0
2023-08-20,3300.0,3800.0,2800.0
2023-08-27,3943.0,4443.0,3443.0
2023-09-03,4523.0,5023.0,4023.0
2023-09-10,4738.0,5238.0,4238.0
2023-09-17,4906.0,5406.0,4406.0
2023-09-24,5133.0,5633.0,4633.0
2023-10-01,5117.0,5617.0,4617.0
2023-10-08,5027.0,5527.0,4527.0
2023-10-15,5353.0,5853.0,4853.0
2023-10-22,5393.0,5893.0,4893.0
2023-10-29,5473.0,5973.0,4973.0
2023-11-05,5451.0,5951.0,4951.0
2023-11-12,5321.0,5821.0,4821.0
2023-11-19,5268.0,5768.0,4768.0
2023-11-26,5056.0,5556.0,4556.0
2023-12-03,4922.0,5422.0,4422.0
2023-12-10,4768.0,5268.0,4268.0
2023-12-17,4363.0,4863.0,3863.0
