,Net_Artikels
2022-01-02,2181.0
2022-01-09,1949.0
2022-01-16,3164.0
2022-01-23,3408.0
2022-01-30,3379.0
2022-02-06,3457.0
2022-02-13,3463.0
2022-02-20,3436.0
2022-02-27,3689.0
2022-03-06,3957.0
2022-03-13,4070.0
2022-03-20,4293.0
2022-03-27,4288.0
2022-04-03,4503.0
2022-04-10,4598.0
2022-04-17,4611.0
2022-04-24,4623.0
2022-05-01,4623.0
2022-05-08,4636.0
2022-05-15,4789.0
2022-05-22,4774.0
2022-05-29,4751.0
2022-06-05,4710.0
2022-06-12,4955.0
2022-06-19,5088.0
2022-06-26,5396.0
2022-07-03,5316.0
2022-07-10,5023.0
2022-07-17,4855.0
2022-07-24,4893.0
2022-07-31,4553.0
2022-08-07,3744.0
2022-08-14,3363.0
2022-08-21,3572.0
2022-08-28,4071.0
2022-09-04,4472.0
2022-09-11,4640.0
2022-09-18,4864.0
2022-09-25,5115.0
2022-10-02,5119.0
2022-10-09,5110.0
2022-10-16,5469.0
2022-10-23,5426.0
2022-10-30,5489.0
2022-11-06,5367.0
2022-11-13,5097.0
2022-11-20,5162.0
2022-11-27,4996.0
2022-12-04,4925.0
2022-12-11,4631.0
2022-12-18,4280.0
2022-12-25,3351.0
