,Net_Artikels,Max,Min
2022-12-25,2660.0,2910.0,2410.0
2023-01-01,1869.0,2119.0,1619.0
2023-01-08,1292.0,1542.0,1042.0
2023-01-15,1837.0,2087.0,1587.0
2023-01-22,2186.0,2436.0,1936.0
2023-01-29,2301.0,2551.0,2051.0
2023-02-05,2284.0,2534.0,2034.0
2023-02-12,2283.0,2533.0,2033.0
2023-02-19,2316.0,2566.0,2066.0
2023-02-26,2433.0,2683.0,2183.0
2023-03-05,2674.0,2924.0,2424.0
2023-03-12,2826.0,3076.0,2576.0
2023-03-19,2936.0,3186.0,2686.0
2023-03-26,2954.0,3204.0,2704.0
2023-04-02,3008.0,3258.0,2758.0
2023-04-09,3137.0,3387.0,2887.0
2023-04-16,3167.0,3417.0,2917.0
2023-04-23,3245.0,3495.0,2995.0
2023-04-30,3251.0,3501.0,3001.0
2023-05-07,3293.0,3543.0,3043.0
2023-05-14,3342.0,3592.0,3092.0
2023-05-21,3360.0,3610.0,3110.0
2023-05-28,3277.0,3527.0,3027.0
2023-06-04,3241.0,3491.0,2991.0
2023-06-11,3322.0,3572.0,3072.0
2023-06-18,3532.0,3782.0,3282.0
2023-06-25,3767.0,4017.0,3517.0
2023-07-02,3903.0,4153.0,3653.0
2023-07-09,3938.0,4188.0,3688.0
2023-07-16,3814.0,4064.0,3564.0
2023-07-23,3658.0,3908.0,3408.0
2023-07-30,3433.0,3683.0,3183.0
2023-08-06,3106.0,3356.0,2856.0
2023-08-13,2553.0,2803.0,2303.0
2023-08-20,2611.0,2861.0,2361.0
2023-08-27,3211.0,3461.0,2961.0
2023-09-03,3781.0,4031.0,3531.0
2023-09-10,3979.0,4229.0,3729.0
2023-09-17,3917.0,4167.0,3667.0
2023-09-24,3691.0,3941.0,3441.0
2023-10-01,3658.0,3908.0,3408.0
2023-10-08,3661.0,3911.0,3411.0
2023-10-15,3850.0,4100.0,3600.0
2023-10-22,3851.0,4101.0,3601.0
2023-10-29,3911.0,4161.0,3661.0
2023-11-05,3766.0,4016.0,3516.0
2023-11-12,3821.0,4071.0,3571.0
2023-11-19,3730.0,3980.0,3480.0
2023-11-26,3683.0,3933.0,3433.0
2023-12-03,3552.0,3802.0,3302.0
2023-12-10,3461.0,3711.0,3211.0
2023-12-17,3185.0,3435.0,2935.0
