,Net_Artikels
2022-12-25,2663.0
2023-01-01,2035.0
2023-01-08,1487.0
2023-01-15,1986.0
2023-01-22,2200.0
2023-01-29,2314.0
2023-02-05,2340.0
2023-02-12,2354.0
2023-02-19,2367.0
2023-02-26,2496.0
2023-03-05,2719.0
2023-03-12,2890.0
2023-03-19,2975.0
2023-03-26,3024.0
2023-04-02,3049.0
2023-04-09,3147.0
2023-04-16,3179.0
2023-04-23,3278.0
2023-04-30,3297.0
2023-05-07,3323.0
2023-05-14,3422.0
2023-05-21,3522.0
2023-05-28,3516.0
2023-06-04,3522.0
2023-06-11,3668.0
2023-06-18,3832.0
2023-06-25,4075.0
2023-07-02,4141.0
2023-07-09,4057.0
2023-07-16,3924.0
2023-07-23,3776.0
2023-07-30,3538.0
2023-08-06,3203.0
2023-08-13,2646.0
2023-08-20,2571.0
2023-08-27,2999.0
2023-09-03,3488.0
2023-09-10,3731.0
2023-09-17,3814.0
2023-09-24,3648.0
2023-10-01,3695.0
2023-10-08,3718.0
2023-10-15,3952.0
2023-10-22,3900.0
2023-10-29,3948.0
2023-11-05,3831.0
2023-11-12,3917.0
2023-11-19,3862.0
2023-11-26,3895.0
2023-12-03,3834.0
2023-12-10,3795.0
2023-12-17,3485.0
