,Net_Artikels
2021-01-03,2787.0
2021-01-10,2659.0
2021-01-17,4136.0
2021-01-24,4601.0
2021-01-31,4757.0
2021-02-07,5213.0
2021-02-14,5459.0
2021-02-21,5926.0
2021-02-28,6144.0
2021-03-07,6323.0
2021-03-14,6710.0
2021-03-21,6783.0
2021-03-28,6532.0
2021-04-04,6336.0
2021-04-11,6586.0
2021-04-18,6409.0
2021-04-25,6523.0
2021-05-02,6717.0
2021-05-09,6667.0
2021-05-16,6597.0
2021-05-23,6863.0
2021-05-30,6824.0
2021-06-06,6765.0
2021-06-13,7181.0
2021-06-20,7330.0
2021-06-27,7113.0
2021-07-04,7028.0
2021-07-11,6954.0
2021-07-18,6922.0
2021-07-25,6541.0
2021-08-01,5552.0
2021-08-08,4491.0
2021-08-15,4469.0
2021-08-22,4931.0
2021-08-29,5856.0
2021-09-05,6652.0
2021-09-12,6714.0
2021-09-19,6986.0
2021-09-26,7340.0
2021-10-03,7526.0
2021-10-10,8061.0
2021-10-17,8317.0
2021-10-24,8410.0
2021-10-31,8500.0
2021-11-07,8228.0
2021-11-14,7878.0
2021-11-21,7815.0
2021-11-28,7576.0
2021-12-05,7891.0
2021-12-12,7304.0
2021-12-19,7128.0
2021-12-26,5781.0
