,Net_Artikels
2022-01-02,109.0
2022-01-09,113.0
2022-01-16,124.0
2022-01-23,125.0
2022-01-30,127.0
2022-02-06,124.0
2022-02-13,125.0
2022-02-20,127.0
2022-02-27,130.0
2022-03-06,132.0
2022-03-13,140.0
2022-03-20,149.0
2022-03-27,155.0
2022-04-03,152.0
2022-04-10,161.0
2022-04-17,160.0
2022-04-24,157.0
2022-05-01,159.0
2022-05-08,154.0
2022-05-15,154.0
2022-05-22,153.0
2022-05-29,152.0
2022-06-05,151.0
2022-06-12,160.0
2022-06-19,160.0
2022-06-26,168.0
2022-07-03,175.0
2022-07-10,172.0
2022-07-17,165.0
2022-07-24,157.0
2022-07-31,153.0
2022-08-07,144.0
2022-08-14,145.0
2022-08-21,149.0
2022-08-28,157.0
2022-09-04,166.0
2022-09-11,171.0
2022-09-18,182.0
2022-09-25,181.0
2022-10-02,182.0
2022-10-09,180.0
2022-10-16,179.0
2022-10-23,174.0
2022-10-30,172.0
2022-11-06,166.0
2022-11-13,170.0
2022-11-20,167.0
2022-11-27,164.0
2022-12-04,161.0
2022-12-11,157.0
2022-12-18,148.0
2022-12-25,135.0
