,Net_Artikels
2020-01-05,1279.0
2020-01-12,1451.0
2020-01-19,2039.0
2020-01-26,2300.0
2020-02-02,2313.0
2020-02-09,2477.0
2020-02-16,2545.0
2020-02-23,2768.0
2020-03-01,2871.0
2020-03-08,2837.0
2020-03-15,3011.0
2020-03-22,3218.0
2020-03-29,3355.0
2020-04-05,3405.0
2020-04-12,3364.0
2020-04-19,3317.0
2020-04-26,3432.0
2020-05-03,3278.0
2020-05-10,3474.0
2020-05-17,3391.0
2020-05-24,3457.0
2020-05-31,3439.0
2020-06-07,3412.0
2020-06-14,3558.0
2020-06-21,3695.0
2020-06-28,3880.0
2020-07-05,3839.0
2020-07-12,3775.0
2020-07-19,3578.0
2020-07-26,3524.0
2020-08-02,3085.0
2020-08-09,2479.0
2020-08-16,2334.0
2020-08-23,2524.0
2020-08-30,3011.0
2020-09-06,3271.0
2020-09-13,3460.0
2020-09-20,3610.0
2020-09-27,3805.0
2020-10-04,3802.0
2020-10-11,3880.0
2020-10-18,3966.0
2020-10-25,4178.0
2020-11-01,4170.0
2020-11-08,4065.0
2020-11-15,3874.0
2020-11-22,3827.0
2020-11-29,3774.0
2020-12-06,3677.0
2020-12-13,3367.0
2020-12-20,3108.0
2020-12-27,2822.0
