,Net_Artikels
2022-12-25,3644.0
2023-01-01,2694.0
2023-01-08,1869.0
2023-01-15,2928.0
2023-01-22,3414.0
2023-01-29,3432.0
2023-02-05,3464.0
2023-02-12,3510.0
2023-02-19,3443.0
2023-02-26,3577.0
2023-03-05,3853.0
2023-03-12,3973.0
2023-03-19,4209.0
2023-03-26,4193.0
2023-04-02,4223.0
2023-04-09,4386.0
2023-04-16,4356.0
2023-04-23,4428.0
2023-04-30,4488.0
2023-05-07,4665.0
2023-05-14,4773.0
2023-05-21,4719.0
2023-05-28,4649.0
2023-06-04,4542.0
2023-06-11,4619.0
2023-06-18,4893.0
2023-06-25,5171.0
2023-07-02,5347.0
2023-07-09,5252.0
2023-07-16,5141.0
2023-07-23,5024.0
2023-07-30,4823.0
2023-08-06,4143.0
2023-08-13,3273.0
2023-08-20,3300.0
2023-08-27,3943.0
2023-09-03,4523.0
2023-09-10,4738.0
2023-09-17,4906.0
2023-09-24,5133.0
2023-10-01,5117.0
2023-10-08,5027.0
2023-10-15,5353.0
2023-10-22,5393.0
2023-10-29,5473.0
2023-11-05,5451.0
2023-11-12,5321.0
2023-11-19,5268.0
2023-11-26,5056.0
2023-12-03,4922.0
2023-12-10,4768.0
2023-12-17,4363.0
