,Net_Artikels
2022-01-02,2396.0
2022-01-09,2372.0
2022-01-16,2847.0
2022-01-23,2931.0
2022-01-30,3020.0
2022-02-06,3124.0
2022-02-13,3226.0
2022-02-20,3271.0
2022-02-27,3474.0
2022-03-06,3672.0
2022-03-13,3843.0
2022-03-20,3895.0
2022-03-27,3953.0
2022-04-03,4014.0
2022-04-10,4084.0
2022-04-17,4098.0
2022-04-24,4227.0
2022-05-01,4217.0
2022-05-08,4298.0
2022-05-15,4370.0
2022-05-22,4414.0
2022-05-29,4410.0
2022-06-05,4416.0
2022-06-12,4467.0
2022-06-19,4557.0
2022-06-26,4715.0
2022-07-03,4747.0
2022-07-10,4614.0
2022-07-17,4496.0
2022-07-24,4407.0
2022-07-31,4281.0
2022-08-07,4042.0
2022-08-14,3912.0
2022-08-21,3927.0
2022-08-28,4168.0
2022-09-04,4492.0
2022-09-11,4488.0
2022-09-18,4567.0
2022-09-25,4549.0
2022-10-02,4564.0
2022-10-09,4708.0
2022-10-16,4915.0
2022-10-23,5007.0
2022-10-30,4963.0
2022-11-06,4787.0
2022-11-13,4723.0
2022-11-20,4694.0
2022-11-27,4578.0
2022-12-04,4531.0
2022-12-11,4281.0
2022-12-18,4025.0
2022-12-25,3630.0
