,Net_Artikels
2021-01-03,737.0
2021-01-10,772.0
2021-01-17,808.0
2021-01-24,825.0
2021-01-31,828.0
2021-02-07,835.0
2021-02-14,841.0
2021-02-21,859.0
2021-02-28,860.0
2021-03-07,872.0
2021-03-14,876.0
2021-03-21,891.0
2021-03-28,890.0
2021-04-04,909.0
2021-04-11,1090.0
2021-04-18,1054.0
2021-04-25,889.0
2021-05-02,887.0
2021-05-09,898.0
2021-05-16,903.0
2021-05-23,922.0
2021-05-30,918.0
2021-06-06,931.0
2021-06-13,938.0
2021-06-20,931.0
2021-06-27,932.0
2021-07-04,934.0
2021-07-11,922.0
2021-07-18,905.0
2021-07-25,884.0
2021-08-01,805.0
2021-08-08,825.0
2021-08-15,831.0
2021-08-22,853.0
2021-08-29,890.0
2021-09-05,904.0
2021-09-12,909.0
2021-09-19,947.0
2021-09-26,964.0
2021-10-03,965.0
2021-10-10,968.0
2021-10-17,995.0
2021-10-24,991.0
2021-10-31,976.0
2021-11-07,962.0
2021-11-14,969.0
2021-11-21,958.0
2021-11-28,969.0
2021-12-05,966.0
2021-12-12,984.0
2021-12-19,930.0
2021-12-26,831.0
