,Net_Artikels
2022-01-02,2776.0
2022-01-09,2905.0
2022-01-16,3058.0
2022-01-23,3099.0
2022-01-30,3106.0
2022-02-06,3161.0
2022-02-13,3161.0
2022-02-20,3210.0
2022-02-27,3256.0
2022-03-06,3323.0
2022-03-13,3341.0
2022-03-20,3395.0
2022-03-27,3397.0
2022-04-03,3397.0
2022-04-10,3494.0
2022-04-17,3478.0
2022-04-24,3419.0
2022-05-01,3401.0
2022-05-08,3393.0
2022-05-15,3385.0
2022-05-22,3421.0
2022-05-29,3426.0
2022-06-05,3454.0
2022-06-12,3478.0
2022-06-19,3470.0
2022-06-26,3510.0
2022-07-03,3451.0
2022-07-10,3366.0
2022-07-17,3353.0
2022-07-24,3256.0
2022-07-31,3212.0
2022-08-07,3106.0
2022-08-14,3060.0
2022-08-21,3194.0
2022-08-28,3388.0
2022-09-04,3491.0
2022-09-11,3527.0
2022-09-18,3570.0
2022-09-25,3629.0
2022-10-02,3589.0
2022-10-09,3600.0
2022-10-16,3637.0
2022-10-23,3624.0
2022-10-30,3663.0
2022-11-06,3585.0
2022-11-13,3556.0
2022-11-20,3506.0
2022-11-27,3517.0
2022-12-04,3517.0
2022-12-11,3448.0
2022-12-18,3388.0
2022-12-25,3149.0
