,Date,Net_daily_art
0,2022-12-31,11956
1,2022-12-30,11956
2,2022-12-29,11984
3,2022-12-28,11984
4,2022-12-27,11967
5,2022-12-26,12060
6,2022-12-25,12063
7,2022-12-24,12063
8,2022-12-23,13086
9,2022-12-22,13706
10,2022-12-21,14506
11,2022-12-20,14915
12,2022-12-19,15651
13,2022-12-18,15313
14,2022-12-17,15333
15,2022-12-16,16325
16,2022-12-15,16771
17,2022-12-14,17761
18,2022-12-13,18974
19,2022-12-12,20596
20,2022-12-11,19410
21,2022-12-10,19450
22,2022-12-09,21215
23,2022-12-08,21333
24,2022-12-07,21927
25,2022-12-06,22188
26,2022-12-05,22225
27,2022-12-04,20554
28,2022-12-03,20502
29,2022-12-02,22184
30,2022-12-01,22082
31,2022-11-30,22797
32,2022-11-29,23423
33,2022-11-28,24682
34,2022-11-27,22873
35,2022-11-26,23003
36,2022-11-25,24865
37,2022-11-24,24168
38,2022-11-23,24261
39,2022-11-22,24301
40,2022-11-21,25490
41,2022-11-20,24123
42,2022-11-19,24242
43,2022-11-18,25957
44,2022-11-17,25010
45,2022-11-16,25417
46,2022-11-15,26123
47,2022-11-14,26509
48,2022-11-13,24952
49,2022-11-12,25072
50,2022-11-11,26643
51,2022-11-10,25550
52,2022-11-09,25493
53,2022-11-08,26384
54,2022-11-07,26876
55,2022-11-06,24829
56,2022-11-05,24770
57,2022-11-04,26786
58,2022-11-03,25628
59,2022-11-02,25758
60,2022-11-01,25905
61,2022-10-31,26778
62,2022-10-30,24964
63,2022-10-29,25039
64,2022-10-28,26487
65,2022-10-27,25183
66,2022-10-26,25170
67,2022-10-25,25014
68,2022-10-24,26132
69,2022-10-23,24155
70,2022-10-22,24369
71,2022-10-21,25908
72,2022-10-20,25432
73,2022-10-19,25008
74,2022-10-18,25383
75,2022-10-17,25916
76,2022-10-16,23949
77,2022-10-15,24029
78,2022-10-14,25580
79,2022-10-13,24398
80,2022-10-12,24158
81,2022-10-11,24212
82,2022-10-10,24981
83,2022-10-09,23614
84,2022-10-08,23919
85,2022-10-07,25760
