,Date,Net_week_art
0,2007-01-14,1566.0
1,2007-01-21,1269.0
2,2007-01-28,1387.0
3,2007-02-04,1480.0
4,2007-02-11,1540.0
5,2007-02-18,1509.0
6,2007-02-25,1568.0
7,2007-03-04,1595.0
8,2007-03-11,1622.0
9,2007-03-18,1602.0
10,2007-03-25,1663.0
11,2007-04-01,2058.0
12,2007-04-08,2121.0
13,2007-04-15,1942.0
14,2007-04-22,2037.0
15,2007-04-29,2016.0
16,2007-05-06,2309.0
17,2007-05-13,2540.0
18,2007-05-20,2635.0
19,2007-05-27,2539.0
20,2007-06-03,2459.0
21,2007-06-10,2471.0
22,2007-06-17,2415.0
23,2007-06-24,2318.0
24,2007-07-01,2380.0
25,2007-07-08,2475.0
26,2007-07-15,2427.0
27,2007-07-22,2587.0
28,2007-07-29,2290.0
29,2007-08-05,2042.0
30,2007-08-12,1710.0
31,2007-08-19,1851.0
32,2007-08-26,2145.0
33,2007-09-02,2540.0
34,2007-09-09,2770.0
35,2007-09-16,2743.0
36,2007-09-23,2869.0
37,2007-09-30,2901.0
38,2007-10-07,2921.0
39,2007-10-14,2895.0
40,2007-10-21,3109.0
41,2007-10-28,3112.0
42,2007-11-04,3012.0
43,2007-11-11,3033.0
44,2007-11-18,3088.0
45,2007-11-25,3065.0
46,2007-12-02,3080.0
47,2007-12-09,3007.0
48,2007-12-16,2845.0
49,2007-12-23,2781.0
50,2007-12-30,2315.0
51,2008-01-06,1633.0
52,2008-01-13,1716.0
53,2008-01-20,2032.0
54,2008-01-27,2107.0
55,2008-02-03,2239.0
56,2008-02-10,2482.0
57,2008-02-17,2486.0
58,2008-02-24,2526.0
59,2008-03-02,2499.0
60,2008-03-09,2701.0
61,2008-03-16,3090.0
62,2008-03-23,3185.0
63,2008-03-30,3119.0
64,2008-04-06,3067.0
65,2008-04-13,3074.0
66,2008-04-20,3112.0
67,2008-04-27,3302.0
68,2008-05-04,3196.0
69,2008-05-11,2871.0
70,2008-05-18,2715.0
71,2008-05-25,2650.0
72,2008-06-01,2741.0
73,2008-06-08,3064.0
74,2008-06-15,3136.0
75,2008-06-22,3125.0
76,2008-06-29,3381.0
77,2008-07-06,3533.0
78,2008-07-13,3320.0
79,2008-07-20,3409.0
80,2008-07-27,2664.0
