,Date,Net_month_art
0,2007-01-31,10.0
1,2007-02-28,10.0
2,2007-03-31,17.0
3,2007-04-30,38.0
4,2007-05-31,59.0
5,2007-06-30,57.0
6,2007-07-31,41.0
7,2007-08-31,48.0
8,2007-09-30,47.0
9,2007-10-31,45.0
10,2007-11-30,37.0
11,2007-12-31,38.0
12,2008-01-31,15.0
13,2008-02-29,21.0
14,2008-03-31,30.0
15,2008-04-30,23.0
16,2008-05-31,36.0
17,2008-06-30,29.0
18,2008-07-31,23.0
19,2008-08-31,26.0
20,2008-09-30,24.0
21,2008-10-31,30.0
22,2008-11-30,30.0
23,2008-12-31,25.0
24,2009-01-31,17.0
25,2009-02-28,26.0
26,2009-03-31,27.0
27,2009-04-30,30.0
28,2009-05-31,23.0
29,2009-06-30,22.0
30,2009-07-31,19.0
31,2009-08-31,31.0
32,2009-09-30,39.0
33,2009-10-31,41.0
34,2009-11-30,33.0
35,2009-12-31,30.0
36,2010-01-31,35.0
37,2010-02-28,24.0
38,2010-03-31,33.0
39,2010-04-30,51.0
40,2010-05-31,55.0
41,2010-06-30,40.0
42,2010-07-31,33.0
43,2010-08-31,30.0
44,2010-09-30,37.0
45,2010-10-31,62.0
46,2010-11-30,81.0
47,2010-12-31,74.0
48,2011-01-31,45.0
49,2011-02-28,47.0
50,2011-03-31,51.0
51,2011-04-30,58.0
52,2011-05-31,66.0
53,2011-06-30,41.0
54,2011-07-31,41.0
55,2011-08-31,56.0
56,2011-09-30,67.0
57,2011-10-31,78.0
58,2011-11-30,60.0
59,2011-12-31,64.0
60,2012-01-31,73.0
61,2012-02-29,62.0
62,2012-03-31,47.0
63,2012-04-30,52.0
64,2012-05-31,72.0
65,2012-06-30,65.0
66,2012-07-31,65.0
67,2012-08-31,68.0
68,2012-09-30,47.0
69,2012-10-31,54.0
70,2012-11-30,45.0
71,2012-12-31,25.0
72,2013-01-31,25.0
73,2013-02-28,52.0
74,2013-03-31,65.0
75,2013-04-30,92.0
76,2013-05-31,75.0
77,2013-06-30,54.0
78,2013-07-31,53.0
79,2013-08-31,47.0
80,2013-09-30,50.0
81,2013-10-31,64.0
82,2013-11-30,59.0
83,2013-12-31,63.0
84,2014-01-31,41.0
85,2014-02-28,45.0
86,2014-03-31,55.0
87,2014-04-30,57.0
88,2014-05-31,61.0
89,2014-06-30,80.0
90,2014-07-31,71.0
91,2014-08-31,74.0
92,2014-09-30,103.0
93,2014-10-31,111.0
94,2014-11-30,105.0
95,2014-12-31,103.0
96,2015-01-31,58.0
97,2015-02-28,51.0
98,2015-03-31,82.0
99,2015-04-30,74.0
100,2015-05-31,57.0
101,2015-06-30,65.0
102,2015-07-31,58.0
103,2015-08-31,53.0
104,2015-09-30,88.0
105,2015-10-31,87.0
106,2015-11-30,61.0
107,2015-12-31,37.0
108,2016-01-31,44.0
109,2016-02-29,31.0
110,2016-03-31,60.0
111,2016-04-30,59.0
112,2016-05-31,52.0
113,2016-06-30,75.0
114,2016-07-31,67.0
115,2016-08-31,74.0
116,2016-09-30,91.0
117,2016-10-31,76.0
118,2016-11-30,98.0
119,2016-12-31,79.0
120,2017-01-31,48.0
121,2017-02-28,54.0
122,2017-03-31,58.0
123,2017-04-30,88.0
124,2017-05-31,89.0
125,2017-06-30,95.0
126,2017-07-31,86.0
127,2017-08-31,106.0
128,2017-09-30,135.0
129,2017-10-31,127.0
130,2017-11-30,90.0
131,2017-12-31,98.0
132,2018-01-31,86.0
133,2018-02-28,80.0
134,2018-03-31,94.0
135,2018-04-30,131.0
136,2018-05-31,127.0
137,2018-06-30,139.0
138,2018-07-31,123.0
139,2018-08-31,123.0
140,2018-09-30,144.0
141,2018-10-31,119.0
142,2018-11-30,125.0
143,2018-12-31,101.0
144,2019-01-31,69.0
145,2019-02-28,77.0
146,2019-03-31,118.0
147,2019-04-30,119.0
148,2019-05-31,122.0
149,2019-06-30,140.0
150,2019-07-31,138.0
151,2019-08-31,120.0
152,2019-09-30,137.0
153,2019-10-31,169.0
154,2019-11-30,161.0
155,2019-12-31,136.0
156,2020-01-31,111.0
157,2020-02-29,125.0
158,2020-03-31,167.0
159,2020-04-30,160.0
160,2020-05-31,158.0
161,2020-06-30,210.0
162,2020-07-31,200.0
163,2020-08-31,151.0
164,2020-09-30,182.0
165,2020-10-31,195.0
166,2020-11-30,178.0
167,2020-12-31,155.0
168,2021-01-31,140.0
169,2021-02-28,147.0
170,2021-03-31,185.0
171,2021-04-30,201.0
172,2021-05-31,160.0
173,2021-06-30,201.0
174,2021-07-31,189.0
175,2021-08-31,201.0
176,2021-09-30,201.0
177,2021-10-31,166.0
178,2021-11-30,158.0
179,2021-12-31,136.0
