,Date,Net_month_art
0,2007-01-31,293.0
1,2007-02-28,338.0
2,2007-03-31,424.0
3,2007-04-30,544.0
4,2007-05-31,638.0
5,2007-06-30,559.0
6,2007-07-31,568.0
7,2007-08-31,615.0
8,2007-09-30,684.0
9,2007-10-31,715.0
10,2007-11-30,707.0
11,2007-12-31,642.0
12,2008-01-31,482.0
13,2008-02-29,530.0
14,2008-03-31,616.0
15,2008-04-30,765.0
16,2008-05-31,621.0
17,2008-06-30,794.0
18,2008-07-31,698.0
19,2008-08-31,625.0
20,2008-09-30,651.0
21,2008-10-31,749.0
22,2008-11-30,781.0
23,2008-12-31,790.0
24,2009-01-31,525.0
25,2009-02-28,596.0
26,2009-03-31,655.0
27,2009-04-30,641.0
28,2009-05-31,689.0
29,2009-06-30,639.0
30,2009-07-31,610.0
31,2009-08-31,664.0
32,2009-09-30,998.0
33,2009-10-31,983.0
34,2009-11-30,1133.0
35,2009-12-31,1116.0
36,2010-01-31,881.0
37,2010-02-28,974.0
38,2010-03-31,967.0
39,2010-04-30,979.0
40,2010-05-31,876.0
41,2010-06-30,896.0
42,2010-07-31,697.0
43,2010-08-31,836.0
44,2010-09-30,1010.0
45,2010-10-31,1117.0
46,2010-11-30,1103.0
47,2010-12-31,795.0
48,2011-01-31,698.0
49,2011-02-28,709.0
50,2011-03-31,684.0
51,2011-04-30,681.0
52,2011-05-31,625.0
53,2011-06-30,704.0
54,2011-07-31,697.0
55,2011-08-31,618.0
56,2011-09-30,755.0
57,2011-10-31,790.0
58,2011-11-30,780.0
59,2011-12-31,679.0
60,2012-01-31,468.0
61,2012-02-29,636.0
62,2012-03-31,816.0
63,2012-04-30,865.0
64,2012-05-31,875.0
65,2012-06-30,903.0
66,2012-07-31,906.0
67,2012-08-31,827.0
68,2012-09-30,910.0
69,2012-10-31,1003.0
70,2012-11-30,1040.0
71,2012-12-31,784.0
72,2013-01-31,553.0
73,2013-02-28,690.0
74,2013-03-31,956.0
75,2013-04-30,1013.0
76,2013-05-31,1013.0
77,2013-06-30,1023.0
78,2013-07-31,1062.0
79,2013-08-31,991.0
80,2013-09-30,1146.0
81,2013-10-31,1304.0
82,2013-11-30,1303.0
83,2013-12-31,1157.0
84,2014-01-31,809.0
85,2014-02-28,897.0
86,2014-03-31,1021.0
87,2014-04-30,1122.0
88,2014-05-31,1194.0
89,2014-06-30,1360.0
90,2014-07-31,1493.0
91,2014-08-31,1284.0
92,2014-09-30,1547.0
93,2014-10-31,1664.0
94,2014-11-30,1473.0
95,2014-12-31,1508.0
96,2015-01-31,879.0
97,2015-02-28,1032.0
98,2015-03-31,1279.0
99,2015-04-30,1387.0
100,2015-05-31,1348.0
101,2015-06-30,1252.0
102,2015-07-31,1193.0
103,2015-08-31,1112.0
104,2015-09-30,1342.0
105,2015-10-31,1535.0
106,2015-11-30,1555.0
107,2015-12-31,1356.0
108,2016-01-31,863.0
109,2016-02-29,1069.0
110,2016-03-31,1207.0
111,2016-04-30,1456.0
112,2016-05-31,1308.0
113,2016-06-30,1576.0
114,2016-07-31,1627.0
115,2016-08-31,1467.0
116,2016-09-30,1805.0
117,2016-10-31,1940.0
118,2016-11-30,2046.0
119,2016-12-31,1854.0
120,2017-01-31,1440.0
121,2017-02-28,1821.0
122,2017-03-31,2093.0
123,2017-04-30,2176.0
124,2017-05-31,2415.0
125,2017-06-30,2741.0
126,2017-07-31,2657.0
127,2017-08-31,2063.0
128,2017-09-30,2963.0
129,2017-10-31,3160.0
130,2017-11-30,3098.0
131,2017-12-31,2789.0
132,2018-01-31,2183.0
133,2018-02-28,2361.0
134,2018-03-31,2971.0
135,2018-04-30,3180.0
136,2018-05-31,3123.0
137,2018-06-30,3495.0
138,2018-07-31,3411.0
139,2018-08-31,3078.0
140,2018-09-30,3494.0
141,2018-10-31,3710.0
142,2018-11-30,3590.0
143,2018-12-31,3093.0
144,2019-01-31,2147.0
145,2019-02-28,2747.0
146,2019-03-31,3234.0
147,2019-04-30,3216.0
148,2019-05-31,3273.0
149,2019-06-30,3507.0
150,2019-07-31,3316.0
151,2019-08-31,3021.0
152,2019-09-30,3560.0
153,2019-10-31,4342.0
154,2019-11-30,4085.0
155,2019-12-31,3522.0
156,2020-01-31,2769.0
157,2020-02-29,3405.0
158,2020-03-31,3624.0
159,2020-04-30,3533.0
160,2020-05-31,3695.0
161,2020-06-30,3982.0
162,2020-07-31,3929.0
163,2020-08-31,3655.0
164,2020-09-30,4399.0
165,2020-10-31,4457.0
166,2020-11-30,4322.0
167,2020-12-31,4073.0
168,2021-01-31,2994.0
169,2021-02-28,3862.0
170,2021-03-31,4398.0
171,2021-04-30,4573.0
172,2021-05-31,4521.0
173,2021-06-30,4736.0
174,2021-07-31,4740.0
175,2021-08-31,3858.0
176,2021-09-30,4688.0
177,2021-10-31,5191.0
178,2021-11-30,5306.0
179,2021-12-31,5141.0
