,Date,Net_daily_art
0,2022-12-31,12304
1,2022-12-30,12304
2,2022-12-29,12309
3,2022-12-28,12314
4,2022-12-27,12314
5,2022-12-26,12354
6,2022-12-25,12354
7,2022-12-24,12354
8,2022-12-23,13127
9,2022-12-22,13638
10,2022-12-21,13921
11,2022-12-20,14384
12,2022-12-19,14740
13,2022-12-18,14475
14,2022-12-17,14475
15,2022-12-16,15490
16,2022-12-15,15925
17,2022-12-14,16809
18,2022-12-13,17232
19,2022-12-12,17959
20,2022-12-11,17158
21,2022-12-10,17153
22,2022-12-09,18827
23,2022-12-08,19735
24,2022-12-07,20088
25,2022-12-06,20658
26,2022-12-05,20963
27,2022-12-04,19562
28,2022-12-03,19557
29,2022-12-02,21126
30,2022-12-01,20602
31,2022-11-30,20724
32,2022-11-29,20965
33,2022-11-28,21536
34,2022-11-27,20423
35,2022-11-26,20523
36,2022-11-25,21616
37,2022-11-24,21558
38,2022-11-23,21887
39,2022-11-22,22065
40,2022-11-21,22699
41,2022-11-20,21366
42,2022-11-19,21398
43,2022-11-18,22738
44,2022-11-17,21919
45,2022-11-16,22604
46,2022-11-15,22953
47,2022-11-14,22738
48,2022-11-13,21143
49,2022-11-12,21296
50,2022-11-11,23095
51,2022-11-10,22722
52,2022-11-09,22716
53,2022-11-08,23417
54,2022-11-07,22904
55,2022-11-06,21462
56,2022-11-05,21479
57,2022-11-04,23047
58,2022-11-03,22320
59,2022-11-02,22643
60,2022-11-01,23064
61,2022-10-31,23435
62,2022-10-30,22094
63,2022-10-29,22102
64,2022-10-28,23030
65,2022-10-27,22396
66,2022-10-26,22376
67,2022-10-25,22296
68,2022-10-24,23061
69,2022-10-23,21048
70,2022-10-22,21075
71,2022-10-21,22121
72,2022-10-20,21457
73,2022-10-19,21377
74,2022-10-18,21918
75,2022-10-17,22747
76,2022-10-16,21449
77,2022-10-15,21446
78,2022-10-14,22408
79,2022-10-13,21616
80,2022-10-12,21664
81,2022-10-11,22289
82,2022-10-10,22499
83,2022-10-09,20398
84,2022-10-08,20496
85,2022-10-07,22276
86,2022-10-06,22616
87,2022-10-05,22449
88,2022-10-04,22391
89,2022-10-03,22658
90,2022-10-02,20871
91,2022-10-01,20900
92,2022-09-30,22670
93,2022-09-29,22559
94,2022-09-28,22253
95,2022-09-27,21991
96,2022-09-26,21980
97,2022-09-25,21051
98,2022-09-24,21099
99,2022-09-23,22136
100,2022-09-22,21482
101,2022-09-21,21597
102,2022-09-20,21731
103,2022-09-19,21201
104,2022-09-18,19571
105,2022-09-17,19586
106,2022-09-16,20943
107,2022-09-15,20948
108,2022-09-14,20942
109,2022-09-13,21005
110,2022-09-12,20746
111,2022-09-11,18790
112,2022-09-10,18804
113,2022-09-09,19453
114,2022-09-08,19117
115,2022-09-07,19385
116,2022-09-06,18601
117,2022-09-05,18858
118,2022-09-04,17580
119,2022-09-03,17779
120,2022-09-02,18865
121,2022-09-01,18666
122,2022-08-31,18458
123,2022-08-30,17957
124,2022-08-29,18025
125,2022-08-28,16070
126,2022-08-27,16337
127,2022-08-26,16822
128,2022-08-25,16177
129,2022-08-24,15924
130,2022-08-23,16028
131,2022-08-22,15394
132,2022-08-21,13915
133,2022-08-20,13627
134,2022-08-19,13987
135,2022-08-18,13202
136,2022-08-17,13169
137,2022-08-16,12764
138,2022-08-15,12914
139,2022-08-14,11181
140,2022-08-13,11191
141,2022-08-12,11392
142,2022-08-11,11010
143,2022-08-10,10782
144,2022-08-09,10616
145,2022-08-08,10415
146,2022-08-07,10391
147,2022-08-06,10386
148,2022-08-05,11092
149,2022-08-04,11114
150,2022-08-03,11606
151,2022-08-02,11774
152,2022-08-01,12444
153,2022-07-31,12070
154,2022-07-30,12092
155,2022-07-29,13459
156,2022-07-28,14194
157,2022-07-27,14966
158,2022-07-26,15232
159,2022-07-25,15830
160,2022-07-24,15198
161,2022-07-23,15018
162,2022-07-22,16859
163,2022-07-21,17686
164,2022-07-20,18349
165,2022-07-19,18691
166,2022-07-18,19028
167,2022-07-17,18002
168,2022-07-16,18114
169,2022-07-15,19983
170,2022-07-14,20091
171,2022-07-13,19988
172,2022-07-12,20465
173,2022-07-11,20948
174,2022-07-10,19575
175,2022-07-09,19424
176,2022-07-08,20661
177,2022-07-07,21018
178,2022-07-06,20605
179,2022-07-05,20256
180,2022-07-04,20832
181,2022-07-03,19302
182,2022-07-02,19288
183,2022-07-01,21086
184,2022-06-30,21286
185,2022-06-29,21392
186,2022-06-28,21028
187,2022-06-27,21169
188,2022-06-26,19603
189,2022-06-25,19624
190,2022-06-24,20682
191,2022-06-23,20069
192,2022-06-22,20071
193,2022-06-21,20623
194,2022-06-20,20719
195,2022-06-19,19333
196,2022-06-18,19515
197,2022-06-17,20667
198,2022-06-16,20516
199,2022-06-15,20662
200,2022-06-14,20770
201,2022-06-13,20506
202,2022-06-12,18414
203,2022-06-11,18459
204,2022-06-10,20008
205,2022-06-09,19430
206,2022-06-08,19289
207,2022-06-07,19262
208,2022-06-06,17851
