,Date,Net_month_art
0,2007-01-31,2565.0
1,2007-02-28,2969.0
2,2007-03-31,3637.0
3,2007-04-30,3872.0
4,2007-05-31,4710.0
5,2007-06-30,4392.0
6,2007-07-31,4078.0
7,2007-08-31,4841.0
8,2007-09-30,4804.0
9,2007-10-31,4861.0
10,2007-11-30,5115.0
11,2007-12-31,4533.0
12,2008-01-31,3525.0
13,2008-02-29,3932.0
14,2008-03-31,4942.0
15,2008-04-30,4780.0
16,2008-05-31,3897.0
17,2008-06-30,4952.0
18,2008-07-31,4902.0
19,2008-08-31,4344.0
20,2008-09-30,5297.0
21,2008-10-31,5461.0
22,2008-11-30,4683.0
23,2008-12-31,4474.0
24,2009-01-31,3633.0
25,2009-02-28,4245.0
26,2009-03-31,5041.0
27,2009-04-30,5464.0
28,2009-05-31,5054.0
29,2009-06-30,4745.0
30,2009-07-31,5043.0
31,2009-08-31,4699.0
32,2009-09-30,6515.0
33,2009-10-31,8114.0
34,2009-11-30,8290.0
35,2009-12-31,7107.0
36,2010-01-31,4836.0
37,2010-02-28,6421.0
38,2010-03-31,6840.0
39,2010-04-30,7247.0
40,2010-05-31,6755.0
41,2010-06-30,5974.0
42,2010-07-31,5461.0
43,2010-08-31,4278.0
44,2010-09-30,6092.0
45,2010-10-31,7063.0
46,2010-11-30,7127.0
47,2010-12-31,5686.0
48,2011-01-31,4800.0
49,2011-02-28,5142.0
50,2011-03-31,5384.0
51,2011-04-30,4940.0
52,2011-05-31,4335.0
53,2011-06-30,5269.0
54,2011-07-31,5743.0
55,2011-08-31,3622.0
56,2011-09-30,6312.0
57,2011-10-31,6391.0
58,2011-11-30,5893.0
59,2011-12-31,4308.0
60,2012-01-31,2899.0
61,2012-02-29,3599.0
62,2012-03-31,4823.0
63,2012-04-30,4591.0
64,2012-05-31,4847.0
65,2012-06-30,4922.0
66,2012-07-31,4999.0
67,2012-08-31,4414.0
68,2012-09-30,5788.0
69,2012-10-31,5845.0
70,2012-11-30,6162.0
71,2012-12-31,5214.0
72,2013-01-31,3609.0
73,2013-02-28,4018.0
74,2013-03-31,5711.0
75,2013-04-30,5999.0
76,2013-05-31,7230.0
77,2013-06-30,7614.0
78,2013-07-31,7053.0
79,2013-08-31,6666.0
80,2013-09-30,7396.0
81,2013-10-31,8257.0
82,2013-11-30,7344.0
83,2013-12-31,6771.0
84,2014-01-31,4699.0
85,2014-02-28,4996.0
86,2014-03-31,5155.0
87,2014-04-30,6309.0
88,2014-05-31,6007.0
89,2014-06-30,7311.0
90,2014-07-31,6834.0
91,2014-08-31,6469.0
92,2014-09-30,6589.0
93,2014-10-31,7970.0
94,2014-11-30,7012.0
95,2014-12-31,7447.0
96,2015-01-31,4757.0
97,2015-02-28,5462.0
98,2015-03-31,6188.0
99,2015-04-30,7367.0
100,2015-05-31,7297.0
101,2015-06-30,6961.0
102,2015-07-31,6933.0
103,2015-08-31,6245.0
104,2015-09-30,8286.0
105,2015-10-31,9037.0
106,2015-11-30,8425.0
107,2015-12-31,7522.0
108,2016-01-31,4599.0
109,2016-02-29,5677.0
110,2016-03-31,6398.0
111,2016-04-30,7119.0
112,2016-05-31,7008.0
113,2016-06-30,7727.0
114,2016-07-31,7805.0
115,2016-08-31,6563.0
116,2016-09-30,8374.0
117,2016-10-31,9323.0
118,2016-11-30,9520.0
119,2016-12-31,8949.0
120,2017-01-31,6139.0
121,2017-02-28,7997.0
122,2017-03-31,10695.0
123,2017-04-30,11343.0
124,2017-05-31,11001.0
125,2017-06-30,11656.0
126,2017-07-31,11325.0
127,2017-08-31,9328.0
128,2017-09-30,13834.0
129,2017-10-31,15838.0
130,2017-11-30,14932.0
131,2017-12-31,14412.0
132,2018-01-31,11893.0
133,2018-02-28,13086.0
134,2018-03-31,16953.0
135,2018-04-30,17192.0
136,2018-05-31,16065.0
137,2018-06-30,17071.0
138,2018-07-31,16611.0
139,2018-08-31,14394.0
140,2018-09-30,17220.0
141,2018-10-31,16899.0
142,2018-11-30,17305.0
143,2018-12-31,15378.0
144,2019-01-31,11186.0
145,2019-02-28,13638.0
146,2019-03-31,15747.0
147,2019-04-30,15770.0
148,2019-05-31,15097.0
149,2019-06-30,14554.0
150,2019-07-31,14414.0
151,2019-08-31,12390.0
152,2019-09-30,15770.0
153,2019-10-31,17755.0
154,2019-11-30,16077.0
155,2019-12-31,14859.0
156,2020-01-31,14585.0
157,2020-02-29,15722.0
158,2020-03-31,16935.0
159,2020-04-30,15398.0
160,2020-05-31,15761.0
161,2020-06-30,16873.0
162,2020-07-31,16751.0
163,2020-08-31,15743.0
164,2020-09-30,17987.0
165,2020-10-31,18954.0
166,2020-11-30,16866.0
167,2020-12-31,15793.0
168,2021-01-31,13312.0
169,2021-02-28,16212.0
170,2021-03-31,19932.0
171,2021-04-30,19516.0
172,2021-05-31,17572.0
173,2021-06-30,20548.0
174,2021-07-31,19837.0
175,2021-08-31,18816.0
176,2021-09-30,20784.0
177,2021-10-31,21764.0
178,2021-11-30,22157.0
179,2021-12-31,21478.0
