,Date,Net_week_art
0,2007-01-14,2425.0
1,2007-01-21,1884.0
2,2007-01-28,2251.0
3,2007-02-04,2490.0
4,2007-02-11,2635.0
5,2007-02-18,2469.0
6,2007-02-25,2687.0
7,2007-03-04,2969.0
8,2007-03-11,2970.0
9,2007-03-18,3156.0
10,2007-03-25,3295.0
11,2007-04-01,3637.0
12,2007-04-08,3577.0
13,2007-04-15,3311.0
14,2007-04-22,3697.0
15,2007-04-29,3872.0
16,2007-05-06,3767.0
17,2007-05-13,4251.0
18,2007-05-20,4710.0
19,2007-05-27,4649.0
20,2007-06-03,4675.0
21,2007-06-10,4642.0
22,2007-06-17,4091.0
23,2007-06-24,4041.0
24,2007-07-01,4086.0
25,2007-07-08,3986.0
26,2007-07-15,3898.0
27,2007-07-22,4078.0
28,2007-07-29,3375.0
29,2007-08-05,3254.0
30,2007-08-12,3100.0
31,2007-08-19,2882.0
32,2007-08-26,3110.0
33,2007-09-02,4841.0
34,2007-09-09,4755.0
35,2007-09-16,4719.0
36,2007-09-23,4804.0
37,2007-09-30,4643.0
38,2007-10-07,4269.0
39,2007-10-14,4674.0
40,2007-10-21,4831.0
41,2007-10-28,4861.0
42,2007-11-04,4778.0
43,2007-11-11,4709.0
44,2007-11-18,4852.0
45,2007-11-25,5115.0
46,2007-12-02,4942.0
47,2007-12-09,4763.0
48,2007-12-16,4533.0
49,2007-12-23,4340.0
50,2007-12-30,3567.0
51,2008-01-06,2636.0
52,2008-01-13,2407.0
53,2008-01-20,2636.0
54,2008-01-27,2774.0
55,2008-02-03,3101.0
56,2008-02-10,3607.0
57,2008-02-17,3471.0
58,2008-02-24,3409.0
59,2008-03-02,3343.0
60,2008-03-09,3932.0
61,2008-03-16,4143.0
62,2008-03-23,4942.0
63,2008-03-30,4811.0
64,2008-04-06,4434.0
65,2008-04-13,4081.0
66,2008-04-20,4259.0
67,2008-04-27,4780.0
68,2008-05-04,4259.0
69,2008-05-11,3513.0
70,2008-05-18,3507.0
71,2008-05-25,3502.0
72,2008-06-01,3897.0
73,2008-06-08,3832.0
74,2008-06-15,4133.0
75,2008-06-22,4424.0
76,2008-06-29,4459.0
77,2008-07-06,4946.0
78,2008-07-13,4952.0
79,2008-07-20,4813.0
80,2008-07-27,4318.0
81,2008-08-03,3713.0
82,2008-08-10,3210.0
83,2008-08-17,3148.0
84,2008-08-24,3536.0
85,2008-08-31,4156.0
86,2008-09-07,4344.0
87,2008-09-14,4321.0
88,2008-09-21,4566.0
89,2008-09-28,5069.0
90,2008-10-05,5224.0
91,2008-10-12,5297.0
92,2008-10-19,5461.0
93,2008-10-26,5307.0
94,2008-11-02,5117.0
95,2008-11-09,4583.0
96,2008-11-16,4363.0
97,2008-11-23,4439.0
98,2008-11-30,4683.0
99,2008-12-07,4644.0
100,2008-12-14,4474.0
101,2008-12-21,4396.0
102,2008-12-28,3786.0
103,2009-01-04,2423.0
104,2009-01-11,2372.0
105,2009-01-18,2695.0
106,2009-01-25,3064.0
107,2009-02-01,3090.0
108,2009-02-08,3633.0
109,2009-02-15,3571.0
110,2009-02-22,3643.0
111,2009-03-01,3814.0
112,2009-03-08,4245.0
113,2009-03-15,4519.0
114,2009-03-22,4521.0
115,2009-03-29,5041.0
116,2009-04-05,4671.0
117,2009-04-12,4737.0
118,2009-04-19,4553.0
119,2009-04-26,4870.0
120,2009-05-03,5464.0
121,2009-05-10,5177.0
122,2009-05-17,4555.0
123,2009-05-24,5054.0
124,2009-05-31,4889.0
125,2009-06-07,4918.0
126,2009-06-14,4745.0
127,2009-06-21,4635.0
128,2009-06-28,4011.0
129,2009-07-05,4486.0
130,2009-07-12,4580.0
131,2009-07-19,5043.0
132,2009-07-26,4751.0
133,2009-08-02,4047.0
134,2009-08-09,3186.0
135,2009-08-16,3016.0
136,2009-08-23,3018.0
137,2009-08-30,3757.0
138,2009-09-06,4509.0
139,2009-09-13,5087.0
140,2009-09-20,6021.0
141,2009-09-27,6196.0
142,2009-10-04,6515.0
143,2009-10-11,6395.0
144,2009-10-18,6422.0
145,2009-10-25,7730.0
146,2009-11-01,7606.0
147,2009-11-08,8114.0
148,2009-11-15,8098.0
149,2009-11-22,8290.0
150,2009-11-29,7737.0
151,2009-12-06,7698.0
152,2009-12-13,6988.0
153,2009-12-20,7107.0
154,2009-12-27,5648.0
155,2010-01-03,3704.0
156,2010-01-10,3230.0
157,2010-01-17,3274.0
158,2010-01-24,3092.0
159,2010-01-31,4105.0
160,2010-02-07,4836.0
161,2010-02-14,5088.0
162,2010-02-21,5626.0
163,2010-02-28,5520.0
164,2010-03-07,6421.0
165,2010-03-14,6674.0
166,2010-03-21,6840.0
167,2010-03-28,6103.0
168,2010-04-04,6277.0
169,2010-04-11,6269.0
170,2010-04-18,6947.0
171,2010-04-25,7117.0
172,2010-05-02,6856.0
173,2010-05-09,7247.0
174,2010-05-16,6755.0
175,2010-05-23,6233.0
176,2010-05-30,6002.0
177,2010-06-06,5502.0
178,2010-06-13,5859.0
179,2010-06-20,5974.0
180,2010-06-27,5645.0
181,2010-07-04,5476.0
182,2010-07-11,5700.0
183,2010-07-18,4824.0
184,2010-07-25,4823.0
185,2010-08-01,3869.0
186,2010-08-08,2992.0
187,2010-08-15,3054.0
188,2010-08-22,3414.0
189,2010-08-29,3902.0
190,2010-09-05,4181.0
191,2010-09-12,4750.0
192,2010-09-19,5645.0
193,2010-09-26,5722.0
194,2010-10-03,5788.0
195,2010-10-10,6092.0
196,2010-10-17,6143.0
197,2010-10-24,6290.0
198,2010-10-31,6385.0
199,2010-11-07,7063.0
200,2010-11-14,7127.0
201,2010-11-21,6690.0
202,2010-11-28,6481.0
203,2010-12-05,6643.0
204,2010-12-12,6309.0
205,2010-12-19,5686.0
206,2010-12-26,5292.0
207,2011-01-02,4429.0
208,2011-01-09,3891.0
209,2011-01-16,4054.0
210,2011-01-23,4290.0
211,2011-01-30,4310.0
212,2011-02-06,4800.0
213,2011-02-13,4841.0
214,2011-02-20,5141.0
215,2011-02-27,5104.0
216,2011-03-06,4821.0
217,2011-03-13,5384.0
218,2011-03-20,5329.0
219,2011-03-27,5215.0
220,2011-04-03,5203.0
221,2011-04-10,4616.0
222,2011-04-17,4578.0
223,2011-04-24,4755.0
224,2011-05-01,4733.0
225,2011-05-08,4940.0
226,2011-05-15,4335.0
227,2011-05-22,4294.0
228,2011-05-29,3794.0
229,2011-06-05,3743.0
230,2011-06-12,3587.0
231,2011-06-19,3979.0
232,2011-06-26,4560.0
233,2011-07-03,4851.0
234,2011-07-10,5349.0
235,2011-07-17,5743.0
236,2011-07-24,5365.0
237,2011-07-31,4851.0
238,2011-08-07,3793.0
239,2011-08-14,3409.0
240,2011-08-21,2736.0
241,2011-08-28,2783.0
242,2011-09-04,3622.0
243,2011-09-11,4028.0
244,2011-09-18,4923.0
245,2011-09-25,5808.0
246,2011-10-02,6244.0
247,2011-10-09,6312.0
248,2011-10-16,6283.0
249,2011-10-23,6391.0
250,2011-10-30,6271.0
251,2011-11-06,5441.0
252,2011-11-13,5564.0
253,2011-11-20,5893.0
254,2011-11-27,5188.0
255,2011-12-04,4898.0
256,2011-12-11,4286.0
257,2011-12-18,4308.0
258,2011-12-25,4004.0
259,2012-01-01,3603.0
260,2012-01-08,3843.0
261,2012-01-15,2612.0
262,2012-01-22,2899.0
263,2012-01-29,2824.0
264,2012-02-05,2756.0
265,2012-02-12,2706.0
266,2012-02-19,2451.0
267,2012-02-26,2646.0
268,2012-03-04,3179.0
269,2012-03-11,3750.0
270,2012-03-18,3908.0
271,2012-03-25,4265.0
272,2012-04-01,4823.0
273,2012-04-08,4682.0
274,2012-04-15,4417.0
275,2012-04-22,4442.0
276,2012-04-29,4591.0
277,2012-05-06,4286.0
278,2012-05-13,4837.0
279,2012-05-20,4847.0
280,2012-05-27,4396.0
281,2012-06-03,4256.0
282,2012-06-10,4284.0
283,2012-06-17,4632.0
284,2012-06-24,4626.0
285,2012-07-01,4879.0
286,2012-07-08,4922.0
287,2012-07-15,4999.0
288,2012-07-22,4974.0
289,2012-07-29,4596.0
290,2012-08-05,3859.0
291,2012-08-12,4059.0
292,2012-08-19,4222.0
293,2012-08-26,4208.0
294,2012-09-02,4414.0
295,2012-09-09,4237.0
296,2012-09-16,4785.0
297,2012-09-23,5393.0
298,2012-09-30,5788.0
299,2012-10-07,5733.0
300,2012-10-14,5574.0
301,2012-10-21,5450.0
302,2012-10-28,5061.0
303,2012-11-04,5203.0
304,2012-11-11,5845.0
305,2012-11-18,6162.0
306,2012-11-25,6002.0
307,2012-12-02,5960.0
308,2012-12-09,5419.0
309,2012-12-16,5214.0
310,2012-12-23,4548.0
311,2012-12-30,3785.0
312,2013-01-06,2404.0
313,2013-01-13,3520.0
314,2013-01-20,3472.0
315,2013-01-27,3609.0
316,2013-02-03,3548.0
317,2013-02-10,3657.0
318,2013-02-17,3779.0
319,2013-02-24,3574.0
320,2013-03-03,3763.0
321,2013-03-10,4018.0
322,2013-03-17,5036.0
323,2013-03-24,5330.0
324,2013-03-31,5553.0
325,2013-04-07,5711.0
326,2013-04-14,5473.0
327,2013-04-21,5999.0
328,2013-04-28,5730.0
329,2013-05-05,5880.0
330,2013-05-12,5723.0
331,2013-05-19,5836.0
332,2013-05-26,6317.0
333,2013-06-02,6528.0
334,2013-06-09,7230.0
335,2013-06-16,7614.0
336,2013-06-23,7461.0
337,2013-06-30,7437.0
338,2013-07-07,7041.0
339,2013-07-14,7053.0
340,2013-07-21,6579.0
341,2013-07-28,6225.0
342,2013-08-04,5421.0
343,2013-08-11,4953.0
344,2013-08-18,4881.0
345,2013-08-25,5646.0
346,2013-09-01,6126.0
347,2013-09-08,6666.0
348,2013-09-15,6542.0
349,2013-09-22,6736.0
350,2013-09-29,7286.0
351,2013-10-06,7396.0
352,2013-10-13,7277.0
353,2013-10-20,7407.0
354,2013-10-27,8257.0
355,2013-11-03,8154.0
356,2013-11-10,7679.0
357,2013-11-17,7163.0
358,2013-11-24,7294.0
359,2013-12-01,6893.0
360,2013-12-08,7119.0
361,2013-12-15,6771.0
362,2013-12-22,6382.0
363,2013-12-29,5289.0
364,2014-01-05,3657.0
365,2014-01-12,3511.0
366,2014-01-19,4152.0
367,2014-01-26,4392.0
368,2014-02-02,4699.0
369,2014-02-09,4499.0
370,2014-02-16,4996.0
371,2014-02-23,4585.0
372,2014-03-02,4501.0
373,2014-03-09,3984.0
374,2014-03-16,4590.0
375,2014-03-23,5017.0
376,2014-03-30,4951.0
377,2014-04-06,5034.0
378,2014-04-13,5621.0
379,2014-04-20,6309.0
380,2014-04-27,5835.0
381,2014-05-04,5856.0
382,2014-05-11,5871.0
383,2014-05-18,5719.0
384,2014-05-25,5917.0
385,2014-06-01,6007.0
386,2014-06-08,5621.0
387,2014-06-15,6232.0
388,2014-06-22,7247.0
389,2014-06-29,7311.0
390,2014-07-06,6903.0
391,2014-07-13,6611.0
392,2014-07-20,6834.0
393,2014-07-27,6647.0
394,2014-08-03,5326.0
395,2014-08-10,5183.0
396,2014-08-17,4964.0
397,2014-08-24,5449.0
398,2014-08-31,6453.0
399,2014-09-07,6469.0
400,2014-09-14,6235.0
401,2014-09-21,6310.0
402,2014-09-28,6190.0
403,2014-10-05,6495.0
404,2014-10-12,6883.0
405,2014-10-19,7970.0
406,2014-10-26,7870.0
407,2014-11-02,6520.0
408,2014-11-09,6598.0
409,2014-11-16,6356.0
410,2014-11-23,6699.0
411,2014-11-30,6932.0
412,2014-12-07,7012.0
413,2014-12-14,7447.0
414,2014-12-21,6907.0
415,2014-12-28,5248.0
416,2015-01-04,2598.0
417,2015-01-11,2263.0
418,2015-01-18,3404.0
419,2015-01-25,4365.0
420,2015-02-01,4686.0
421,2015-02-08,4757.0
422,2015-02-15,4822.0
423,2015-02-22,4345.0
424,2015-03-01,4648.0
425,2015-03-08,5462.0
426,2015-03-15,5255.0
427,2015-03-22,6143.0
428,2015-03-29,6188.0
429,2015-04-05,6187.0
430,2015-04-12,6179.0
431,2015-04-19,6486.0
432,2015-04-26,7192.0
433,2015-05-03,7367.0
434,2015-05-10,7297.0
435,2015-05-17,7167.0
436,2015-05-24,7134.0
437,2015-05-31,6712.0
438,2015-06-07,6362.0
439,2015-06-14,6911.0
440,2015-06-21,6961.0
441,2015-06-28,6657.0
442,2015-07-05,6956.0
443,2015-07-12,6417.0
444,2015-07-19,6247.0
445,2015-07-26,6933.0
446,2015-08-02,6143.0
447,2015-08-09,5301.0
448,2015-08-16,4524.0
449,2015-08-23,4982.0
450,2015-08-30,5690.0
451,2015-09-06,6245.0
452,2015-09-13,6470.0
453,2015-09-20,7273.0
454,2015-09-27,7983.0
455,2015-10-04,8286.0
456,2015-10-11,7926.0
457,2015-10-18,8860.0
458,2015-10-25,9037.0
459,2015-11-01,8323.0
460,2015-11-08,8636.0
461,2015-11-15,8425.0
462,2015-11-22,7677.0
463,2015-11-29,7546.0
464,2015-12-06,7344.0
465,2015-12-13,7522.0
466,2015-12-20,6943.0
467,2015-12-27,5731.0
468,2016-01-03,3641.0
469,2016-01-10,2823.0
470,2016-01-17,4004.0
471,2016-01-24,4274.0
472,2016-01-31,4453.0
473,2016-02-07,4599.0
474,2016-02-14,4827.0
475,2016-02-21,4647.0
476,2016-02-28,4932.0
477,2016-03-06,5533.0
478,2016-03-13,5832.0
479,2016-03-20,6373.0
480,2016-03-27,6161.0
481,2016-04-03,6398.0
482,2016-04-10,6294.0
483,2016-04-17,7119.0
484,2016-04-24,7100.0
485,2016-05-01,6924.0
486,2016-05-08,6885.0
487,2016-05-15,6861.0
488,2016-05-22,6600.0
489,2016-05-29,6342.0
490,2016-06-05,6713.0
491,2016-06-12,7537.0
492,2016-06-19,7727.0
493,2016-06-26,7566.0
494,2016-07-03,7663.0
495,2016-07-10,7682.0
496,2016-07-17,7805.0
497,2016-07-24,7638.0
498,2016-07-31,7250.0
499,2016-08-07,6356.0
500,2016-08-14,5352.0
501,2016-08-21,4888.0
502,2016-08-28,5347.0
503,2016-09-04,6176.0
504,2016-09-11,6621.0
505,2016-09-18,6903.0
506,2016-09-25,7673.0
507,2016-10-02,8089.0
508,2016-10-09,8374.0
509,2016-10-16,9301.0
