,Date,Net_week_art
0,2007-01-14,328.0
1,2007-01-21,292.0
2,2007-01-28,351.0
3,2007-02-04,358.0
4,2007-02-11,351.0
5,2007-02-18,369.0
6,2007-02-25,372.0
7,2007-03-04,351.0
8,2007-03-11,373.0
9,2007-03-18,371.0
10,2007-03-25,354.0
11,2007-04-01,390.0
12,2007-04-08,442.0
13,2007-04-15,390.0
14,2007-04-22,412.0
15,2007-04-29,327.0
16,2007-05-06,436.0
17,2007-05-13,579.0
18,2007-05-20,607.0
19,2007-05-27,542.0
20,2007-06-03,548.0
21,2007-06-10,568.0
22,2007-06-17,571.0
23,2007-06-24,557.0
24,2007-07-01,611.0
25,2007-07-08,599.0
26,2007-07-15,558.0
27,2007-07-22,631.0
28,2007-07-29,540.0
29,2007-08-05,484.0
30,2007-08-12,383.0
31,2007-08-19,420.0
32,2007-08-26,526.0
33,2007-09-02,645.0
34,2007-09-09,666.0
35,2007-09-16,673.0
36,2007-09-23,602.0
37,2007-09-30,599.0
38,2007-10-07,640.0
39,2007-10-14,631.0
40,2007-10-21,660.0
41,2007-10-28,661.0
42,2007-11-04,623.0
43,2007-11-11,665.0
44,2007-11-18,680.0
45,2007-11-25,701.0
46,2007-12-02,707.0
47,2007-12-09,683.0
48,2007-12-16,638.0
49,2007-12-23,635.0
50,2007-12-30,517.0
51,2008-01-06,354.0
52,2008-01-13,391.0
53,2008-01-20,473.0
54,2008-01-27,535.0
55,2008-02-03,545.0
56,2008-02-10,595.0
57,2008-02-17,589.0
58,2008-02-24,592.0
59,2008-03-02,576.0
60,2008-03-09,558.0
61,2008-03-16,683.0
62,2008-03-23,714.0
63,2008-03-30,724.0
64,2008-04-06,713.0
65,2008-04-13,738.0
66,2008-04-20,736.0
67,2008-04-27,792.0
68,2008-05-04,726.0
69,2008-05-11,624.0
70,2008-05-18,617.0
71,2008-05-25,587.0
72,2008-06-01,637.0
73,2008-06-08,707.0
74,2008-06-15,687.0
75,2008-06-22,678.0
76,2008-06-29,719.0
77,2008-07-06,745.0
78,2008-07-13,705.0
79,2008-07-20,725.0
80,2008-07-27,577.0
81,2008-08-03,446.0
82,2008-08-10,364.0
83,2008-08-17,505.0
84,2008-08-24,550.0
85,2008-08-31,626.0
86,2008-09-07,624.0
87,2008-09-14,604.0
88,2008-09-21,545.0
89,2008-09-28,637.0
90,2008-10-05,599.0
91,2008-10-12,659.0
92,2008-10-19,654.0
93,2008-10-26,745.0
94,2008-11-02,753.0
95,2008-11-09,757.0
96,2008-11-16,709.0
97,2008-11-23,666.0
98,2008-11-30,629.0
99,2008-12-07,755.0
100,2008-12-14,752.0
101,2008-12-21,571.0
102,2008-12-28,500.0
103,2009-01-04,240.0
104,2009-01-11,217.0
105,2009-01-18,301.0
106,2009-01-25,354.0
107,2009-02-01,449.0
108,2009-02-08,486.0
109,2009-02-15,511.0
110,2009-02-22,528.0
111,2009-03-01,562.0
112,2009-03-08,532.0
113,2009-03-15,614.0
114,2009-03-22,578.0
115,2009-03-29,644.0
116,2009-04-05,732.0
117,2009-04-12,702.0
118,2009-04-19,645.0
119,2009-04-26,737.0
120,2009-05-03,842.0
121,2009-05-10,849.0
122,2009-05-17,1006.0
123,2009-05-24,1005.0
124,2009-05-31,943.0
125,2009-06-07,834.0
126,2009-06-14,843.0
127,2009-06-21,886.0
128,2009-06-28,918.0
129,2009-07-05,853.0
130,2009-07-12,896.0
131,2009-07-19,817.0
132,2009-07-26,909.0
133,2009-08-02,753.0
134,2009-08-09,560.0
135,2009-08-16,478.0
136,2009-08-23,642.0
137,2009-08-30,710.0
138,2009-09-06,759.0
139,2009-09-13,905.0
140,2009-09-20,879.0
141,2009-09-27,1022.0
142,2009-10-04,1049.0
143,2009-10-11,719.0
144,2009-10-18,843.0
145,2009-10-25,929.0
146,2009-11-01,937.0
147,2009-11-08,973.0
148,2009-11-15,897.0
149,2009-11-22,869.0
150,2009-11-29,853.0
151,2009-12-06,763.0
152,2009-12-13,846.0
153,2009-12-20,823.0
154,2009-12-27,681.0
155,2010-01-03,423.0
156,2010-01-10,361.0
157,2010-01-17,389.0
158,2010-01-24,392.0
159,2010-01-31,396.0
160,2010-02-07,464.0
161,2010-02-14,496.0
162,2010-02-21,507.0
163,2010-02-28,602.0
164,2010-03-07,686.0
165,2010-03-14,689.0
166,2010-03-21,715.0
167,2010-03-28,720.0
168,2010-04-04,885.0
169,2010-04-11,806.0
170,2010-04-18,955.0
171,2010-04-25,1013.0
172,2010-05-02,923.0
173,2010-05-09,803.0
174,2010-05-16,726.0
175,2010-05-23,704.0
176,2010-05-30,815.0
177,2010-06-06,824.0
178,2010-06-13,836.0
179,2010-06-20,917.0
180,2010-06-27,932.0
181,2010-07-04,839.0
182,2010-07-11,744.0
183,2010-07-18,664.0
184,2010-07-25,659.0
185,2010-08-01,641.0
186,2010-08-08,534.0
187,2010-08-15,693.0
188,2010-08-22,752.0
189,2010-08-29,917.0
190,2010-09-05,967.0
191,2010-09-12,1173.0
192,2010-09-19,1188.0
193,2010-09-26,1165.0
194,2010-10-03,1228.0
195,2010-10-10,1378.0
196,2010-10-17,1266.0
197,2010-10-24,1434.0
198,2010-10-31,1390.0
199,2010-11-07,1328.0
200,2010-11-14,1392.0
201,2010-11-21,1361.0
202,2010-11-28,1398.0
203,2010-12-05,1327.0
204,2010-12-12,1125.0
205,2010-12-19,920.0
206,2010-12-26,804.0
207,2011-01-02,568.0
208,2011-01-09,452.0
209,2011-01-16,586.0
210,2011-01-23,605.0
211,2011-01-30,730.0
212,2011-02-06,792.0
213,2011-02-13,799.0
214,2011-02-20,807.0
215,2011-02-27,845.0
216,2011-03-06,936.0
217,2011-03-13,1029.0
218,2011-03-20,1032.0
219,2011-03-27,1026.0
220,2011-04-03,1026.0
221,2011-04-10,1008.0
222,2011-04-17,977.0
223,2011-04-24,1091.0
224,2011-05-01,1003.0
225,2011-05-08,945.0
226,2011-05-15,803.0
227,2011-05-22,911.0
228,2011-05-29,916.0
229,2011-06-05,983.0
230,2011-06-12,896.0
231,2011-06-19,934.0
232,2011-06-26,1050.0
233,2011-07-03,1020.0
234,2011-07-10,1285.0
235,2011-07-17,1295.0
236,2011-07-24,1177.0
237,2011-07-31,1138.0
238,2011-08-07,699.0
239,2011-08-14,570.0
240,2011-08-21,704.0
241,2011-08-28,730.0
242,2011-09-04,809.0
243,2011-09-11,1024.0
244,2011-09-18,1066.0
245,2011-09-25,1108.0
246,2011-10-02,1139.0
247,2011-10-09,1088.0
248,2011-10-16,1145.0
249,2011-10-23,1019.0
250,2011-10-30,1062.0
251,2011-11-06,1113.0
252,2011-11-13,1043.0
253,2011-11-20,966.0
254,2011-11-27,1014.0
255,2011-12-04,964.0
256,2011-12-11,919.0
257,2011-12-18,750.0
258,2011-12-25,624.0
259,2012-01-01,521.0
260,2012-01-08,436.0
261,2012-01-15,395.0
262,2012-01-22,651.0
263,2012-01-29,713.0
264,2012-02-05,742.0
265,2012-02-12,702.0
266,2012-02-19,692.0
267,2012-02-26,702.0
268,2012-03-04,820.0
269,2012-03-11,890.0
270,2012-03-18,1102.0
271,2012-03-25,1031.0
272,2012-04-01,1043.0
273,2012-04-08,1016.0
274,2012-04-15,1045.0
275,2012-04-22,984.0
276,2012-04-29,1064.0
277,2012-05-06,1250.0
278,2012-05-13,1418.0
279,2012-05-20,1410.0
280,2012-05-27,1290.0
281,2012-06-03,1242.0
282,2012-06-10,1331.0
283,2012-06-17,1371.0
284,2012-06-24,1318.0
285,2012-07-01,1484.0
286,2012-07-08,1542.0
287,2012-07-15,1570.0
288,2012-07-22,1329.0
289,2012-07-29,1070.0
290,2012-08-05,952.0
291,2012-08-12,925.0
292,2012-08-19,1063.0
293,2012-08-26,1111.0
294,2012-09-02,1262.0
295,2012-09-09,1290.0
296,2012-09-16,1002.0
297,2012-09-23,1018.0
298,2012-09-30,1057.0
299,2012-10-07,1076.0
300,2012-10-14,1103.0
301,2012-10-21,1255.0
302,2012-10-28,1357.0
303,2012-11-04,1339.0
304,2012-11-11,1340.0
305,2012-11-18,1377.0
306,2012-11-25,1283.0
307,2012-12-02,1140.0
308,2012-12-09,1049.0
309,2012-12-16,1000.0
310,2012-12-23,791.0
311,2012-12-30,677.0
312,2013-01-06,345.0
313,2013-01-13,562.0
314,2013-01-20,591.0
315,2013-01-27,615.0
316,2013-02-03,615.0
317,2013-02-10,666.0
318,2013-02-17,748.0
319,2013-02-24,780.0
320,2013-03-03,907.0
321,2013-03-10,867.0
322,2013-03-17,1101.0
323,2013-03-24,1233.0
