,Date,Net_week_art
0,2007-01-14,103.0
1,2007-01-21,72.0
2,2007-01-28,93.0
3,2007-02-04,103.0
4,2007-02-11,132.0
5,2007-02-18,139.0
6,2007-02-25,163.0
7,2007-03-04,170.0
8,2007-03-11,184.0
9,2007-03-18,188.0
10,2007-03-25,187.0
11,2007-04-01,212.0
12,2007-04-08,225.0
13,2007-04-15,190.0
14,2007-04-22,212.0
15,2007-04-29,199.0
16,2007-05-06,251.0
17,2007-05-13,276.0
18,2007-05-20,270.0
19,2007-05-27,262.0
20,2007-06-03,257.0
21,2007-06-10,242.0
22,2007-06-17,228.0
23,2007-06-24,252.0
24,2007-07-01,224.0
25,2007-07-08,226.0
26,2007-07-15,193.0
27,2007-07-22,243.0
28,2007-07-29,244.0
29,2007-08-05,249.0
30,2007-08-12,170.0
31,2007-08-19,185.0
32,2007-08-26,206.0
33,2007-09-02,228.0
34,2007-09-09,268.0
35,2007-09-16,272.0
36,2007-09-23,318.0
37,2007-09-30,287.0
38,2007-10-07,257.0
39,2007-10-14,277.0
40,2007-10-21,304.0
41,2007-10-28,349.0
42,2007-11-04,343.0
43,2007-11-11,324.0
44,2007-11-18,288.0
45,2007-11-25,298.0
46,2007-12-02,283.0
47,2007-12-09,267.0
48,2007-12-16,252.0
49,2007-12-23,229.0
50,2007-12-30,174.0
51,2008-01-06,104.0
52,2008-01-13,143.0
53,2008-01-20,150.0
54,2008-01-27,156.0
55,2008-02-03,177.0
56,2008-02-10,195.0
57,2008-02-17,188.0
58,2008-02-24,194.0
59,2008-03-02,193.0
60,2008-03-09,194.0
61,2008-03-16,243.0
62,2008-03-23,253.0
63,2008-03-30,238.0
64,2008-04-06,253.0
65,2008-04-13,252.0
66,2008-04-20,251.0
67,2008-04-27,278.0
68,2008-05-04,287.0
69,2008-05-11,236.0
70,2008-05-18,219.0
71,2008-05-25,253.0
72,2008-06-01,275.0
73,2008-06-08,316.0
74,2008-06-15,298.0
75,2008-06-22,290.0
76,2008-06-29,282.0
77,2008-07-06,366.0
78,2008-07-13,370.0
79,2008-07-20,355.0
80,2008-07-27,313.0
81,2008-08-03,273.0
82,2008-08-10,229.0
83,2008-08-17,222.0
84,2008-08-24,251.0
85,2008-08-31,284.0
86,2008-09-07,320.0
87,2008-09-14,305.0
88,2008-09-21,276.0
89,2008-09-28,291.0
90,2008-10-05,302.0
91,2008-10-12,322.0
92,2008-10-19,323.0
93,2008-10-26,386.0
94,2008-11-02,366.0
95,2008-11-09,352.0
96,2008-11-16,371.0
97,2008-11-23,382.0
98,2008-11-30,342.0
99,2008-12-07,318.0
100,2008-12-14,307.0
101,2008-12-21,287.0
102,2008-12-28,249.0
103,2009-01-04,127.0
104,2009-01-11,141.0
105,2009-01-18,187.0
106,2009-01-25,214.0
107,2009-02-01,252.0
108,2009-02-08,293.0
109,2009-02-15,293.0
110,2009-02-22,287.0
111,2009-03-01,285.0
112,2009-03-08,276.0
113,2009-03-15,331.0
114,2009-03-22,321.0
115,2009-03-29,362.0
116,2009-04-05,359.0
117,2009-04-12,341.0
118,2009-04-19,276.0
119,2009-04-26,362.0
120,2009-05-03,404.0
121,2009-05-10,429.0
122,2009-05-17,375.0
123,2009-05-24,386.0
124,2009-05-31,331.0
125,2009-06-07,397.0
126,2009-06-14,377.0
