Datum,Aantal in verhuur
2007-01-01 00:00:00,48
2007-01-02 00:00:00,48
2007-01-03 00:00:00,48
2007-01-04 00:00:00,48
2007-01-05 00:00:00,48
2007-01-06 00:00:00,48
2007-01-07 00:00:00,49
2007-01-08 00:00:00,57
2007-01-09 00:00:00,72
2007-01-10 00:00:00,73
2007-01-11 00:00:00,72
2007-01-12 00:00:00,76
2007-01-13 00:00:00,76
2007-01-14 00:00:00,76
2007-01-15 00:00:00,76
2007-01-16 00:00:00,79
2007-01-17 00:00:00,81
2007-01-18 00:00:00,81
2007-01-19 00:00:00,97
2007-01-20 00:00:00,97
2007-01-21 00:00:00,97
2007-01-22 00:00:00,102
2007-01-23 00:00:00,87
2007-01-24 00:00:00,100
2007-01-25 00:00:00,101
2007-01-26 00:00:00,107
2007-01-27 00:00:00,107
2007-01-28 00:00:00,107
2007-01-29 00:00:00,113
2007-01-30 00:00:00,128
2007-01-31 00:00:00,131
2007-02-01 00:00:00,133
2007-02-02 00:00:00,136
2007-02-03 00:00:00,125
2007-02-04 00:00:00,125
2007-02-05 00:00:00,134
2007-02-06 00:00:00,138
2007-02-07 00:00:00,140
2007-02-08 00:00:00,143
2007-02-09 00:00:00,139
2007-02-10 00:00:00,128
2007-02-11 00:00:00,128
2007-02-12 00:00:00,130
2007-02-13 00:00:00,150
2007-02-14 00:00:00,156
2007-02-15 00:00:00,167
2007-02-16 00:00:00,165
2007-02-17 00:00:00,161
2007-02-18 00:00:00,161
2007-02-19 00:00:00,170
2007-02-20 00:00:00,173
2007-02-21 00:00:00,168
2007-02-22 00:00:00,174
2007-02-23 00:00:00,171
2007-02-24 00:00:00,169
2007-02-25 00:00:00,169
2007-02-26 00:00:00,188
2007-02-27 00:00:00,176
2007-02-28 00:00:00,176
2007-03-01 00:00:00,183
2007-03-02 00:00:00,185
2007-03-03 00:00:00,184
2007-03-04 00:00:00,184
2007-03-05 00:00:00,191
2007-03-06 00:00:00,191
2007-03-07 00:00:00,190
2007-03-08 00:00:00,192
2007-03-09 00:00:00,186
2007-03-10 00:00:00,169
2007-03-11 00:00:00,169
2007-03-12 00:00:00,183
2007-03-13 00:00:00,178
2007-03-14 00:00:00,182
2007-03-15 00:00:00,182
