Datum,Value,Code
2007-01-01 00:00:00,152,A01-80-(30)
2007-01-01 00:00:00,682,AHEK
2007-01-01 00:00:00,9,C02-80
2007-01-01 00:00:00,214,J16-90
2007-01-01 00:00:00,212,PB6090
2007-01-01 00:00:00,44,TB80120G
2007-01-02 00:00:00,152,A01-80-(30)
2007-01-02 00:00:00,676,AHEK
2007-01-02 00:00:00,9,C02-80
2007-01-02 00:00:00,214,J16-90
2007-01-02 00:00:00,212,PB6090
2007-01-02 00:00:00,44,TB80120G
2007-01-03 00:00:00,155,A01-80-(30)
2007-01-03 00:00:00,681,AHEK
2007-01-03 00:00:00,9,C02-80
2007-01-03 00:00:00,218,J16-90
2007-01-03 00:00:00,212,PB6090
2007-01-03 00:00:00,44,TB80120G
2007-01-04 00:00:00,155,A01-80-(30)
2007-01-04 00:00:00,681,AHEK
2007-01-04 00:00:00,9,C02-80
2007-01-04 00:00:00,218,J16-90
2007-01-04 00:00:00,212,PB6090
2007-01-04 00:00:00,44,TB80120G
2007-01-05 00:00:00,157,A01-80-(30)
2007-01-05 00:00:00,708,AHEK
2007-01-05 00:00:00,9,C02-80
2007-01-05 00:00:00,221,J16-90
2007-01-05 00:00:00,240,PB6090
2007-01-05 00:00:00,44,TB80120G
2007-01-06 00:00:00,157,A01-80-(30)
2007-01-06 00:00:00,708,AHEK
2007-01-06 00:00:00,9,C02-80
2007-01-06 00:00:00,221,J16-90
2007-01-06 00:00:00,240,PB6090
2007-01-06 00:00:00,44,TB80120G
2007-01-07 00:00:00,162,A01-80-(30)
2007-01-07 00:00:00,713,AHEK
2007-01-07 00:00:00,9,C02-80
2007-01-07 00:00:00,226,J16-90
2007-01-07 00:00:00,240,PB6090
2007-01-07 00:00:00,45,TB80120G
2007-01-08 00:00:00,176,A01-80-(30)
2007-01-08 00:00:00,889,AHEK
2007-01-08 00:00:00,9,C02-80
2007-01-08 00:00:00,240,J16-90
2007-01-08 00:00:00,258,PB6090
2007-01-08 00:00:00,53,TB80120G
2007-01-09 00:00:00,188,A01-80-(30)
2007-01-09 00:00:00,926,AHEK
2007-01-09 00:00:00,9,C02-80
2007-01-09 00:00:00,254,J16-90
2007-01-09 00:00:00,276,PB6090
2007-01-09 00:00:00,68,TB80120G
2007-01-10 00:00:00,189,A01-80-(30)
2007-01-10 00:00:00,938,AHEK
2007-01-10 00:00:00,9,C02-80
2007-01-10 00:00:00,255,J16-90
2007-01-10 00:00:00,278,PB6090
2007-01-10 00:00:00,69,TB80120G
2007-01-11 00:00:00,178,A01-80-(30)
2007-01-11 00:00:00,957,AHEK
2007-01-11 00:00:00,9,C02-80
2007-01-11 00:00:00,244,J16-90
2007-01-11 00:00:00,279,PB6090
2007-01-11 00:00:00,68,TB80120G
2007-01-12 00:00:00,189,A01-80-(30)
2007-01-12 00:00:00,989,AHEK
2007-01-12 00:00:00,10,C02-80
2007-01-12 00:00:00,262,J16-90
2007-01-12 00:00:00,292,PB6090
2007-01-12 00:00:00,72,TB80120G
2007-01-13 00:00:00,183,A01-80-(30)
2007-01-13 00:00:00,969,AHEK
2007-01-13 00:00:00,10,C02-80
2007-01-13 00:00:00,256,J16-90
2007-01-13 00:00:00,283,PB6090
2007-01-13 00:00:00,72,TB80120G
2007-01-14 00:00:00,181,A01-80-(30)
2007-01-14 00:00:00,967,AHEK
2007-01-14 00:00:00,10,C02-80
2007-01-14 00:00:00,254,J16-90
2007-01-14 00:00:00,283,PB6090
2007-01-14 00:00:00,72,TB80120G
2007-01-15 00:00:00,203,A01-80-(30)
2007-01-15 00:00:00,994,AHEK
2007-01-15 00:00:00,10,C02-80
2007-01-15 00:00:00,276,J16-90
2007-01-15 00:00:00,337,PB6090
2007-01-15 00:00:00,72,TB80120G
2007-01-16 00:00:00,198,A01-80-(30)
2007-01-16 00:00:00,999,AHEK
2007-01-16 00:00:00,10,C02-80
2007-01-16 00:00:00,268,J16-90
2007-01-16 00:00:00,324,PB6090
2007-01-16 00:00:00,75,TB80120G
2007-01-17 00:00:00,197,A01-80-(30)
2007-01-17 00:00:00,1026,AHEK
2007-01-17 00:00:00,10,C02-80
2007-01-17 00:00:00,266,J16-90
2007-01-17 00:00:00,335,PB6090
2007-01-17 00:00:00,77,TB80120G
2007-01-18 00:00:00,194,A01-80-(30)
2007-01-18 00:00:00,1055,AHEK
2007-01-18 00:00:00,7,C02-80
2007-01-18 00:00:00,250,J16-90
2007-01-18 00:00:00,317,PB6090
2007-01-18 00:00:00,77,TB80120G
2007-01-19 00:00:00,199,A01-80-(30)
2007-01-19 00:00:00,1117,AHEK
2007-01-19 00:00:00,7,C02-80
2007-01-19 00:00:00,255,J16-90
2007-01-19 00:00:00,351,PB6090
2007-01-19 00:00:00,93,TB80120G
2007-01-20 00:00:00,196,A01-80-(30)
2007-01-20 00:00:00,1086,AHEK
2007-01-20 00:00:00,7,C02-80
2007-01-20 00:00:00,253,J16-90
2007-01-20 00:00:00,343,PB6090
2007-01-20 00:00:00,93,TB80120G
2007-01-21 00:00:00,196,A01-80-(30)
2007-01-21 00:00:00,1086,AHEK
2007-01-21 00:00:00,7,C02-80
2007-01-21 00:00:00,253,J16-90
2007-01-21 00:00:00,343,PB6090
2007-01-21 00:00:00,93,TB80120G
2007-01-22 00:00:00,222,A01-80-(30)
2007-01-22 00:00:00,1133,AHEK
2007-01-22 00:00:00,10,C02-80
2007-01-22 00:00:00,279,J16-90
2007-01-22 00:00:00,358,PB6090
