Datum,Value,Code
2022-12-31 00:00:00,12304,BAAK
2022-12-31 00:00:00,11956,P3
2022-12-30 00:00:00,12304,BAAK
2022-12-30 00:00:00,11956,P3
2022-12-29 00:00:00,12309,BAAK
2022-12-29 00:00:00,11984,P3
2022-12-28 00:00:00,12314,BAAK
2022-12-28 00:00:00,11984,P3
2022-12-27 00:00:00,12314,BAAK
2022-12-27 00:00:00,11967,P3
2022-12-26 00:00:00,12354,BAAK
2022-12-26 00:00:00,12060,P3
2022-12-25 00:00:00,12354,BAAK
2022-12-25 00:00:00,12063,P3
2022-12-24 00:00:00,12354,BAAK
2022-12-24 00:00:00,12063,P3
2022-12-23 00:00:00,13127,BAAK
2022-12-23 00:00:00,13086,P3
2022-12-22 00:00:00,13638,BAAK
2022-12-22 00:00:00,13706,P3
2022-12-21 00:00:00,13921,BAAK
2022-12-21 00:00:00,14506,P3
2022-12-20 00:00:00,14384,BAAK
2022-12-20 00:00:00,14915,P3
2022-12-19 00:00:00,14740,BAAK
2022-12-19 00:00:00,15651,P3
2022-12-18 00:00:00,14475,BAAK
2022-12-18 00:00:00,15313,P3
2022-12-17 00:00:00,14475,BAAK
2022-12-17 00:00:00,15333,P3
2022-12-16 00:00:00,15490,BAAK
2022-12-16 00:00:00,16325,P3
2022-12-15 00:00:00,15925,BAAK
2022-12-15 00:00:00,16771,P3
2022-12-14 00:00:00,16809,BAAK
2022-12-14 00:00:00,17761,P3
2022-12-13 00:00:00,17232,BAAK
2022-12-13 00:00:00,18974,P3
2022-12-12 00:00:00,17959,BAAK
2022-12-12 00:00:00,20596,P3
2022-12-11 00:00:00,17158,BAAK
2022-12-11 00:00:00,19410,P3
2022-12-10 00:00:00,17153,BAAK
2022-12-10 00:00:00,19450,P3
2022-12-09 00:00:00,18827,BAAK
2022-12-09 00:00:00,21215,P3
2022-12-08 00:00:00,19735,BAAK
2022-12-08 00:00:00,21333,P3
2022-12-07 00:00:00,20088,BAAK
2022-12-07 00:00:00,21927,P3
2022-12-06 00:00:00,20658,BAAK
2022-12-06 00:00:00,22188,P3
2022-12-05 00:00:00,20963,BAAK
2022-12-05 00:00:00,22225,P3
2022-12-04 00:00:00,19562,BAAK
2022-12-04 00:00:00,20554,P3
2022-12-03 00:00:00,19557,BAAK
2022-12-03 00:00:00,20502,P3
2022-12-02 00:00:00,21126,BAAK
2022-12-02 00:00:00,22184,P3
2022-12-01 00:00:00,20602,BAAK
2022-12-01 00:00:00,22082,P3
2022-11-30 00:00:00,20724,BAAK
2022-11-30 00:00:00,22797,P3
2022-11-29 00:00:00,20965,BAAK
2022-11-29 00:00:00,23423,P3
2022-11-28 00:00:00,21536,BAAK
2022-11-28 00:00:00,24682,P3
2022-11-27 00:00:00,20423,BAAK
2022-11-27 00:00:00,22873,P3
2022-11-26 00:00:00,20523,BAAK
2022-11-26 00:00:00,23003,P3
2022-11-25 00:00:00,21616,BAAK
2022-11-25 00:00:00,24865,P3
2022-11-24 00:00:00,21558,BAAK
2022-11-24 00:00:00,24168,P3
2022-11-23 00:00:00,21887,BAAK
2022-11-23 00:00:00,24261,P3
2022-11-22 00:00:00,22065,BAAK
2022-11-22 00:00:00,24301,P3
2022-11-21 00:00:00,22699,BAAK
2022-11-21 00:00:00,25490,P3
2022-11-20 00:00:00,21366,BAAK
2022-11-20 00:00:00,24123,P3
2022-11-19 00:00:00,21398,BAAK
2022-11-19 00:00:00,24242,P3
2022-11-18 00:00:00,22738,BAAK
2022-11-18 00:00:00,25957,P3
2022-11-17 00:00:00,21919,BAAK
2022-11-17 00:00:00,25010,P3
2022-11-16 00:00:00,22604,BAAK
2022-11-16 00:00:00,25417,P3
