,Date,Net_week_art
0,2007-01-14,278.0
1,2007-01-21,189.0
2,2007-01-28,203.0
3,2007-02-04,232.0
4,2007-02-11,240.0
5,2007-02-18,229.0
6,2007-02-25,224.0
7,2007-03-04,239.0
8,2007-03-11,223.0
9,2007-03-18,212.0
10,2007-03-25,218.0
11,2007-04-01,303.0
12,2007-04-08,316.0
13,2007-04-15,285.0
14,2007-04-22,334.0
15,2007-04-29,363.0
16,2007-05-06,372.0
17,2007-05-13,419.0
18,2007-05-20,453.0
19,2007-05-27,443.0
20,2007-06-03,446.0
21,2007-06-10,440.0
22,2007-06-17,408.0
23,2007-06-24,403.0
24,2007-07-01,375.0
25,2007-07-08,385.0
26,2007-07-15,393.0
27,2007-07-22,355.0
28,2007-07-29,318.0
29,2007-08-05,282.0
30,2007-08-12,267.0
31,2007-08-19,284.0
32,2007-08-26,305.0
33,2007-09-02,372.0
34,2007-09-09,417.0
35,2007-09-16,423.0
36,2007-09-23,464.0
37,2007-09-30,486.0
38,2007-10-07,452.0
39,2007-10-14,452.0
40,2007-10-21,478.0
41,2007-10-28,479.0
42,2007-11-04,490.0
43,2007-11-11,508.0
44,2007-11-18,507.0
45,2007-11-25,505.0
46,2007-12-02,502.0
47,2007-12-09,500.0
48,2007-12-16,474.0
49,2007-12-23,457.0
50,2007-12-30,399.0
51,2008-01-06,284.0
52,2008-01-13,281.0
53,2008-01-20,323.0
54,2008-01-27,324.0
55,2008-02-03,331.0
56,2008-02-10,371.0
57,2008-02-17,377.0
58,2008-02-24,366.0
59,2008-03-02,361.0
60,2008-03-09,408.0
61,2008-03-16,420.0
62,2008-03-23,459.0
63,2008-03-30,450.0
64,2008-04-06,463.0
65,2008-04-13,493.0
66,2008-04-20,502.0
67,2008-04-27,537.0
68,2008-05-04,548.0
69,2008-05-11,485.0
70,2008-05-18,451.0
71,2008-05-25,427.0
72,2008-06-01,432.0
73,2008-06-08,449.0
74,2008-06-15,494.0
75,2008-06-22,517.0
76,2008-06-29,585.0
77,2008-07-06,603.0
78,2008-07-13,574.0
79,2008-07-20,562.0
80,2008-07-27,452.0
81,2008-08-03,373.0
82,2008-08-10,300.0
83,2008-08-17,315.0
84,2008-08-24,373.0
85,2008-08-31,445.0
86,2008-09-07,492.0
87,2008-09-14,503.0
88,2008-09-21,535.0
89,2008-09-28,515.0
90,2008-10-05,528.0
91,2008-10-12,522.0
92,2008-10-19,563.0
93,2008-10-26,556.0
94,2008-11-02,486.0
95,2008-11-09,538.0
96,2008-11-16,530.0
97,2008-11-23,523.0
98,2008-11-30,531.0
99,2008-12-07,537.0
100,2008-12-14,506.0
101,2008-12-21,514.0
102,2008-12-28,441.0
103,2009-01-04,234.0
104,2009-01-11,210.0
105,2009-01-18,270.0
106,2009-01-25,340.0
107,2009-02-01,371.0
108,2009-02-08,357.0
109,2009-02-15,373.0
110,2009-02-22,433.0
111,2009-03-01,422.0
112,2009-03-08,395.0
113,2009-03-15,421.0
114,2009-03-22,416.0
115,2009-03-29,426.0
116,2009-04-05,394.0
117,2009-04-12,428.0
118,2009-04-19,446.0
119,2009-04-26,388.0
120,2009-05-03,478.0
121,2009-05-10,416.0
122,2009-05-17,444.0
123,2009-05-24,459.0
124,2009-05-31,427.0
125,2009-06-07,417.0
126,2009-06-14,393.0
127,2009-06-21,447.0
128,2009-06-28,471.0
129,2009-07-05,444.0
130,2009-07-12,477.0
131,2009-07-19,465.0
132,2009-07-26,465.0
133,2009-08-02,379.0
134,2009-08-09,291.0
135,2009-08-16,285.0
136,2009-08-23,314.0
137,2009-08-30,378.0
138,2009-09-06,438.0
139,2009-09-13,547.0
140,2009-09-20,583.0
141,2009-09-27,606.0
142,2009-10-04,622.0
143,2009-10-11,581.0
144,2009-10-18,600.0
145,2009-10-25,577.0
146,2009-11-01,620.0
147,2009-11-08,611.0
148,2009-11-15,611.0
149,2009-11-22,649.0
150,2009-11-29,682.0
151,2009-12-06,702.0
152,2009-12-13,616.0
153,2009-12-20,644.0
154,2009-12-27,557.0
155,2010-01-03,411.0
156,2010-01-10,348.0
157,2010-01-17,374.0
158,2010-01-24,363.0
159,2010-01-31,468.0
160,2010-02-07,504.0
161,2010-02-14,520.0
162,2010-02-21,554.0
163,2010-02-28,543.0
164,2010-03-07,591.0
165,2010-03-14,587.0
166,2010-03-21,569.0
167,2010-03-28,552.0
168,2010-04-04,568.0
169,2010-04-11,547.0
170,2010-04-18,701.0
171,2010-04-25,691.0
172,2010-05-02,524.0
173,2010-05-09,555.0
174,2010-05-16,539.0
175,2010-05-23,542.0
176,2010-05-30,509.0
177,2010-06-06,527.0
178,2010-06-13,504.0
179,2010-06-20,560.0
180,2010-06-27,582.0
181,2010-07-04,598.0
182,2010-07-11,656.0
183,2010-07-18,595.0
184,2010-07-25,596.0
185,2010-08-01,426.0
186,2010-08-08,393.0
187,2010-08-15,389.0
188,2010-08-22,432.0
189,2010-08-29,512.0
190,2010-09-05,546.0
191,2010-09-12,621.0
192,2010-09-19,661.0
193,2010-09-26,644.0
194,2010-10-03,638.0
195,2010-10-10,704.0
196,2010-10-17,703.0
197,2010-10-24,732.0
198,2010-10-31,715.0
199,2010-11-07,756.0
200,2010-11-14,714.0
201,2010-11-21,722.0
202,2010-11-28,738.0
203,2010-12-05,695.0
204,2010-12-12,640.0
205,2010-12-19,508.0
206,2010-12-26,484.0
207,2011-01-02,397.0
208,2011-01-09,334.0
209,2011-01-16,374.0
210,2011-01-23,420.0
211,2011-01-30,433.0
212,2011-02-06,441.0
213,2011-02-13,463.0
214,2011-02-20,455.0
215,2011-02-27,438.0
216,2011-03-06,422.0
217,2011-03-13,471.0
218,2011-03-20,454.0
219,2011-03-27,447.0
220,2011-04-03,460.0
221,2011-04-10,440.0
222,2011-04-17,621.0
223,2011-04-24,599.0
224,2011-05-01,409.0
225,2011-05-08,453.0
226,2011-05-15,406.0
227,2011-05-22,424.0
228,2011-05-29,443.0
229,2011-06-05,471.0
230,2011-06-12,468.0
231,2011-06-19,445.0
232,2011-06-26,492.0
233,2011-07-03,461.0
234,2011-07-10,488.0
235,2011-07-17,480.0
236,2011-07-24,480.0
237,2011-07-31,429.0
238,2011-08-07,282.0
239,2011-08-14,251.0
240,2011-08-21,263.0
241,2011-08-28,359.0
242,2011-09-04,411.0
243,2011-09-11,506.0
244,2011-09-18,527.0
245,2011-09-25,436.0
246,2011-10-02,481.0
247,2011-10-09,469.0
248,2011-10-16,461.0
249,2011-10-23,446.0
250,2011-10-30,493.0
251,2011-11-06,448.0
252,2011-11-13,429.0
253,2011-11-20,493.0
254,2011-11-27,488.0
255,2011-12-04,486.0
256,2011-12-11,415.0
257,2011-12-18,380.0
258,2011-12-25,394.0
259,2012-01-01,281.0
260,2012-01-08,324.0
261,2012-01-15,197.0
262,2012-01-22,233.0
263,2012-01-29,250.0
264,2012-02-05,282.0
265,2012-02-12,282.0
266,2012-02-19,232.0
267,2012-02-26,299.0
268,2012-03-04,352.0
269,2012-03-11,400.0
270,2012-03-18,386.0
271,2012-03-25,435.0
272,2012-04-01,457.0
273,2012-04-08,524.0
274,2012-04-15,672.0
275,2012-04-22,627.0
276,2012-04-29,593.0
277,2012-05-06,482.0
278,2012-05-13,536.0
279,2012-05-20,577.0
280,2012-05-27,557.0
281,2012-06-03,534.0
282,2012-06-10,544.0
283,2012-06-17,548.0
284,2012-06-24,591.0
285,2012-07-01,590.0
286,2012-07-08,610.0
287,2012-07-15,619.0
288,2012-07-22,559.0
289,2012-07-29,503.0
290,2012-08-05,421.0
291,2012-08-12,380.0
292,2012-08-19,437.0
293,2012-08-26,443.0
294,2012-09-02,492.0
295,2012-09-09,482.0
296,2012-09-16,478.0
297,2012-09-23,508.0
298,2012-09-30,559.0
299,2012-10-07,574.0
300,2012-10-14,565.0
301,2012-10-21,524.0
302,2012-10-28,550.0
303,2012-11-04,614.0
304,2012-11-11,551.0
305,2012-11-18,585.0
306,2012-11-25,575.0
307,2012-12-02,495.0
308,2012-12-09,520.0
309,2012-12-16,468.0
310,2012-12-23,450.0
311,2012-12-30,334.0
312,2013-01-06,167.0
313,2013-01-13,331.0
314,2013-01-20,268.0
315,2013-01-27,299.0
316,2013-02-03,273.0
317,2013-02-10,348.0
318,2013-02-17,413.0
319,2013-02-24,399.0
320,2013-03-03,443.0
321,2013-03-10,444.0
322,2013-03-17,506.0
323,2013-03-24,570.0
324,2013-03-31,611.0
325,2013-04-07,594.0
326,2013-04-14,603.0
327,2013-04-21,754.0
328,2013-04-28,719.0
329,2013-05-05,574.0
330,2013-05-12,528.0
331,2013-05-19,530.0
332,2013-05-26,630.0
333,2013-06-02,641.0
334,2013-06-09,647.0
335,2013-06-16,656.0
336,2013-06-23,643.0
337,2013-06-30,634.0
338,2013-07-07,668.0
339,2013-07-14,717.0
340,2013-07-21,688.0
341,2013-07-28,677.0
342,2013-08-04,528.0
343,2013-08-11,501.0
344,2013-08-18,507.0
345,2013-08-25,590.0
346,2013-09-01,603.0
347,2013-09-08,661.0
348,2013-09-15,680.0
349,2013-09-22,700.0
350,2013-09-29,689.0
351,2013-10-06,712.0
352,2013-10-13,763.0
353,2013-10-20,771.0
354,2013-10-27,823.0
355,2013-11-03,844.0
356,2013-11-10,776.0
357,2013-11-17,751.0
358,2013-11-24,775.0
359,2013-12-01,692.0
360,2013-12-08,732.0
361,2013-12-15,699.0
362,2013-12-22,697.0
363,2013-12-29,546.0
364,2014-01-05,339.0
365,2014-01-12,349.0
366,2014-01-19,423.0
367,2014-01-26,487.0
368,2014-02-02,500.0
369,2014-02-09,457.0
370,2014-02-16,514.0
371,2014-02-23,508.0
372,2014-03-02,506.0
373,2014-03-09,514.0
374,2014-03-16,573.0
375,2014-03-23,584.0
376,2014-03-30,610.0
377,2014-04-06,567.0
378,2014-04-13,687.0
379,2014-04-20,801.0
380,2014-04-27,777.0
381,2014-05-04,662.0
382,2014-05-11,651.0
383,2014-05-18,698.0
384,2014-05-25,785.0
385,2014-06-01,761.0
386,2014-06-08,780.0
387,2014-06-15,880.0
388,2014-06-22,880.0
389,2014-06-29,878.0
390,2014-07-06,844.0
391,2014-07-13,873.0
392,2014-07-20,995.0
393,2014-07-27,899.0
394,2014-08-03,798.0
395,2014-08-10,634.0
396,2014-08-17,561.0
397,2014-08-24,611.0
398,2014-08-31,690.0
399,2014-09-07,807.0
400,2014-09-14,780.0
401,2014-09-21,923.0
402,2014-09-28,890.0
403,2014-10-05,989.0
404,2014-10-12,1022.0
405,2014-10-19,1011.0
406,2014-10-26,1060.0
407,2014-11-02,1062.0
408,2014-11-09,998.0
409,2014-11-16,902.0
410,2014-11-23,921.0
411,2014-11-30,889.0
412,2014-12-07,850.0
413,2014-12-14,916.0
414,2014-12-21,844.0
415,2014-12-28,611.0
416,2015-01-04,341.0
417,2015-01-11,251.0
418,2015-01-18,348.0
419,2015-01-25,467.0
420,2015-02-01,507.0
421,2015-02-08,494.0
422,2015-02-15,483.0
423,2015-02-22,487.0
424,2015-03-01,538.0
425,2015-03-08,589.0
426,2015-03-15,586.0
427,2015-03-22,644.0
428,2015-03-29,656.0
429,2015-04-05,607.0
430,2015-04-12,650.0
431,2015-04-19,981.0
432,2015-04-26,1039.0
433,2015-05-03,782.0
434,2015-05-10,720.0
435,2015-05-17,692.0
