,Date,Net_month_art
0,2007-01-31,1144.0
1,2007-02-28,1215.0
2,2007-03-31,1186.0
3,2007-04-30,1302.0
4,2007-05-31,1501.0
5,2007-06-30,1599.0
6,2007-07-31,1637.0
7,2007-08-31,1702.0
8,2007-09-30,1666.0
9,2007-10-31,1722.0
10,2007-11-30,1844.0
11,2007-12-31,1724.0
12,2008-01-31,1105.0
13,2008-02-29,1304.0
14,2008-03-31,1510.0
15,2008-04-30,1738.0
16,2008-05-31,1718.0
17,2008-06-30,1709.0
18,2008-07-31,1661.0
19,2008-08-31,1690.0
20,2008-09-30,2027.0
21,2008-10-31,1922.0
22,2008-11-30,1866.0
23,2008-12-31,1834.0
24,2009-01-31,1300.0
25,2009-02-28,1411.0
26,2009-03-31,1595.0
27,2009-04-30,1640.0
28,2009-05-31,1704.0
29,2009-06-30,1721.0
30,2009-07-31,1723.0
31,2009-08-31,1581.0
32,2009-09-30,2036.0
33,2009-10-31,1997.0
34,2009-11-30,2282.0
35,2009-12-31,1912.0
36,2010-01-31,1288.0
37,2010-02-28,1739.0
38,2010-03-31,2303.0
39,2010-04-30,2575.0
40,2010-05-31,2730.0
41,2010-06-30,2473.0
42,2010-07-31,2420.0
43,2010-08-31,2205.0
44,2010-09-30,2705.0
45,2010-10-31,2682.0
46,2010-11-30,2801.0
47,2010-12-31,2105.0
48,2011-01-31,1696.0
49,2011-02-28,1830.0
50,2011-03-31,1995.0
51,2011-04-30,2195.0
52,2011-05-31,2028.0
53,2011-06-30,1948.0
54,2011-07-31,1977.0
55,2011-08-31,1438.0
56,2011-09-30,1926.0
57,2011-10-31,1964.0
58,2011-11-30,1948.0
59,2011-12-31,1670.0
60,2012-01-31,1063.0
61,2012-02-29,1299.0
62,2012-03-31,1480.0
63,2012-04-30,1691.0
64,2012-05-31,1993.0
65,2012-06-30,2077.0
66,2012-07-31,2098.0
67,2012-08-31,2177.0
68,2012-09-30,2307.0
69,2012-10-31,2524.0
70,2012-11-30,2510.0
71,2012-12-31,1870.0
72,2013-01-31,1378.0
73,2013-02-28,1600.0
74,2013-03-31,2142.0
75,2013-04-30,2365.0
76,2013-05-31,2252.0
77,2013-06-30,2232.0
78,2013-07-31,2213.0
79,2013-08-31,2229.0
80,2013-09-30,2408.0
81,2013-10-31,2613.0
82,2013-11-30,2564.0
83,2013-12-31,2313.0
84,2014-01-31,1477.0
85,2014-02-28,1516.0
86,2014-03-31,1859.0
87,2014-04-30,2131.0
88,2014-05-31,2226.0
89,2014-06-30,2361.0
90,2014-07-31,2665.0
91,2014-08-31,2434.0
92,2014-09-30,2916.0
93,2014-10-31,3025.0
94,2014-11-30,2698.0
95,2014-12-31,2442.0
96,2015-01-31,1690.0
97,2015-02-28,1844.0
98,2015-03-31,2080.0
99,2015-04-30,2227.0
100,2015-05-31,2242.0
101,2015-06-30,2418.0
102,2015-07-31,2559.0
103,2015-08-31,2254.0
104,2015-09-30,2919.0
105,2015-10-31,3207.0
106,2015-11-30,3223.0
107,2015-12-31,2756.0
108,2016-01-31,1741.0
109,2016-02-29,2186.0
110,2016-03-31,2429.0
111,2016-04-30,2802.0
112,2016-05-31,2560.0
113,2016-06-30,2758.0
114,2016-07-31,2904.0
115,2016-08-31,2499.0
116,2016-09-30,3175.0
117,2016-10-31,3482.0
118,2016-11-30,3702.0
119,2016-12-31,3497.0
120,2017-01-31,2279.0
121,2017-02-28,2981.0
122,2017-03-31,3335.0
123,2017-04-30,3745.0
124,2017-05-31,3811.0
125,2017-06-30,4100.0
126,2017-07-31,3936.0
127,2017-08-31,3437.0
128,2017-09-30,4445.0
129,2017-10-31,4795.0
130,2017-11-30,4960.0
131,2017-12-31,4369.0
132,2018-01-31,3218.0
133,2018-02-28,3768.0
134,2018-03-31,4692.0
135,2018-04-30,4983.0
136,2018-05-31,5041.0
137,2018-06-30,5307.0
138,2018-07-31,5217.0
139,2018-08-31,5035.0
140,2018-09-30,5910.0
141,2018-10-31,6165.0
142,2018-11-30,6284.0
143,2018-12-31,5793.0
144,2019-01-31,3967.0
145,2019-02-28,4921.0
146,2019-03-31,5532.0
147,2019-04-30,5656.0
148,2019-05-31,5597.0
149,2019-06-30,5768.0
150,2019-07-31,5792.0
151,2019-08-31,5060.0
152,2019-09-30,6115.0
153,2019-10-31,6914.0
154,2019-11-30,6520.0
155,2019-12-31,5637.0
156,2020-01-31,4236.0
157,2020-02-29,5384.0
158,2020-03-31,6097.0
159,2020-04-30,5933.0
160,2020-05-31,6074.0
161,2020-06-30,6721.0
162,2020-07-31,6347.0
163,2020-08-31,5898.0
164,2020-09-30,7008.0
165,2020-10-31,7402.0
166,2020-11-30,6837.0
167,2020-12-31,6331.0
168,2021-01-31,4960.0
169,2021-02-28,6078.0
170,2021-03-31,6789.0
171,2021-04-30,6907.0
172,2021-05-31,6780.0
173,2021-06-30,7336.0
174,2021-07-31,7265.0
175,2021-08-31,6248.0
176,2021-09-30,7252.0
177,2021-10-31,8311.0
178,2021-11-30,8411.0
179,2021-12-31,7777.0
