,Date,Net_week_art
0,2007-01-14,1036.0
1,2007-01-21,989.0
2,2007-01-28,1117.0
3,2007-02-04,1133.0
4,2007-02-11,1144.0
5,2007-02-18,1118.0
6,2007-02-25,1215.0
7,2007-03-04,1209.0
8,2007-03-11,1210.0
9,2007-03-18,1091.0
10,2007-03-25,1036.0
11,2007-04-01,1130.0
12,2007-04-08,1186.0
13,2007-04-15,1118.0
14,2007-04-22,1204.0
15,2007-04-29,1229.0
16,2007-05-06,1302.0
17,2007-05-13,1467.0
18,2007-05-20,1501.0
19,2007-05-27,1441.0
20,2007-06-03,1357.0
21,2007-06-10,1484.0
22,2007-06-17,1457.0
23,2007-06-24,1599.0
24,2007-07-01,1474.0
25,2007-07-08,1469.0
26,2007-07-15,1612.0
27,2007-07-22,1637.0
28,2007-07-29,1497.0
29,2007-08-05,1253.0
30,2007-08-12,1130.0
31,2007-08-19,1133.0
32,2007-08-26,1188.0
33,2007-09-02,1301.0
34,2007-09-09,1702.0
35,2007-09-16,1666.0
36,2007-09-23,1468.0
37,2007-09-30,1529.0
38,2007-10-07,1571.0
39,2007-10-14,1640.0
40,2007-10-21,1722.0
41,2007-10-28,1676.0
42,2007-11-04,1646.0
43,2007-11-11,1593.0
44,2007-11-18,1675.0
45,2007-11-25,1816.0
46,2007-12-02,1844.0
47,2007-12-09,1807.0
48,2007-12-16,1724.0
49,2007-12-23,1538.0
50,2007-12-30,1368.0
51,2008-01-06,1058.0
52,2008-01-13,1030.0
53,2008-01-20,1057.0
54,2008-01-27,991.0
55,2008-02-03,1052.0
56,2008-02-10,1237.0
57,2008-02-17,1231.0
58,2008-02-24,1304.0
59,2008-03-02,1251.0
60,2008-03-09,1260.0
61,2008-03-16,1390.0
62,2008-03-23,1481.0
63,2008-03-30,1510.0
64,2008-04-06,1484.0
65,2008-04-13,1562.0
66,2008-04-20,1608.0
67,2008-04-27,1738.0
68,2008-05-04,1720.0
69,2008-05-11,1675.0
70,2008-05-18,1519.0
71,2008-05-25,1671.0
72,2008-06-01,1718.0
73,2008-06-08,1703.0
74,2008-06-15,1636.0
75,2008-06-22,1672.0
76,2008-06-29,1674.0
77,2008-07-06,1709.0
78,2008-07-13,1697.0
79,2008-07-20,1661.0
80,2008-07-27,1506.0
81,2008-08-03,1252.0
82,2008-08-10,1084.0
83,2008-08-17,1122.0
84,2008-08-24,1381.0
85,2008-08-31,1582.0
86,2008-09-07,1690.0
87,2008-09-14,1746.0
88,2008-09-21,1703.0
89,2008-09-28,2027.0
90,2008-10-05,1779.0
91,2008-10-12,1791.0
92,2008-10-19,1922.0
93,2008-10-26,1871.0
94,2008-11-02,1815.0
95,2008-11-09,1785.0
96,2008-11-16,1723.0
97,2008-11-23,1827.0
98,2008-11-30,1866.0
99,2008-12-07,1844.0
100,2008-12-14,1834.0
101,2008-12-21,1775.0
102,2008-12-28,1603.0
103,2009-01-04,1078.0
104,2009-01-11,1020.0
105,2009-01-18,1166.0
106,2009-01-25,1240.0
107,2009-02-01,1300.0
108,2009-02-08,1262.0
109,2009-02-15,1371.0
110,2009-02-22,1376.0
111,2009-03-01,1409.0
112,2009-03-08,1411.0
113,2009-03-15,1354.0
114,2009-03-22,1379.0
115,2009-03-29,1505.0
116,2009-04-05,1558.0
117,2009-04-12,1595.0
118,2009-04-19,1524.0
119,2009-04-26,1470.0
120,2009-05-03,1614.0
121,2009-05-10,1640.0
122,2009-05-17,1626.0
123,2009-05-24,1658.0
124,2009-05-31,1579.0
125,2009-06-07,1704.0
126,2009-06-14,1664.0
127,2009-06-21,1610.0
128,2009-06-28,1638.0
129,2009-07-05,1721.0
130,2009-07-12,1723.0
131,2009-07-19,1603.0
132,2009-07-26,1629.0
133,2009-08-02,1323.0
134,2009-08-09,1061.0
135,2009-08-16,1140.0
136,2009-08-23,1284.0
137,2009-08-30,1450.0
138,2009-09-06,1581.0
139,2009-09-13,1707.0
140,2009-09-20,1796.0
141,2009-09-27,2007.0
142,2009-10-04,2036.0
143,2009-10-11,1924.0
144,2009-10-18,1886.0
145,2009-10-25,1890.0
146,2009-11-01,1930.0
147,2009-11-08,1997.0
148,2009-11-15,2040.0
149,2009-11-22,2117.0
150,2009-11-29,2282.0
151,2009-12-06,2158.0
152,2009-12-13,1991.0
153,2009-12-20,1907.0
154,2009-12-27,1621.0
155,2010-01-03,1102.0
156,2010-01-10,980.0
157,2010-01-17,1021.0
158,2010-01-24,1014.0
159,2010-01-31,1144.0
160,2010-02-07,1288.0
161,2010-02-14,1451.0
162,2010-02-21,1485.0
163,2010-02-28,1535.0
164,2010-03-07,1739.0
165,2010-03-14,1943.0
166,2010-03-21,1977.0
167,2010-03-28,2093.0
168,2010-04-04,2303.0
169,2010-04-11,2263.0
170,2010-04-18,2467.0
171,2010-04-25,2562.0
172,2010-05-02,2482.0
173,2010-05-09,2575.0
174,2010-05-16,2605.0
175,2010-05-23,2730.0
176,2010-05-30,2434.0
177,2010-06-06,2386.0
178,2010-06-13,2305.0
179,2010-06-20,2309.0
180,2010-06-27,2327.0
181,2010-07-04,2422.0
182,2010-07-11,2473.0
183,2010-07-18,2330.0
184,2010-07-25,2320.0
185,2010-08-01,1739.0
186,2010-08-08,1535.0
187,2010-08-15,1584.0
188,2010-08-22,1702.0
189,2010-08-29,1909.0
190,2010-09-05,2009.0
191,2010-09-12,2490.0
192,2010-09-19,2617.0
193,2010-09-26,2705.0
194,2010-10-03,2554.0
195,2010-10-10,2668.0
196,2010-10-17,2538.0
197,2010-10-24,2570.0
198,2010-10-31,2558.0
199,2010-11-07,2682.0
200,2010-11-14,2636.0
201,2010-11-21,2783.0
202,2010-11-28,2801.0
203,2010-12-05,2593.0
204,2010-12-12,2381.0
205,2010-12-19,2092.0
206,2010-12-26,2028.0
207,2011-01-02,1626.0
208,2011-01-09,1453.0
209,2011-01-16,1568.0
210,2011-01-23,1672.0
211,2011-01-30,1696.0
212,2011-02-06,1679.0
213,2011-02-13,1687.0
214,2011-02-20,1775.0
215,2011-02-27,1793.0
216,2011-03-06,1784.0
217,2011-03-13,1842.0
218,2011-03-20,1768.0
