,Date,Net_week_art
0,2007-01-14,21.0
1,2007-01-21,10.0
2,2007-01-28,10.0
3,2007-02-04,10.0
4,2007-02-11,9.0
5,2007-02-18,8.0
6,2007-02-25,9.0
7,2007-03-04,7.0
8,2007-03-11,10.0
9,2007-03-18,16.0
10,2007-03-25,12.0
11,2007-04-01,13.0
12,2007-04-08,17.0
13,2007-04-15,23.0
14,2007-04-22,27.0
15,2007-04-29,37.0
16,2007-05-06,38.0
17,2007-05-13,44.0
18,2007-05-20,44.0
19,2007-05-27,45.0
20,2007-06-03,59.0
21,2007-06-10,59.0
22,2007-06-17,56.0
23,2007-06-24,46.0
24,2007-07-01,49.0
25,2007-07-08,47.0
26,2007-07-15,31.0
27,2007-07-22,32.0
28,2007-07-29,37.0
29,2007-08-05,41.0
30,2007-08-12,40.0
31,2007-08-19,35.0
32,2007-08-26,37.0
33,2007-09-02,42.0
34,2007-09-09,48.0
35,2007-09-16,47.0
36,2007-09-23,42.0
37,2007-09-30,30.0
38,2007-10-07,30.0
39,2007-10-14,29.0
40,2007-10-21,28.0
41,2007-10-28,28.0
42,2007-11-04,45.0
43,2007-11-11,39.0
44,2007-11-18,26.0
45,2007-11-25,24.0
46,2007-12-02,26.0
47,2007-12-09,37.0
48,2007-12-16,38.0
49,2007-12-23,38.0
50,2007-12-30,38.0
51,2008-01-06,29.0
52,2008-01-13,11.0
53,2008-01-20,11.0
54,2008-01-27,12.0
55,2008-02-03,14.0
56,2008-02-10,18.0
57,2008-02-17,21.0
58,2008-02-24,18.0
59,2008-03-02,18.0
60,2008-03-09,20.0
61,2008-03-16,30.0
62,2008-03-23,25.0
63,2008-03-30,23.0
64,2008-04-06,15.0
65,2008-04-13,14.0
66,2008-04-20,12.0
67,2008-04-27,22.0
68,2008-05-04,23.0
69,2008-05-11,23.0
70,2008-05-18,21.0
71,2008-05-25,28.0
72,2008-06-01,36.0
73,2008-06-08,28.0
74,2008-06-15,29.0
75,2008-06-22,24.0
76,2008-06-29,24.0
77,2008-07-06,24.0
78,2008-07-13,21.0
79,2008-07-20,23.0
80,2008-07-27,15.0
81,2008-08-03,13.0
82,2008-08-10,12.0
83,2008-08-17,9.0
84,2008-08-24,10.0
85,2008-08-31,17.0
86,2008-09-07,26.0
87,2008-09-14,24.0
88,2008-09-21,22.0
89,2008-09-28,17.0
90,2008-10-05,23.0
91,2008-10-12,23.0
92,2008-10-19,27.0
93,2008-10-26,25.0
94,2008-11-02,23.0
95,2008-11-09,30.0
96,2008-11-16,28.0
97,2008-11-23,29.0
98,2008-11-30,28.0
99,2008-12-07,18.0
100,2008-12-14,25.0
101,2008-12-21,15.0
102,2008-12-28,17.0
103,2009-01-04,9.0
104,2009-01-11,4.0
105,2009-01-18,15.0
106,2009-01-25,16.0
107,2009-02-01,17.0
108,2009-02-08,15.0
109,2009-02-15,19.0
110,2009-02-22,25.0
111,2009-03-01,24.0
112,2009-03-08,26.0
113,2009-03-15,19.0
114,2009-03-22,24.0
115,2009-03-29,27.0
116,2009-04-05,22.0
117,2009-04-12,30.0
118,2009-04-19,30.0
119,2009-04-26,14.0
120,2009-05-03,30.0
121,2009-05-10,25.0
122,2009-05-17,20.0
123,2009-05-24,23.0
124,2009-05-31,13.0
125,2009-06-07,22.0
126,2009-06-14,22.0
127,2009-06-21,17.0
128,2009-06-28,19.0
129,2009-07-05,18.0
130,2009-07-12,18.0
131,2009-07-19,17.0
132,2009-07-26,18.0
133,2009-08-02,19.0
134,2009-08-09,16.0
135,2009-08-16,13.0
136,2009-08-23,14.0
137,2009-08-30,19.0
138,2009-09-06,31.0
139,2009-09-13,33.0
140,2009-09-20,32.0
141,2009-09-27,38.0
142,2009-10-04,39.0
143,2009-10-11,34.0
144,2009-10-18,35.0
145,2009-10-25,38.0
146,2009-11-01,41.0
147,2009-11-08,41.0
148,2009-11-15,32.0
149,2009-11-22,33.0
150,2009-11-29,31.0
151,2009-12-06,28.0
152,2009-12-13,26.0
153,2009-12-20,25.0
154,2009-12-27,26.0
155,2010-01-03,30.0
156,2010-01-10,30.0
157,2010-01-17,30.0
158,2010-01-24,35.0
159,2010-01-31,31.0
160,2010-02-07,20.0
161,2010-02-14,16.0
162,2010-02-21,18.0
163,2010-02-28,24.0
164,2010-03-07,19.0
165,2010-03-14,18.0
166,2010-03-21,19.0
167,2010-03-28,23.0
168,2010-04-04,26.0
169,2010-04-11,38.0
170,2010-04-18,51.0
171,2010-04-25,49.0
172,2010-05-02,42.0
173,2010-05-09,45.0
174,2010-05-16,43.0
175,2010-05-23,41.0
176,2010-05-30,50.0
177,2010-06-06,55.0
178,2010-06-13,43.0
179,2010-06-20,40.0
180,2010-06-27,35.0
181,2010-07-04,25.0
182,2010-07-11,31.0
183,2010-07-18,31.0
184,2010-07-25,32.0
185,2010-08-01,33.0
186,2010-08-08,32.0
187,2010-08-15,30.0
188,2010-08-22,21.0
189,2010-08-29,29.0
190,2010-09-05,28.0
191,2010-09-12,26.0
192,2010-09-19,31.0
193,2010-09-26,37.0
194,2010-10-03,33.0
195,2010-10-10,33.0
196,2010-10-17,43.0
197,2010-10-24,41.0
198,2010-10-31,59.0
199,2010-11-07,62.0
200,2010-11-14,59.0
201,2010-11-21,64.0
202,2010-11-28,60.0
203,2010-12-05,81.0
204,2010-12-12,77.0
205,2010-12-19,73.0
206,2010-12-26,66.0
207,2011-01-02,42.0
208,2011-01-09,37.0
209,2011-01-16,45.0
210,2011-01-23,43.0
211,2011-01-30,44.0
212,2011-02-06,45.0
213,2011-02-13,45.0
214,2011-02-20,45.0
215,2011-02-27,47.0
216,2011-03-06,44.0
217,2011-03-13,49.0
218,2011-03-20,51.0
219,2011-03-27,51.0
220,2011-04-03,47.0
221,2011-04-10,47.0
222,2011-04-17,49.0
223,2011-04-24,52.0
224,2011-05-01,40.0
225,2011-05-08,58.0
226,2011-05-15,59.0
227,2011-05-22,59.0
228,2011-05-29,66.0
229,2011-06-05,49.0
230,2011-06-12,48.0
231,2011-06-19,38.0
232,2011-06-26,38.0
233,2011-07-03,36.0
234,2011-07-10,35.0
235,2011-07-17,40.0
236,2011-07-24,41.0
237,2011-07-31,38.0
238,2011-08-07,28.0
239,2011-08-14,25.0
240,2011-08-21,37.0
241,2011-08-28,47.0
242,2011-09-04,56.0
243,2011-09-11,53.0
244,2011-09-18,64.0
245,2011-09-25,60.0
246,2011-10-02,65.0
247,2011-10-09,67.0
248,2011-10-16,78.0
249,2011-10-23,72.0
250,2011-10-30,64.0
251,2011-11-06,53.0
252,2011-11-13,60.0
253,2011-11-20,58.0
254,2011-11-27,52.0
255,2011-12-04,57.0
256,2011-12-11,60.0
257,2011-12-18,61.0
258,2011-12-25,64.0
259,2012-01-01,57.0
260,2012-01-08,44.0
261,2012-01-15,51.0
262,2012-01-22,73.0
263,2012-01-29,58.0
264,2012-02-05,64.0
265,2012-02-12,58.0
266,2012-02-19,62.0
267,2012-02-26,56.0
268,2012-03-04,48.0
269,2012-03-11,47.0
270,2012-03-18,45.0
271,2012-03-25,46.0
272,2012-04-01,39.0
273,2012-04-08,36.0
274,2012-04-15,44.0
275,2012-04-22,47.0
276,2012-04-29,45.0
277,2012-05-06,52.0
278,2012-05-13,59.0
279,2012-05-20,72.0
280,2012-05-27,68.0
281,2012-06-03,67.0
282,2012-06-10,65.0
283,2012-06-17,64.0
284,2012-06-24,65.0
285,2012-07-01,62.0
286,2012-07-08,61.0
287,2012-07-15,64.0
288,2012-07-22,65.0
289,2012-07-29,47.0
290,2012-08-05,37.0
291,2012-08-12,51.0
292,2012-08-19,48.0
293,2012-08-26,43.0
294,2012-09-02,66.0
295,2012-09-09,68.0
296,2012-09-16,32.0
297,2012-09-23,38.0
298,2012-09-30,37.0
299,2012-10-07,47.0
300,2012-10-14,51.0
301,2012-10-21,54.0
302,2012-10-28,52.0
303,2012-11-04,43.0
304,2012-11-11,35.0
305,2012-11-18,45.0
306,2012-11-25,36.0
307,2012-12-02,33.0
308,2012-12-09,29.0
309,2012-12-16,25.0
310,2012-12-23,25.0
311,2012-12-30,18.0
312,2013-01-06,43.0
313,2013-01-13,38.0
314,2013-01-20,22.0
315,2013-01-27,24.0
316,2013-02-03,25.0
317,2013-02-10,28.0
318,2013-02-17,34.0
319,2013-02-24,43.0
320,2013-03-03,52.0
321,2013-03-10,50.0
322,2013-03-17,50.0
323,2013-03-24,57.0
324,2013-03-31,65.0
325,2013-04-07,65.0
326,2013-04-14,70.0
327,2013-04-21,92.0
328,2013-04-28,84.0
329,2013-05-05,83.0
330,2013-05-12,69.0
331,2013-05-19,68.0
332,2013-05-26,75.0
333,2013-06-02,67.0
334,2013-06-09,58.0
335,2013-06-16,54.0
336,2013-06-23,49.0
337,2013-06-30,48.0
338,2013-07-07,48.0
339,2013-07-14,48.0
340,2013-07-21,47.0
341,2013-07-28,53.0
342,2013-08-04,49.0
343,2013-08-11,41.0
344,2013-08-18,39.0
345,2013-08-25,42.0
346,2013-09-01,47.0
347,2013-09-08,43.0
348,2013-09-15,36.0
349,2013-09-22,45.0
350,2013-09-29,47.0
351,2013-10-06,50.0
352,2013-10-13,47.0
353,2013-10-20,60.0
354,2013-10-27,64.0
355,2013-11-03,59.0
356,2013-11-10,57.0
357,2013-11-17,56.0
358,2013-11-24,59.0
359,2013-12-01,50.0
360,2013-12-08,51.0
361,2013-12-15,61.0
362,2013-12-22,63.0
363,2013-12-29,51.0
364,2014-01-05,38.0
365,2014-01-12,39.0
366,2014-01-19,41.0
367,2014-01-26,40.0
368,2014-02-02,30.0
369,2014-02-09,28.0
370,2014-02-16,30.0
371,2014-02-23,24.0
372,2014-03-02,45.0
373,2014-03-09,43.0
374,2014-03-16,55.0
375,2014-03-23,48.0
376,2014-03-30,50.0
377,2014-04-06,47.0
378,2014-04-13,46.0
379,2014-04-20,55.0
380,2014-04-27,54.0
381,2014-05-04,50.0
382,2014-05-11,57.0
383,2014-05-18,61.0
