,Date,Net_month_art
0,2007-01-31,127.0
1,2007-02-28,184.0
2,2007-03-31,225.0
3,2007-04-30,251.0
4,2007-05-31,276.0
5,2007-06-30,252.0
6,2007-07-31,249.0
7,2007-08-31,268.0
8,2007-09-30,318.0
9,2007-10-31,349.0
10,2007-11-30,305.0
11,2007-12-31,252.0
12,2008-01-31,177.0
13,2008-02-29,195.0
14,2008-03-31,253.0
15,2008-04-30,287.0
16,2008-05-31,316.0
17,2008-06-30,370.0
18,2008-07-31,355.0
19,2008-08-31,320.0
20,2008-09-30,322.0
21,2008-10-31,386.0
22,2008-11-30,382.0
23,2008-12-31,307.0
24,2009-01-31,293.0
25,2009-02-28,293.0
26,2009-03-31,362.0
27,2009-04-30,429.0
28,2009-05-31,397.0
29,2009-06-30,395.0
30,2009-07-31,387.0
31,2009-08-31,433.0
32,2009-09-30,585.0
33,2009-10-31,530.0
34,2009-11-30,493.0
35,2009-12-31,405.0
36,2010-01-31,317.0
37,2010-02-28,414.0
38,2010-03-31,512.0
39,2010-04-30,605.0
40,2010-05-31,589.0
41,2010-06-30,488.0
42,2010-07-31,486.0
43,2010-08-31,584.0
44,2010-09-30,777.0
45,2010-10-31,755.0
46,2010-11-30,788.0
47,2010-12-31,595.0
48,2011-01-31,515.0
49,2011-02-28,592.0
50,2011-03-31,603.0
51,2011-04-30,652.0
52,2011-05-31,733.0
53,2011-06-30,654.0
54,2011-07-31,680.0
55,2011-08-31,548.0
56,2011-09-30,624.0
57,2011-10-31,638.0
58,2011-11-30,571.0
59,2011-12-31,470.0
60,2012-01-31,458.0
61,2012-02-29,516.0
62,2012-03-31,683.0
63,2012-04-30,767.0
64,2012-05-31,814.0
65,2012-06-30,924.0
66,2012-07-31,951.0
67,2012-08-31,878.0
68,2012-09-30,766.0
69,2012-10-31,869.0
70,2012-11-30,885.0
71,2012-12-31,643.0
72,2013-01-31,520.0
73,2013-02-28,707.0
74,2013-03-31,973.0
75,2013-04-30,1098.0
76,2013-05-31,1118.0
77,2013-06-30,998.0
78,2013-07-31,1156.0
79,2013-08-31,1122.0
80,2013-09-30,1050.0
81,2013-10-31,1133.0
82,2013-11-30,1121.0
83,2013-12-31,1040.0
84,2014-01-31,717.0
85,2014-02-28,756.0
86,2014-03-31,796.0
87,2014-04-30,1090.0
88,2014-05-31,1133.0
89,2014-06-30,1307.0
90,2014-07-31,1460.0
91,2014-08-31,1177.0
92,2014-09-30,1394.0
93,2014-10-31,1482.0
94,2014-11-30,1254.0
95,2014-12-31,1140.0
96,2015-01-31,784.0
97,2015-02-28,1004.0
98,2015-03-31,1121.0
99,2015-04-30,1158.0
100,2015-05-31,1381.0
101,2015-06-30,1519.0
102,2015-07-31,1534.0
103,2015-08-31,1312.0
104,2015-09-30,1693.0
105,2015-10-31,1558.0
106,2015-11-30,1415.0
107,2015-12-31,1021.0
108,2016-01-31,799.0
109,2016-02-29,925.0
110,2016-03-31,1195.0
111,2016-04-30,1496.0
112,2016-05-31,1141.0
113,2016-06-30,1756.0
114,2016-07-31,1517.0
115,2016-08-31,1510.0
116,2016-09-30,1890.0
117,2016-10-31,1704.0
118,2016-11-30,1740.0
119,2016-12-31,1364.0
120,2017-01-31,1080.0
121,2017-02-28,1277.0
122,2017-03-31,1494.0
123,2017-04-30,1560.0
124,2017-05-31,1726.0
125,2017-06-30,1964.0
126,2017-07-31,1858.0
127,2017-08-31,1560.0
128,2017-09-30,2138.0
129,2017-10-31,2284.0
130,2017-11-30,1969.0
131,2017-12-31,1687.0
132,2018-01-31,1348.0
133,2018-02-28,1423.0
134,2018-03-31,1925.0
135,2018-04-30,2055.0
136,2018-05-31,2173.0
137,2018-06-30,2904.0
138,2018-07-31,2748.0
139,2018-08-31,2945.0
140,2018-09-30,2622.0
141,2018-10-31,2389.0
142,2018-11-30,2418.0
143,2018-12-31,2037.0
144,2019-01-31,1436.0
145,2019-02-28,1547.0
146,2019-03-31,2249.0
147,2019-04-30,2343.0
148,2019-05-31,2508.0
149,2019-06-30,2563.0
150,2019-07-31,2539.0
151,2019-08-31,2776.0
152,2019-09-30,2971.0
153,2019-10-31,3518.0
154,2019-11-30,3038.0
155,2019-12-31,2219.0
156,2020-01-31,1738.0
157,2020-02-29,2224.0
158,2020-03-31,2522.0
159,2020-04-30,2836.0
160,2020-05-31,3054.0
161,2020-06-30,3446.0
162,2020-07-31,3201.0
163,2020-08-31,2742.0
164,2020-09-30,3090.0
165,2020-10-31,3285.0
166,2020-11-30,3183.0
167,2020-12-31,3129.0
168,2021-01-31,2262.0
169,2021-02-28,2860.0
170,2021-03-31,3079.0
171,2021-04-30,3349.0
172,2021-05-31,3346.0
173,2021-06-30,4233.0
174,2021-07-31,4045.0
175,2021-08-31,3740.0
176,2021-09-30,4067.0
177,2021-10-31,3939.0
178,2021-11-30,3770.0
179,2021-12-31,3345.0
