Datum,Aantal in verhuur
2007-01-01 00:00:00,152
2007-01-02 00:00:00,152
2007-01-03 00:00:00,155
2007-01-04 00:00:00,155
2007-01-05 00:00:00,157
2007-01-06 00:00:00,157
2007-01-07 00:00:00,162
2007-01-08 00:00:00,176
2007-01-09 00:00:00,188
2007-01-10 00:00:00,189
2007-01-11 00:00:00,178
2007-01-12 00:00:00,189
2007-01-13 00:00:00,183
2007-01-14 00:00:00,181
2007-01-15 00:00:00,203
2007-01-16 00:00:00,198
2007-01-17 00:00:00,197
2007-01-18 00:00:00,194
2007-01-19 00:00:00,199
2007-01-20 00:00:00,196
2007-01-21 00:00:00,196
2007-01-22 00:00:00,222
2007-01-23 00:00:00,221
2007-01-24 00:00:00,228
2007-01-25 00:00:00,232
2007-01-26 00:00:00,222
2007-01-27 00:00:00,218
2007-01-28 00:00:00,220
2007-01-29 00:00:00,231
2007-01-30 00:00:00,229
2007-01-31 00:00:00,223
2007-02-01 00:00:00,229
2007-02-02 00:00:00,240
2007-02-03 00:00:00,216
2007-02-04 00:00:00,218
2007-02-05 00:00:00,220
2007-02-06 00:00:00,229
2007-02-07 00:00:00,224
2007-02-08 00:00:00,222
2007-02-09 00:00:00,229
2007-02-10 00:00:00,211
2007-02-11 00:00:00,211
2007-02-12 00:00:00,217
2007-02-13 00:00:00,219
2007-02-14 00:00:00,224
2007-02-15 00:00:00,217
2007-02-16 00:00:00,216
2007-02-17 00:00:00,191
2007-02-18 00:00:00,191
2007-02-19 00:00:00,194
2007-02-20 00:00:00,205
2007-02-21 00:00:00,212
2007-02-22 00:00:00,227
2007-02-23 00:00:00,239
2007-02-24 00:00:00,204
2007-02-25 00:00:00,204
2007-02-26 00:00:00,223
2007-02-27 00:00:00,215
2007-02-28 00:00:00,222
2007-03-01 00:00:00,212
2007-03-02 00:00:00,221
2007-03-03 00:00:00,196
2007-03-04 00:00:00,196
2007-03-05 00:00:00,202
2007-03-06 00:00:00,207
2007-03-07 00:00:00,209
2007-03-08 00:00:00,212
2007-03-09 00:00:00,198
2007-03-10 00:00:00,191
2007-03-11 00:00:00,191
2007-03-12 00:00:00,201
2007-03-13 00:00:00,199
2007-03-14 00:00:00,192
2007-03-15 00:00:00,216
2007-03-16 00:00:00,218
2007-03-17 00:00:00,206
2007-03-18 00:00:00,203
2007-03-19 00:00:00,240
2007-03-20 00:00:00,303
2007-03-21 00:00:00,295
2007-03-22 00:00:00,288
2007-03-23 00:00:00,291
2007-03-24 00:00:00,280
2007-03-25 00:00:00,279
2007-03-26 00:00:00,313
2007-03-27 00:00:00,316
2007-03-28 00:00:00,304
2007-03-29 00:00:00,300
2007-03-30 00:00:00,292
2007-03-31 00:00:00,275
2007-04-01 00:00:00,275
2007-04-02 00:00:00,276
2007-04-03 00:00:00,285
2007-04-04 00:00:00,280
2007-04-05 00:00:00,284
2007-04-06 00:00:00,261
2007-04-07 00:00:00,255
2007-04-08 00:00:00,255
2007-04-09 00:00:00,255
2007-04-10 00:00:00,278
2007-04-11 00:00:00,306
2007-04-12 00:00:00,306
2007-04-13 00:00:00,334
2007-04-14 00:00:00,316
2007-04-15 00:00:00,314
2007-04-16 00:00:00,335
2007-04-17 00:00:00,363
2007-04-18 00:00:00,350
2007-04-19 00:00:00,345
2007-04-20 00:00:00,352
2007-04-21 00:00:00,330
2007-04-22 00:00:00,330
2007-04-23 00:00:00,349
2007-04-24 00:00:00,372
2007-04-25 00:00:00,361
2007-04-26 00:00:00,359
2007-04-27 00:00:00,363
2007-04-28 00:00:00,349
2007-04-29 00:00:00,349
2007-04-30 00:00:00,349
2007-05-01 00:00:00,417
2007-05-02 00:00:00,419
2007-05-03 00:00:00,418
2007-05-04 00:00:00,417
2007-05-05 00:00:00,401
2007-05-06 00:00:00,407
2007-05-07 00:00:00,436
2007-05-08 00:00:00,427
2007-05-09 00:00:00,433
2007-05-10 00:00:00,446
2007-05-11 00:00:00,453
2007-05-12 00:00:00,434
2007-05-13 00:00:00,434
2007-05-14 00:00:00,443
2007-05-15 00:00:00,426
2007-05-16 00:00:00,421
2007-05-17 00:00:00,410
2007-05-18 00:00:00,407
2007-05-19 00:00:00,407
2007-05-20 00:00:00,407
2007-05-21 00:00:00,439
2007-05-22 00:00:00,432
2007-05-23 00:00:00,437
2007-05-24 00:00:00,446
2007-05-25 00:00:00,434
2007-05-26 00:00:00,416
2007-05-27 00:00:00,413
2007-05-28 00:00:00,411
2007-05-29 00:00:00,430
2007-05-30 00:00:00,440
2007-05-31 00:00:00,420
2007-06-01 00:00:00,416
2007-06-02 00:00:00,390
2007-06-03 00:00:00,390
2007-06-04 00:00:00,400
2007-06-05 00:00:00,408
2007-06-06 00:00:00,401
2007-06-07 00:00:00,390
2007-06-08 00:00:00,386
2007-06-09 00:00:00,376
2007-06-10 00:00:00,372
2007-06-11 00:00:00,395
2007-06-12 00:00:00,394
2007-06-13 00:00:00,403
2007-06-14 00:00:00,400
2007-06-15 00:00:00,396
2007-06-16 00:00:00,358
2007-06-17 00:00:00,358
2007-06-18 00:00:00,372
2007-06-19 00:00:00,369
2007-06-20 00:00:00,375
2007-06-21 00:00:00,363
2007-06-22 00:00:00,367
2007-06-23 00:00:00,349
2007-06-24 00:00:00,349
2007-06-25 00:00:00,381
2007-06-26 00:00:00,362
2007-06-27 00:00:00,376
2007-06-28 00:00:00,375
2007-06-29 00:00:00,385
2007-06-30 00:00:00,373
2007-07-01 00:00:00,358
2007-07-02 00:00:00,393
2007-07-03 00:00:00,382
2007-07-04 00:00:00,368
2007-07-05 00:00:00,364
2007-07-06 00:00:00,337
2007-07-07 00:00:00,327
2007-07-08 00:00:00,325
2007-07-09 00:00:00,355
2007-07-10 00:00:00,350
2007-07-11 00:00:00,352
2007-07-12 00:00:00,335
2007-07-13 00:00:00,314
2007-07-14 00:00:00,293
2007-07-15 00:00:00,293
2007-07-16 00:00:00,296
2007-07-17 00:00:00,318
2007-07-18 00:00:00,310
2007-07-19 00:00:00,307
2007-07-20 00:00:00,287
2007-07-21 00:00:00,267
2007-07-22 00:00:00,266
2007-07-23 00:00:00,282
2007-07-24 00:00:00,278
2007-07-25 00:00:00,272
2007-07-26 00:00:00,272
2007-07-27 00:00:00,274
2007-07-28 00:00:00,258
2007-07-29 00:00:00,258
2007-07-30 00:00:00,259
2007-07-31 00:00:00,253
2007-08-01 00:00:00,256
2007-08-02 00:00:00,266
2007-08-03 00:00:00,267
2007-08-04 00:00:00,262
2007-08-05 00:00:00,262
2007-08-06 00:00:00,270
2007-08-07 00:00:00,270
2007-08-08 00:00:00,270
2007-08-09 00:00:00,270
2007-08-10 00:00:00,284
2007-08-11 00:00:00,267
2007-08-12 00:00:00,267
2007-08-13 00:00:00,276
2007-08-14 00:00:00,275
2007-08-15 00:00:00,292
2007-08-16 00:00:00,305
2007-08-17 00:00:00,305
2007-08-18 00:00:00,299
2007-08-19 00:00:00,299
2007-08-20 00:00:00,331
2007-08-21 00:00:00,333
2007-08-22 00:00:00,346
2007-08-23 00:00:00,356
2007-08-24 00:00:00,372
2007-08-25 00:00:00,359
2007-08-26 00:00:00,359
2007-08-27 00:00:00,384
2007-08-28 00:00:00,392
2007-08-29 00:00:00,412
2007-08-30 00:00:00,417
2007-08-31 00:00:00,416
2007-09-01 00:00:00,393
2007-09-02 00:00:00,393
2007-09-03 00:00:00,418
2007-09-04 00:00:00,418
2007-09-05 00:00:00,423
2007-09-06 00:00:00,418
2007-09-07 00:00:00,422
2007-09-08 00:00:00,401
2007-09-09 00:00:00,401
2007-09-10 00:00:00,442
2007-09-11 00:00:00,446
2007-09-12 00:00:00,457
2007-09-13 00:00:00,464
2007-09-14 00:00:00,463
2007-09-15 00:00:00,442
2007-09-16 00:00:00,442
2007-09-17 00:00:00,484
2007-09-18 00:00:00,485
2007-09-19 00:00:00,486
2007-09-20 00:00:00,474
2007-09-21 00:00:00,472
2007-09-22 00:00:00,405
2007-09-23 00:00:00,405
2007-09-24 00:00:00,440
2007-09-25 00:00:00,437
2007-09-26 00:00:00,441
2007-09-27 00:00:00,439
2007-09-28 00:00:00,452
2007-09-29 00:00:00,440
2007-09-30 00:00:00,440
2007-10-01 00:00:00,452
2007-10-02 00:00:00,434
2007-10-03 00:00:00,435
2007-10-04 00:00:00,427
2007-10-05 00:00:00,431
2007-10-06 00:00:00,419
2007-10-07 00:00:00,419
2007-10-08 00:00:00,455
2007-10-09 00:00:00,465
2007-10-10 00:00:00,471
2007-10-11 00:00:00,478
2007-10-12 00:00:00,475
2007-10-13 00:00:00,460
2007-10-14 00:00:00,460
2007-10-15 00:00:00,479
2007-10-16 00:00:00,459
2007-10-17 00:00:00,455
2007-10-18 00:00:00,470
2007-10-19 00:00:00,458
2007-10-20 00:00:00,441
2007-10-21 00:00:00,438
2007-10-22 00:00:00,484
2007-10-23 00:00:00,463
2007-10-24 00:00:00,470
2007-10-25 00:00:00,490
2007-10-26 00:00:00,475
2007-10-27 00:00:00,454
2007-10-28 00:00:00,453
2007-10-29 00:00:00,493
2007-10-30 00:00:00,487
2007-10-31 00:00:00,489
2007-11-01 00:00:00,497
2007-11-02 00:00:00,508
2007-11-03 00:00:00,485
2007-11-04 00:00:00,485
2007-11-05 00:00:00,507
2007-11-06 00:00:00,494
2007-11-07 00:00:00,484
2007-11-08 00:00:00,480
2007-11-09 00:00:00,497
2007-11-10 00:00:00,454
2007-11-11 00:00:00,454
2007-11-12 00:00:00,481
2007-11-13 00:00:00,505
2007-11-14 00:00:00,498
2007-11-15 00:00:00,494
2007-11-16 00:00:00,504
2007-11-17 00:00:00,478
2007-11-18 00:00:00,476
2007-11-19 00:00:00,502
2007-11-20 00:00:00,491
2007-11-21 00:00:00,463
2007-11-22 00:00:00,450
2007-11-23 00:00:00,450
2007-11-24 00:00:00,424
2007-11-25 00:00:00,424
2007-11-26 00:00:00,452
2007-11-27 00:00:00,457
2007-11-28 00:00:00,470
2007-11-29 00:00:00,500
2007-11-30 00:00:00,473
2007-12-01 00:00:00,443
2007-12-02 00:00:00,443
2007-12-03 00:00:00,474
2007-12-04 00:00:00,459
2007-12-05 00:00:00,439
2007-12-06 00:00:00,446
2007-12-07 00:00:00,454
2007-12-08 00:00:00,439
2007-12-09 00:00:00,437
2007-12-10 00:00:00,457
2007-12-11 00:00:00,456
2007-12-12 00:00:00,455
2007-12-13 00:00:00,419
2007-12-14 00:00:00,420
2007-12-15 00:00:00,398
2007-12-16 00:00:00,398
2007-12-17 00:00:00,399
2007-12-18 00:00:00,364
2007-12-19 00:00:00,358
2007-12-20 00:00:00,335
2007-12-21 00:00:00,304
2007-12-22 00:00:00,282
2007-12-23 00:00:00,282
2007-12-24 00:00:00,284
2007-12-25 00:00:00,284
2007-12-26 00:00:00,284
2007-12-27 00:00:00,284
2007-12-28 00:00:00,284
2007-12-29 00:00:00,278
2007-12-30 00:00:00,278
2007-12-31 00:00:00,278
2008-01-01 00:00:00,276
2008-01-02 00:00:00,278
2008-01-03 00:00:00,276
2008-01-04 00:00:00,275
2008-01-05 00:00:00,281
2008-01-06 00:00:00,281
2008-01-07 00:00:00,307
2008-01-08 00:00:00,311
2008-01-09 00:00:00,315
2008-01-10 00:00:00,321
2008-01-11 00:00:00,323
2008-01-12 00:00:00,306
2008-01-13 00:00:00,306
2008-01-14 00:00:00,324
2008-01-15 00:00:00,322
2008-01-16 00:00:00,311
2008-01-17 00:00:00,318
2008-01-18 00:00:00,317
2008-01-19 00:00:00,311
2008-01-20 00:00:00,307
2008-01-21 00:00:00,329
2008-01-22 00:00:00,328
2008-01-23 00:00:00,326
2008-01-24 00:00:00,329
2008-01-25 00:00:00,331
2008-01-26 00:00:00,310
2008-01-27 00:00:00,310
2008-01-28 00:00:00,338
2008-01-29 00:00:00,364
2008-01-30 00:00:00,371
2008-01-31 00:00:00,369
2008-02-01 00:00:00,371
2008-02-02 00:00:00,359
2008-02-03 00:00:00,359
2008-02-04 00:00:00,377
2008-02-05 00:00:00,368
2008-02-06 00:00:00,338
2008-02-07 00:00:00,340
2008-02-08 00:00:00,353
2008-02-09 00:00:00,330
2008-02-10 00:00:00,330
2008-02-11 00:00:00,357
2008-02-12 00:00:00,366
2008-02-13 00:00:00,363
2008-02-14 00:00:00,366
2008-02-15 00:00:00,345
2008-02-16 00:00:00,327
2008-02-17 00:00:00,327
2008-02-18 00:00:00,352
2008-02-19 00:00:00,346
2008-02-20 00:00:00,359
2008-02-21 00:00:00,361
2008-02-22 00:00:00,360
2008-02-23 00:00:00,332
2008-02-24 00:00:00,328
2008-02-25 00:00:00,392
2008-02-26 00:00:00,406
2008-02-27 00:00:00,395
2008-02-28 00:00:00,408
2008-02-29 00:00:00,391
2008-03-01 00:00:00,377
2008-03-02 00:00:00,377
2008-03-03 00:00:00,398
2008-03-04 00:00:00,415
2008-03-05 00:00:00,420
2008-03-06 00:00:00,400
2008-03-07 00:00:00,419
2008-03-08 00:00:00,387
2008-03-09 00:00:00,383
2008-03-10 00:00:00,435
2008-03-11 00:00:00,450
2008-03-12 00:00:00,441
2008-03-13 00:00:00,459
2008-03-14 00:00:00,438
2008-03-15 00:00:00,401
2008-03-16 00:00:00,397
2008-03-17 00:00:00,449
2008-03-18 00:00:00,450
2008-03-19 00:00:00,449
2008-03-20 00:00:00,439
2008-03-21 00:00:00,415
2008-03-22 00:00:00,412
2008-03-23 00:00:00,413
2008-03-24 00:00:00,414
2008-03-25 00:00:00,451
2008-03-26 00:00:00,453
2008-03-27 00:00:00,461
2008-03-28 00:00:00,463
2008-03-29 00:00:00,437
2008-03-30 00:00:00,432
2008-03-31 00:00:00,458
2008-04-01 00:00:00,458
2008-04-02 00:00:00,493
2008-04-03 00:00:00,486
2008-04-04 00:00:00,476
2008-04-05 00:00:00,459
2008-04-06 00:00:00,454
2008-04-07 00:00:00,493
2008-04-08 00:00:00,485
2008-04-09 00:00:00,492
2008-04-10 00:00:00,502
2008-04-11 00:00:00,501
2008-04-12 00:00:00,473
2008-04-13 00:00:00,473
2008-04-14 00:00:00,526
2008-04-15 00:00:00,528
2008-04-16 00:00:00,537
2008-04-17 00:00:00,513
2008-04-18 00:00:00,511
2008-04-19 00:00:00,496
2008-04-20 00:00:00,494
2008-04-21 00:00:00,533
2008-04-22 00:00:00,524
2008-04-23 00:00:00,548
2008-04-24 00:00:00,506
2008-04-25 00:00:00,498
2008-04-26 00:00:00,471
2008-04-27 00:00:00,471
2008-04-28 00:00:00,485
2008-04-29 00:00:00,416
2008-04-30 00:00:00,394
2008-05-01 00:00:00,392
2008-05-02 00:00:00,393
2008-05-03 00:00:00,393
2008-05-04 00:00:00,393
2008-05-05 00:00:00,432
2008-05-06 00:00:00,451
2008-05-07 00:00:00,445
2008-05-08 00:00:00,437
2008-05-09 00:00:00,410
2008-05-10 00:00:00,398
2008-05-11 00:00:00,395
2008-05-12 00:00:00,403
2008-05-13 00:00:00,427
2008-05-14 00:00:00,425
2008-05-15 00:00:00,416
2008-05-16 00:00:00,412
