Datum,Aantal in verhuur
2007-01-01 00:00:00,682
2007-01-02 00:00:00,676
2007-01-03 00:00:00,681
2007-01-04 00:00:00,681
2007-01-05 00:00:00,708
2007-01-06 00:00:00,708
2007-01-07 00:00:00,713
2007-01-08 00:00:00,889
2007-01-09 00:00:00,926
2007-01-10 00:00:00,938
2007-01-11 00:00:00,957
2007-01-12 00:00:00,989
2007-01-13 00:00:00,969
2007-01-14 00:00:00,967
2007-01-15 00:00:00,994
2007-01-16 00:00:00,999
2007-01-17 00:00:00,1026
2007-01-18 00:00:00,1055
2007-01-19 00:00:00,1117
2007-01-20 00:00:00,1086
2007-01-21 00:00:00,1086
2007-01-22 00:00:00,1133
2007-01-23 00:00:00,1095
2007-01-24 00:00:00,1123
2007-01-25 00:00:00,1125
2007-01-26 00:00:00,1124
2007-01-27 00:00:00,1109
2007-01-28 00:00:00,1111
2007-01-29 00:00:00,1144
2007-01-30 00:00:00,1122
2007-01-31 00:00:00,1105
2007-02-01 00:00:00,1133
2007-02-02 00:00:00,1097
2007-02-03 00:00:00,1036
2007-02-04 00:00:00,1038
2007-02-05 00:00:00,1098
2007-02-06 00:00:00,1107
2007-02-07 00:00:00,1118
2007-02-08 00:00:00,1118
2007-02-09 00:00:00,1096
2007-02-10 00:00:00,1048
2007-02-11 00:00:00,1048
2007-02-12 00:00:00,1098
2007-02-13 00:00:00,1171
2007-02-14 00:00:00,1161
2007-02-15 00:00:00,1183
2007-02-16 00:00:00,1215
2007-02-17 00:00:00,1180
2007-02-18 00:00:00,1180
2007-02-19 00:00:00,1193
2007-02-20 00:00:00,1209
2007-02-21 00:00:00,1199
2007-02-22 00:00:00,1139
2007-02-23 00:00:00,1186
2007-02-24 00:00:00,1129
2007-02-25 00:00:00,1129
2007-02-26 00:00:00,1210
2007-02-27 00:00:00,1173
2007-02-28 00:00:00,1127
2007-03-01 00:00:00,1118
2007-03-02 00:00:00,1132
2007-03-03 00:00:00,1021
2007-03-04 00:00:00,1021
2007-03-05 00:00:00,1029
2007-03-06 00:00:00,1038
2007-03-07 00:00:00,1069
2007-03-08 00:00:00,1091
2007-03-09 00:00:00,1054
2007-03-10 00:00:00,999
2007-03-11 00:00:00,999
2007-03-12 00:00:00,1025
2007-03-13 00:00:00,998
2007-03-14 00:00:00,993
2007-03-15 00:00:00,1005
2007-03-16 00:00:00,1036
2007-03-17 00:00:00,1017
2007-03-18 00:00:00,1017
2007-03-19 00:00:00,1096
2007-03-20 00:00:00,1108
2007-03-21 00:00:00,1130
2007-03-22 00:00:00,1087
2007-03-23 00:00:00,1108
2007-03-24 00:00:00,1089
2007-03-25 00:00:00,1084
2007-03-26 00:00:00,1150
2007-03-27 00:00:00,1148
2007-03-28 00:00:00,1186
2007-03-29 00:00:00,1174
2007-03-30 00:00:00,1137
2007-03-31 00:00:00,1092
2007-04-01 00:00:00,1092
2007-04-02 00:00:00,1118
2007-04-03 00:00:00,1111
2007-04-04 00:00:00,1056
2007-04-05 00:00:00,1070
2007-04-06 00:00:00,1008
2007-04-07 00:00:00,997
2007-04-08 00:00:00,993
2007-04-09 00:00:00,993
2007-04-10 00:00:00,1111
2007-04-11 00:00:00,1123
2007-04-12 00:00:00,1136
2007-04-13 00:00:00,1204
2007-04-14 00:00:00,1141
2007-04-15 00:00:00,1123
2007-04-16 00:00:00,1194
2007-04-17 00:00:00,1209
2007-04-18 00:00:00,1225
2007-04-19 00:00:00,1210
2007-04-20 00:00:00,1229
2007-04-21 00:00:00,1088
2007-04-22 00:00:00,1088
2007-04-23 00:00:00,1165
2007-04-24 00:00:00,1206
2007-04-25 00:00:00,1179
2007-04-26 00:00:00,1215
2007-04-27 00:00:00,1302
2007-04-28 00:00:00,1256
2007-04-29 00:00:00,1256
2007-04-30 00:00:00,1256
2007-05-01 00:00:00,1467
2007-05-02 00:00:00,1380
2007-05-03 00:00:00,1393
2007-05-04 00:00:00,1437
2007-05-05 00:00:00,1410
2007-05-06 00:00:00,1426
2007-05-07 00:00:00,1501
2007-05-08 00:00:00,1389
2007-05-09 00:00:00,1417
2007-05-10 00:00:00,1433
2007-05-11 00:00:00,1408
2007-05-12 00:00:00,1361
2007-05-13 00:00:00,1361
2007-05-14 00:00:00,1441
2007-05-15 00:00:00,1416
2007-05-16 00:00:00,1350
2007-05-17 00:00:00,1269
2007-05-18 00:00:00,1269
2007-05-19 00:00:00,1269
2007-05-20 00:00:00,1269
2007-05-21 00:00:00,1338
2007-05-22 00:00:00,1335
2007-05-23 00:00:00,1316
2007-05-24 00:00:00,1335
2007-05-25 00:00:00,1357
2007-05-26 00:00:00,1309
2007-05-27 00:00:00,1298
2007-05-28 00:00:00,1286
2007-05-29 00:00:00,1438
2007-05-30 00:00:00,1484
2007-05-31 00:00:00,1421
2007-06-01 00:00:00,1428
2007-06-02 00:00:00,1380
2007-06-03 00:00:00,1374
2007-06-04 00:00:00,1457
2007-06-05 00:00:00,1396
2007-06-06 00:00:00,1387
2007-06-07 00:00:00,1395
2007-06-08 00:00:00,1419
2007-06-09 00:00:00,1393
2007-06-10 00:00:00,1395
2007-06-11 00:00:00,1584
