Datum,Aantal in verhuur
2007-01-01 00:00:00,212
2007-01-02 00:00:00,212
2007-01-03 00:00:00,212
2007-01-04 00:00:00,212
2007-01-05 00:00:00,240
2007-01-06 00:00:00,240
2007-01-07 00:00:00,240
2007-01-08 00:00:00,258
2007-01-09 00:00:00,276
2007-01-10 00:00:00,278
2007-01-11 00:00:00,279
2007-01-12 00:00:00,292
2007-01-13 00:00:00,283
2007-01-14 00:00:00,283
2007-01-15 00:00:00,337
2007-01-16 00:00:00,324
2007-01-17 00:00:00,335
2007-01-18 00:00:00,317
2007-01-19 00:00:00,351
2007-01-20 00:00:00,343
2007-01-21 00:00:00,343
2007-01-22 00:00:00,358
2007-01-23 00:00:00,319
2007-01-24 00:00:00,343
2007-01-25 00:00:00,339
2007-01-26 00:00:00,332
2007-01-27 00:00:00,332
2007-01-28 00:00:00,332
2007-01-29 00:00:00,342
2007-01-30 00:00:00,351
2007-01-31 00:00:00,335
2007-02-01 00:00:00,335
2007-02-02 00:00:00,350
2007-02-03 00:00:00,328
2007-02-04 00:00:00,328
2007-02-05 00:00:00,346
2007-02-06 00:00:00,350
2007-02-07 00:00:00,350
2007-02-08 00:00:00,369
2007-02-09 00:00:00,362
2007-02-10 00:00:00,318
2007-02-11 00:00:00,318
2007-02-12 00:00:00,354
2007-02-13 00:00:00,354
2007-02-14 00:00:00,348
2007-02-15 00:00:00,368
2007-02-16 00:00:00,372
2007-02-17 00:00:00,323
2007-02-18 00:00:00,323
2007-02-19 00:00:00,345
2007-02-20 00:00:00,349
2007-02-21 00:00:00,350
2007-02-22 00:00:00,351
2007-02-23 00:00:00,349
2007-02-24 00:00:00,339
2007-02-25 00:00:00,339
2007-02-26 00:00:00,367
2007-02-27 00:00:00,352
2007-02-28 00:00:00,352
2007-03-01 00:00:00,373
2007-03-02 00:00:00,371
2007-03-03 00:00:00,371
2007-03-04 00:00:00,371
2007-03-05 00:00:00,371
2007-03-06 00:00:00,314
2007-03-07 00:00:00,310
2007-03-08 00:00:00,308
2007-03-09 00:00:00,292
2007-03-10 00:00:00,267
2007-03-11 00:00:00,267
2007-03-12 00:00:00,270
2007-03-13 00:00:00,285
2007-03-14 00:00:00,289
2007-03-15 00:00:00,288
2007-03-16 00:00:00,354
2007-03-17 00:00:00,334
2007-03-18 00:00:00,334
2007-03-19 00:00:00,345
2007-03-20 00:00:00,365
2007-03-21 00:00:00,390
2007-03-22 00:00:00,365
2007-03-23 00:00:00,389
2007-03-24 00:00:00,363
2007-03-25 00:00:00,363
2007-03-26 00:00:00,383
2007-03-27 00:00:00,390
2007-03-28 00:00:00,442
2007-03-29 00:00:00,436
