Datum,Value,Code
2012-01-01 00:00:00,167,A01-80-(30)
2012-01-01 00:00:00,781,AHEK
2012-01-01 00:00:00,43,C02-80
2012-01-01 00:00:00,286,J16-90
2012-01-01 00:00:00,271,PB6090
2012-01-01 00:00:00,185,TB80120G
2012-01-02 00:00:00,169,A01-80-(30)
2012-01-02 00:00:00,806,AHEK
2012-01-02 00:00:00,51,C02-80
2012-01-02 00:00:00,287,J16-90
2012-01-02 00:00:00,331,PB6090
2012-01-02 00:00:00,239,TB80120G
2012-01-03 00:00:00,176,A01-80-(30)
2012-01-03 00:00:00,815,AHEK
2012-01-03 00:00:00,51,C02-80
2012-01-03 00:00:00,286,J16-90
2012-01-03 00:00:00,331,PB6090
2012-01-03 00:00:00,238,TB80120G
2012-01-04 00:00:00,176,A01-80-(30)
2012-01-04 00:00:00,800,AHEK
2012-01-04 00:00:00,51,C02-80
2012-01-04 00:00:00,286,J16-90
2012-01-04 00:00:00,331,PB6090
2012-01-04 00:00:00,238,TB80120G
2012-01-05 00:00:00,177,A01-80-(30)
2012-01-05 00:00:00,808,AHEK
2012-01-05 00:00:00,51,C02-80
2012-01-05 00:00:00,287,J16-90
2012-01-05 00:00:00,331,PB6090
2012-01-05 00:00:00,246,TB80120G
2012-01-06 00:00:00,197,A01-80-(30)
2012-01-06 00:00:00,891,AHEK
2012-01-06 00:00:00,51,C02-80
2012-01-06 00:00:00,309,J16-90
2012-01-06 00:00:00,395,PB6090
2012-01-06 00:00:00,291,TB80120G
2012-01-07 00:00:00,184,A01-80-(30)
2012-01-07 00:00:00,880,AHEK
2012-01-07 00:00:00,51,C02-80
2012-01-07 00:00:00,301,J16-90
2012-01-07 00:00:00,391,PB6090
2012-01-07 00:00:00,279,TB80120G
2012-01-08 00:00:00,184,A01-80-(30)
2012-01-08 00:00:00,880,AHEK
2012-01-08 00:00:00,51,C02-80
2012-01-08 00:00:00,301,J16-90
2012-01-08 00:00:00,391,PB6090
2012-01-08 00:00:00,279,TB80120G
