,Ing_Order,Ing_Datum,Ing_Aantal
2868655,507905,06-04-2021,1.0
2765705,501761,19-01-2021,1.0
3104342,520706,25-10-2021,1.0
3063357,518660,14-09-2021,1.0
2835853,505349,15-03-2021,3.0
3132824,522758,10-11-2021,1.0
3099875,520201,20-10-2021,2.0
2981798,514058,16-08-2021,1.0
3132624,497677,23-11-2021,1.0
3132642,497677,23-11-2021,1.0
3149957,523792,30-11-2021,2.0
2439024,482834,28-04-2020,1.0
2438967,482834,24-04-2020,1.0
2735008,499739,18-01-2021,1.0
2913255,499739,10-05-2021,1.0
2823879,505374,05-03-2021,2.0
3078331,519711,14-10-2021,3.0
2551007,489503,18-07-2020,1.0
3078564,519717,12-10-2021,1.0
3158304,524328,10-12-2021,2.0
3158308,524328,10-12-2021,2.0
3158317,524328,10-12-2021,2.0
3115750,521771,29-10-2021,1.0
3035590,517165,12-08-2021,1.0
2083584,431664,12-06-2019,1.0
2568474,490032,17-08-2020,2.0
2360497,477748,23-02-2020,1.0
2360498,477748,23-02-2020,1.0
2376141,477748,28-02-2020,1.0
2606059,492604,21-09-2020,2.0
2802881,492604,22-02-2021,1.0
2802884,492604,22-02-2021,2.0
2833110,504380,15-03-2021,2.0
2841571,504380,16-03-2021,1.0
2921529,504380,19-05-2021,1.0
2969330,504380,18-06-2021,1.0
2869140,507455,06-04-2021,7.0
2869154,507455,06-04-2021,2.0
2890027,507455,19-04-2021,7.0
2890040,507455,19-04-2021,2.0
3072575,519235,27-09-2021,1.0
3087527,520260,18-10-2021,1.0
3087624,520264,29-10-2021,1.0
2842948,506451,24-03-2021,1.0
3134239,522835,17-11-2021,1.0
3045073,517723,27-08-2021,1.0
3045086,517723,27-08-2021,1.0
3134382,522846,12-11-2021,1.0
2949796,512096,10-06-2021,1.0
2949832,512096,10-06-2021,1.0
3036167,512096,13-08-2021,1.0
3036208,512096,13-08-2021,1.0
3008852,514153,19-07-2021,1.0
3008853,514153,19-07-2021,1.0
3001854,514153,12-07-2021,1.0
3011266,514153,04-07-2021,2.0
3020412,514153,27-07-2021,1.0
2836077,502891,15-03-2021,1.0
2836097,502891,15-03-2021,1.0
3054574,518254,06-09-2021,1.0
2849045,505967,22-03-2021,2.0
2842519,505967,17-03-2021,7.0
2752336,500854,07-01-2021,2.0
3126030,522360,08-11-2021,1.0
2959108,509049,06-07-2021,2.0
2727979,499320,03-12-2020,1.0
2841612,501885,24-03-2021,1.0
2893057,501885,21-04-2021,3.0
2942926,501885,31-05-2021,2.0
2942933,501885,31-05-2021,2.0
2950937,501885,08-06-2021,2.0
2951000,501885,09-06-2021,1.0
2968846,501885,16-06-2021,2.0
2908187,510078,03-05-2021,1.0
3136085,517758,16-11-2021,2.0
2783507,502918,30-01-2021,1.0
2783510,502918,30-01-2021,1.0
3017608,516231,23-07-2021,1.0
