,Ing_Order,Ing_Datum,Ing_Aantal
3014710,516096,23-07-2021,2.0
2868639,507905,06-04-2021,3.0
2868661,507905,06-04-2021,5.0
2868683,507906,08-04-2021,4.0
2868686,507906,08-04-2021,2.0
3157735,524297,07-12-2021,2.0
3015031,516111,23-07-2021,2.0
3157905,524303,09-12-2021,3.0
3157762,524304,08-12-2021,3.0
3157988,524306,08-12-2021,2.0
3157933,524309,14-12-2021,4.0
3157944,524314,14-12-2021,1.0
3157956,524314,14-12-2021,2.0
2735050,499739,18-01-2021,2.0
2913248,499739,10-05-2021,2.0
2918752,499739,10-05-2021,2.0
3158204,524322,13-12-2021,4.0
2444742,483364,24-04-2020,2.0
2456922,483364,07-05-2020,2.0
2873941,507950,12-04-2021,4.0
2873946,507950,12-04-2021,1.0
3158642,524348,08-12-2021,3.0
3158656,524348,08-12-2021,2.0
2436228,475199,20-04-2020,2.0
2735753,499778,02-01-2021,4.0
2445247,483398,25-04-2020,2.0
2445261,483398,25-04-2020,1.0
3016640,516197,26-07-2021,2.0
3159459,524391,06-12-2021,1.0
3159476,524393,07-12-2021,2.0
3159479,524393,07-12-2021,3.0
2870522,508012,02-04-2021,2.0
3160013,524399,13-12-2021,12.0
3160765,524407,09-12-2021,5.0
3160771,524407,09-12-2021,1.0
3159704,524415,10-12-2021,3.0
2870885,508037,14-04-2021,4.0
2870896,508037,14-04-2021,4.0
3160155,524435,15-12-2021,4.0
2870974,508054,12-04-2021,4.0
3018291,516250,02-08-2021,2.0
3037411,516250,14-08-2021,1.0
3160260,524443,15-12-2021,1.0
3160280,524443,15-12-2021,1.0
3160285,524443,15-12-2021,2.0
2871149,508062,06-04-2021,1.0
2871164,508062,06-04-2021,2.0
3018140,516255,13-08-2021,3.0
3160299,524450,08-12-2021,2.0
3019214,516285,16-08-2021,3.0
3038320,516285,15-08-2021,1.0
3038325,516285,15-08-2021,1.0
3160725,524480,13-12-2021,4.0
3161449,524483,14-12-2021,2.0
3161452,524483,14-12-2021,2.0
3171967,524483,21-12-2021,2.0
3171968,524483,21-12-2021,4.0
3160659,524484,17-12-2021,1.0
3160663,524484,17-12-2021,1.0
3160676,524484,17-12-2021,4.0
2872296,508126,11-04-2021,5.0
2872333,508127,11-04-2021,1.0
2872360,508127,11-04-2021,2.0
2872417,508127,11-04-2021,4.0
2743263,499946,04-01-2021,2.0
2743283,499946,04-01-2021,4.0
2792208,499946,05-02-2021,3.0
2792211,499946,05-02-2021,2.0
2793300,499946,05-02-2021,3.0
2821267,499946,03-03-2021,2.0
2821273,499946,03-03-2021,4.0
3161304,524531,08-12-2021,4.0
3161256,524532,13-12-2021,2.0
2873026,508159,14-04-2021,3.0
3020264,516353,16-08-2021,4.0
3020269,516353,16-08-2021,4.0
3020333,516355,16-08-2021,2.0
3020352,516359,23-08-2021,5.0
