,Ing_Order,Ing_Datum,Ing_Aantal
2765680,501761,18-01-2021,2.0
2765684,501761,18-01-2021,2.0
2765704,501761,18-01-2021,2.0
2868684,507906,08-04-2021,2.0
2803776,503810,24-02-2021,1.0
2803777,503810,24-02-2021,3.0
2803787,503810,24-02-2021,1.0
2803788,503810,24-02-2021,1.0
2803789,503810,24-02-2021,2.0
2803792,503810,24-02-2021,1.0
2803794,503810,24-02-2021,1.0
2993746,509960,06-07-2021,6.0
2704346,497677,21-11-2020,13.0
2785309,497677,28-01-2021,13.0
2841112,497677,18-03-2021,6.0
2917646,497677,14-05-2021,1.0
2917659,497677,14-05-2021,1.0
2926842,497677,17-05-2021,1.0
3068395,497677,17-09-2021,2.0
3086609,520208,04-10-2021,6.0
2795920,503830,26-02-2021,5.0
2735004,499739,18-01-2021,9.0
2735028,499739,18-01-2021,9.0
2735033,499739,18-01-2021,2.0
2918795,499739,11-05-2021,6.0
2918798,499739,11-05-2021,6.0
2918812,499739,11-05-2021,4.0
2918824,499739,11-05-2021,4.0
2905590,509986,03-05-2021,1.0
2905601,509986,03-05-2021,3.0
2957933,509986,11-06-2021,5.0
2949553,512034,04-06-2021,1.0
2949559,512034,04-06-2021,1.0
2949561,512034,04-06-2021,1.0
2949574,512034,04-06-2021,1.0
2444748,483364,24-04-2020,4.0
2444750,483364,24-04-2020,4.0
2456918,483364,07-05-2020,4.0
2456926,483364,07-05-2020,2.0
3158295,524328,10-12-2021,14.0
2906039,509995,03-05-2021,3.0
2980028,514094,28-06-2021,3.0
2980038,514094,28-06-2021,1.0
2980043,514094,28-06-2021,2.0
2980044,514094,28-06-2021,3.0
2980045,514094,28-06-2021,1.0
2980051,514094,28-06-2021,1.0
2980055,514094,28-06-2021,2.0
2980058,514094,28-06-2021,1.0
2980070,514094,28-06-2021,2.0
2980423,514096,28-06-2021,3.0
3125235,522290,08-11-2021,5.0
3052993,518201,03-09-2021,3.0
2981040,514110,24-06-2021,7.0
2981041,514110,24-06-2021,5.0
2316417,475199,13-01-2020,5.0
2316479,475199,13-01-2020,4.0
2316492,475199,13-01-2020,8.0
2436229,475199,20-04-2020,4.0
2735731,499778,02-01-2021,8.0
2735733,499778,02-01-2021,8.0
3087522,520260,18-10-2021,8.0
3087619,520264,29-10-2021,8.0
2906824,510026,03-05-2021,3.0
