,End_Order,End_Datum,Ret_Aantal
2900024,516096,20-08-2021,1.0
2662386,503810,25-02-2021,2.0
2727199,503810,12-04-2021,2.0
2983571,522244,08-11-2021,2.0
2894902,509960,12-08-2021,3.0
2885392,491533,30-07-2021,1.0
2646278,497677,28-01-2021,1.0
2775106,497677,17-05-2021,1.0
2921526,497677,13-09-2021,1.0
3031894,497677,22-12-2021,2.0
2993318,497677,23-11-2021,1.0
3031771,497677,17-12-2021,2.0
3031812,497677,17-12-2021,2.0
3029915,524306,14-12-2021,5.0
3029932,524306,14-12-2021,5.0
3020665,524309,15-12-2021,1.0
2722932,507927,08-04-2021,2.0
2593453,499739,18-01-2021,2.0
2756355,499739,07-05-2021,1.0
2756364,499739,07-05-2021,2.0
2941730,499739,30-09-2021,1.0
2941767,499739,30-09-2021,1.0
2941770,499739,30-09-2021,1.0
2941785,499739,30-09-2021,1.0
2908653,518172,08-11-2021,1.0
2926956,518177,17-09-2021,2.0
2926963,518177,17-09-2021,2.0
2858590,509986,13-07-2021,4.0
2858618,509986,13-07-2021,1.0
2875098,509986,23-07-2021,1.0
2875100,509986,23-07-2021,1.0
2875114,509986,23-07-2021,1.0
2804619,512034,04-06-2021,1.0
2804622,512034,04-06-2021,1.0
2680523,503846,26-02-2021,2.0
2833410,514086,28-06-2021,2.0
3031476,524328,20-12-2021,1.0
3031478,524328,20-12-2021,2.0
3031500,524328,20-12-2021,6.0
3031505,524328,20-12-2021,3.0
3031510,524328,20-12-2021,2.0
2799070,512044,01-06-2021,1.0
2799079,512044,01-06-2021,1.0
2814561,507950,10-06-2021,2.0
2866612,514094,19-07-2021,4.0
2996511,514094,17-11-2021,1.0
2996518,514094,17-11-2021,1.0
2996544,514094,17-11-2021,1.0
2187084,475199,13-01-2020,3.0
2294021,475199,20-04-2020,1.0
2593774,475199,07-12-2020,4.0
2593806,475199,07-12-2020,1.0
2593811,475199,07-12-2020,2.0
2594568,499778,16-01-2021,2.0
2594576,499778,16-01-2021,2.0
2594580,499778,16-01-2021,2.0
2594598,499778,16-01-2021,5.0
2986444,522306,17-11-2021,3.0
2946515,520260,19-10-2021,1.0
2946610,520264,30-10-2021,1.0
2770709,510026,07-05-2021,2.0
2670671,503882,26-02-2021,1.0
2670677,503882,26-02-2021,3.0
2670681,503882,26-02-2021,2.0
2670691,503882,26-02-2021,3.0
2909515,518221,10-09-2021,2.0
2909532,518221,10-09-2021,2.0
2781651,510034,19-05-2021,2.0
2781656,510034,19-05-2021,3.0
2733460,503893,13-04-2021,2.0
2770720,505941,07-05-2021,3.0
2822290,512096,18-06-2021,3.0
2822293,512096,18-06-2021,3.0
2884724,512096,30-07-2021,3.0
2884727,512096,30-07-2021,3.0
2902619,512096,27-08-2021,3.0
2902641,512096,27-08-2021,3.0
2902667,512096,27-08-2021,1.0
2891358,512096,05-08-2021,3.0
2891393,512096,05-08-2021,3.0
3032056,522336,24-12-2021,2.0
3032061,522336,24-12-2021,3.0
3032063,522336,24-12-2021,1.0
3032089,522336,24-12-2021,1.0
3032092,522336,24-12-2021,2.0
2630240,501860,15-01-2021,3.0
2955260,520295,11-10-2021,1.0
2957636,520295,11-10-2021,1.0
3036514,524393,17-12-2021,1.0
3036515,524393,17-12-2021,1.0
2908476,514153,02-09-2021,1.0
2908481,514153,02-09-2021,1.0
2864963,514153,19-07-2021,1.0
2864966,514153,19-07-2021,1.0
2888850,514153,26-07-2021,1.0
2997944,514153,16-11-2021,1.0
2899944,505967,20-08-2021,4.0
2899949,505967,20-08-2021,2.0
2899976,505967,20-08-2021,3.0
3007106,505967,01-10-2021,0.0
2788130,510067,21-05-2021,7.0
2789002,510067,28-05-2021,1.0
2804618,510067,23-06-2021,1.0
2868771,510067,02-08-2021,1.0
2868773,510067,02-08-2021,1.0
2764776,510074,10-05-2021,6.0
2764832,510074,10-05-2021,2.0
2764833,510074,10-05-2021,5.0
2764866,510074,10-05-2021,4.0
3051322,522363,20-12-2021,1.0
3051333,522363,20-12-2021,2.0
3051355,522363,20-12-2021,1.0
3051358,522363,20-12-2021,1.0
2825113,501885,21-06-2021,1.0
2718562,501885,02-04-2021,1.0
2718638,501885,02-04-2021,1.0
2832971,501885,28-06-2021,1.0
2791866,501885,07-06-2021,1.0
2791894,501885,07-06-2021,1.0
2791897,501885,07-06-2021,1.0
2791900,501885,07-06-2021,1.0
2781036,501885,17-05-2021,1.0
2781039,501885,17-05-2021,1.0
2798447,501885,31-05-2021,1.0
2806048,501885,09-06-2021,1.0
2806049,501885,09-06-2021,1.0
2806056,501885,09-06-2021,1.0
2806069,501885,09-06-2021,1.0
2865523,501885,23-07-2021,4.0
2880547,501885,04-08-2021,1.0
2796107,510078,28-05-2021,2.0
2796139,510078,28-05-2021,1.0
2690348,505984,19-03-2021,2.0
2690352,505984,19-03-2021,1.0
3022091,522371,07-12-2021,1.0
3022103,522371,07-12-2021,1.0
2762564,510084,06-05-2021,1.0
2724931,508037,19-04-2021,1.0
2724948,508037,19-04-2021,3.0
2724950,508037,19-04-2021,2.0
2741348,505988,15-04-2021,0.0
2836945,505988,30-06-2021,4.0
2836947,505988,30-06-2021,2.0
2986788,522375,15-11-2021,15.0
2950482,520334,12-10-2021,3.0
2950497,520334,12-10-2021,2.0
2690447,505999,19-03-2021,1.0
3028473,518289,16-12-2021,2.0
3044127,512148,23-12-2021,1.0
3032879,512148,15-12-2021,1.0
2877705,516250,02-08-2021,3.0
2902935,516250,27-08-2021,3.0
2902952,516250,27-08-2021,3.0
2895943,516250,14-08-2021,2.0
2895946,516250,14-08-2021,6.0
3028233,518298,21-12-2021,1.0
2836687,514202,01-07-2021,9.0
2836688,514202,01-07-2021,1.0
2836690,514202,01-07-2021,9.0
2836711,514202,01-07-2021,1.0
2690768,506014,18-03-2021,1.0
2684241,503970,08-03-2021,3.0
2684250,503970,08-03-2021,2.0
2684282,503970,08-03-2021,2.0
2800954,512166,03-06-2021,3.0
2800975,512166,03-06-2021,1.0
2846740,501928,05-07-2021,1.0
2846780,501928,05-07-2021,1.0
2846818,501928,05-07-2021,2.0
2639078,501929,28-01-2021,2.0
2639086,501929,28-01-2021,1.0
2836043,514218,06-07-2021,2.0
2836054,514218,06-07-2021,1.0
2836057,514218,06-07-2021,1.0
2800740,510127,01-06-2021,1.0
2980349,520373,02-11-2021,2.0
2926351,516285,15-09-2021,2.0
2926373,516285,15-09-2021,1.0
2885246,516286,02-08-2021,1.0
2885248,516286,02-08-2021,1.0
2999868,510156,17-11-2021,1.0
2999869,510156,17-11-2021,2.0
2999892,510156,17-11-2021,1.0
2999899,510156,17-11-2021,3.0
2999929,510156,17-11-2021,1.0
2999945,510156,17-11-2021,1.0
2999963,510156,17-11-2021,1.0
3020599,522456,07-12-2021,2.0
3020600,522456,07-12-2021,2.0
3020619,522456,07-12-2021,1.0
2726243,508126,14-04-2021,1.0
2726246,508126,14-04-2021,2.0
2726255,508126,14-04-2021,1.0
2726267,508126,14-04-2021,4.0
2726312,508127,12-04-2021,6.0
2726401,508127,12-04-2021,5.0
2955936,514271,25-10-2021,3.0
2980888,514271,04-11-2021,1.0
2980904,514271,04-11-2021,1.0
2980912,514271,04-11-2021,1.0
2721668,506080,06-04-2021,2.0
2764133,510178,13-05-2021,2.0
3008390,522465,25-11-2021,1.0
3008393,522465,25-11-2021,1.0
3008413,522465,25-11-2021,2.0
2913486,518375,16-09-2021,2.0
2652130,499946,05-02-2021,2.0
2652142,499946,05-02-2021,3.0
2652188,499946,05-02-2021,2.0
2941909,518378,14-10-2021,2.0
2941946,518378,14-10-2021,2.0
2941947,518378,14-10-2021,1.0
2941966,518378,14-10-2021,2.0
2941977,518378,14-10-2021,2.0
2941981,518378,14-10-2021,2.0
2941990,518378,14-10-2021,1.0
2764561,510191,12-05-2021,4.0
2764564,510191,12-05-2021,1.0
2764571,510191,12-05-2021,1.0
2764578,510191,12-05-2021,2.0
2980996,520436,02-11-2021,1.0
2729277,493813,15-03-2021,1.0
2729280,493813,15-03-2021,1.0
2749738,493813,21-04-2021,1.0
2757607,493813,02-05-2021,3.0
2757621,493813,02-05-2021,2.0
2757624,493813,02-05-2021,1.0
2757627,493813,02-05-2021,1.0
2757630,493813,02-05-2021,2.0
2831633,493813,23-06-2021,1.0
2959009,493813,15-10-2021,0.0
2959012,493813,15-10-2021,0.0
2959015,493813,15-10-2021,0.0
2959018,493813,15-10-2021,0.0
2959024,493813,15-10-2021,0.0
2959027,493813,15-10-2021,0.0
2959051,493813,15-10-2021,0.0
2703605,504064,29-03-2021,1.0
2703635,504064,29-03-2021,3.0
2703637,504064,29-03-2021,1.0
2703639,504064,29-03-2021,2.0
2878979,516355,23-08-2021,2.0
2878985,516355,23-08-2021,2.0
2841986,514309,30-06-2021,5.0
3025480,524550,17-12-2021,2.0
2831284,512267,02-07-2021,1.0
2831287,512267,02-07-2021,2.0
2831296,512267,02-07-2021,1.0
2831308,512267,02-07-2021,1.0
2831314,512267,02-07-2021,1.0
2831332,512267,02-07-2021,4.0
2831344,512267,02-07-2021,3.0
3027601,524559,20-12-2021,2.0
3027602,524559,20-12-2021,2.0
3027603,524559,20-12-2021,3.0
3027616,524559,20-12-2021,1.0
3027620,524559,20-12-2021,1.0
2893676,516368,16-08-2021,1.0
2893677,516368,16-08-2021,1.0
2732283,508177,16-04-2021,2.0
2732300,508177,16-04-2021,2.0
2732036,508177,14-04-2021,3.0
2539419,495897,30-10-2020,4.0
2831101,497945,23-06-2021,1.0
2956957,518446,07-10-2021,1.0
3044191,518446,23-12-2021,1.0
2838606,514350,05-07-2021,2.0
2958007,520503,16-10-2021,1.0
2958008,520503,16-10-2021,2.0
2838496,514362,05-07-2021,6.0
2838585,514362,05-07-2021,5.0
2973093,508225,05-10-2021,3.0
2766599,510275,21-05-2021,1.0
2923061,518475,27-09-2021,3.0
2915826,518475,21-09-2021,1.0
2915858,518475,21-09-2021,1.0
2915881,518475,21-09-2021,3.0
2915887,518475,21-09-2021,2.0
2707152,504141,23-03-2021,2.0
3027833,524625,17-12-2021,2.0
2634209,502105,01-02-2021,3.0
2634227,502105,01-02-2021,4.0
2633380,502105,29-01-2021,2.0
2681631,502107,06-03-2021,1.0
2681634,502107,06-03-2021,1.0
2711207,502107,27-03-2021,1.0
2749427,502107,23-04-2021,1.0
2749432,502107,23-04-2021,1.0
2749452,502107,23-04-2021,1.0
2839317,514395,05-07-2021,2.0
2962812,516454,18-10-2021,4.0
2962815,516454,18-10-2021,2.0
2726644,506219,19-04-2021,4.0
2817969,512364,11-06-2021,2.0
2697644,500077,19-03-2021,2.0
2697677,500077,19-03-2021,2.0
2697694,500077,19-03-2021,1.0
2602287,500077,04-01-2021,2.0
2652433,500077,08-02-2021,1.0
2991217,522603,15-11-2021,2.0
2865200,514418,15-07-2021,2.0
2870857,510323,22-07-2021,2.0
2870868,510323,22-07-2021,2.0
2804870,512371,26-06-2021,2.0
2804872,512371,26-06-2021,4.0
2804893,512371,26-06-2021,4.0
2804900,512371,26-06-2021,2.0
2887436,516470,30-08-2021,2.0
2887442,516470,30-08-2021,2.0
2887445,516470,30-08-2021,1.0
2887497,516470,31-08-2021,2.0
2887506,516470,31-08-2021,3.0
2887507,516470,31-08-2021,2.0
2887514,516470,31-08-2021,1.0
2831155,512379,23-06-2021,2.0
2668553,504194,09-03-2021,3.0
2668578,504194,09-03-2021,1.0
2741270,504194,16-04-2021,3.0
2698498,504194,22-03-2021,1.0
1500245,424323,12-03-2018,2.0
1500258,424323,12-03-2018,2.0
1500259,424323,12-03-2018,2.0
2970568,479620,21-10-2021,0.0
2970576,479620,21-10-2021,0.0
2846852,514436,14-07-2021,1.0
2994193,522630,19-11-2021,2.0
2994194,522630,19-11-2021,2.0
2994195,522630,19-11-2021,1.0
2994196,522630,19-11-2021,1.0
3006288,520585,25-11-2021,2.0
3006310,520585,25-11-2021,1.0
2994239,522633,19-11-2021,2.0
2994243,522633,19-11-2021,2.0
2994256,522633,19-11-2021,2.0
2994264,522635,19-11-2021,2.0
2994269,522635,19-11-2021,1.0
2994284,522635,19-11-2021,2.0
2994311,522636,19-11-2021,3.0
2994312,522636,19-11-2021,2.0
2994324,522636,19-11-2021,2.0
2994847,522637,26-11-2021,2.0
