,End_Order,End_Datum,Ret_Aantal
2900038,516096,20-08-2021,6.0
2731003,507905,09-04-2021,5.0
2733118,507906,09-04-2021,6.0
3020330,524297,10-12-2021,2.0
2901115,516111,23-08-2021,2.0
3029594,524303,13-12-2021,2.0
2873945,516113,28-07-2021,4.0
3026689,524304,13-12-2021,6.0
3029925,524306,14-12-2021,2.0
3029928,524306,14-12-2021,6.0
3020663,524309,15-12-2021,6.0
3020749,524314,14-12-2021,3.0
2756346,499739,07-05-2021,3.0
2809417,499739,08-06-2021,1.0
2809433,499739,08-06-2021,5.0
2941766,499739,30-09-2021,6.0
2941773,499739,30-09-2021,6.0
3023827,524322,13-12-2021,5.0
2359526,483364,12-06-2020,4.0
2949052,483364,06-10-2021,2.0
2957978,483364,06-10-2021,0.0
3031480,524328,20-12-2021,4.0
2814563,507950,10-06-2021,4.0
2874207,507950,26-07-2021,1.0
3040763,524348,21-12-2021,12.0
2593821,475199,07-12-2020,5.0
2657815,475199,07-12-2020,0.0
2594546,499778,02-01-2021,16.0
2594570,499778,16-01-2021,16.0
2870011,483398,01-01-2021,0.0
2874791,516185,01-09-2021,2.0
3070057,524393,17-12-2021,5.0
2727903,508012,08-04-2021,2.0
3023374,524399,13-12-2021,6.0
3024481,524407,09-12-2021,5.0
2724926,508037,19-04-2021,14.0
2940015,516231,22-09-2021,1.0
3023605,524435,15-12-2021,7.0
2738482,508054,14-04-2021,6.0
2892403,516250,09-08-2021,2.0
2902957,516250,27-08-2021,10.0
2903001,516250,27-08-2021,8.0
3002934,516250,19-11-2021,2.0
3023667,524443,15-12-2021,6.0
2752950,508062,30-04-2021,8.0
3011446,516255,26-11-2021,5.0
3033460,524450,16-12-2021,4.0
2926349,516285,15-09-2021,2.0
2926375,516285,15-09-2021,4.0
3024435,524480,16-12-2021,4.0
3041198,524483,24-12-2021,14.0
3024209,524484,17-12-2021,9.0
2726249,508126,14-04-2021,15.0
2726330,508127,12-04-2021,5.0
2726381,508127,12-04-2021,11.0
2652152,499946,05-02-2021,2.0
2697937,499946,17-03-2021,3.0
2697943,499946,17-03-2021,2.0
2697947,499946,17-03-2021,8.0
3042947,524532,23-12-2021,2.0
2726892,508159,14-04-2021,7.0
2900603,516353,23-08-2021,4.0
2878998,516355,23-08-2021,6.0
2904485,516359,27-08-2021,4.0
3025503,524553,23-12-2021,2.0
3027598,524559,20-12-2021,11.0
2893684,516368,16-08-2021,1.0
2732274,508177,16-04-2021,8.0
3026187,524565,13-12-2021,4.0
3025989,524567,10-12-2021,4.0
2749152,508185,21-04-2021,10.0
2749161,508185,21-04-2021,12.0
2727433,508187,14-04-2021,2.0
2727609,508195,09-04-2021,4.0
2727631,508197,09-04-2021,2.0
2627293,500006,11-01-2021,4.0
2736481,508198,13-04-2021,2.0
2880607,516400,30-07-2021,6.0
2728109,508219,12-04-2021,2.0
2728163,508222,12-04-2021,2.0
2669118,500031,25-02-2021,1.0
2732217,500031,09-04-2021,17.0
2728175,508223,12-04-2021,2.0
3026943,524610,20-12-2021,2.0
3026853,524612,13-12-2021,2.0
3027535,524614,21-12-2021,6.0
2962817,516454,18-10-2021,10.0
2697649,500077,19-03-2021,10.0
2652493,500077,08-02-2021,4.0
3037607,524660,22-12-2021,2.0
2775146,508282,12-05-2021,13.0
3040722,524681,20-12-2021,2.0
2771382,508304,07-05-2021,6.0
2882658,516496,03-08-2021,8.0
2650692,500113,05-02-2021,12.0
3029053,524695,15-12-2021,5.0
3029081,524700,17-12-2021,2.0
2883826,516516,09-08-2021,5.0
2883918,516516,09-08-2021,11.0
2884339,516516,16-08-2021,5.0
2884423,516516,16-08-2021,11.0
2883294,516516,02-08-2021,5.0
2883383,516516,02-08-2021,11.0
2797800,508326,01-06-2021,2.0
2729747,508331,13-04-2021,6.0
3033170,524716,14-12-2021,1.0
2729796,508333,16-04-2021,4.0
3029888,524742,15-12-2021,4.0
2730529,508364,16-04-2021,2.0
3030962,524752,13-12-2021,10.0
3038766,516563,21-12-2021,4.0
3041945,524758,23-12-2021,4.0
2888660,516567,03-08-2021,2.0
3030146,524767,14-12-2021,4.0
3030167,524768,17-12-2021,5.0
2795887,508386,28-05-2021,8.0
2795965,508386,28-05-2021,2.0
2795967,508386,28-05-2021,4.0
2817007,508386,14-06-2021,1.0
2817009,508386,14-06-2021,1.0
2814116,508386,10-06-2021,5.0
