,End_Order,End_Datum,Ret_Aantal
2900042,516096,20-08-2021,2.0
2731005,507905,09-04-2021,3.0
2731017,507905,09-04-2021,5.0
2733129,507906,09-04-2021,2.0
2733137,507906,09-04-2021,4.0
3020327,524297,10-12-2021,2.0
2901119,516111,23-08-2021,2.0
3029588,524303,13-12-2021,3.0
3026685,524304,13-12-2021,3.0
3029906,524306,14-12-2021,2.0
3020658,524309,15-12-2021,4.0
3020746,524314,14-12-2021,1.0
3020762,524314,14-12-2021,2.0
2756368,499739,07-05-2021,2.0
2941778,499739,30-09-2021,2.0
2941793,499739,30-09-2021,2.0
3023830,524322,13-12-2021,4.0
2359530,483364,12-06-2020,2.0
2949046,483364,06-10-2021,2.0
2814550,507950,10-06-2021,1.0
2814551,507950,10-06-2021,4.0
3040750,524348,21-12-2021,2.0
3040786,524348,21-12-2021,3.0
2440951,475199,24-08-2020,2.0
2594606,499778,16-01-2021,4.0
2544554,483398,04-11-2020,1.0
2870008,483398,01-01-2021,0.0
2870019,483398,01-01-2021,0.0
2975923,516197,28-10-2021,2.0
3036516,524393,17-12-2021,2.0
3036518,524393,17-12-2021,3.0
2727907,508012,08-04-2021,2.0
3023356,524399,13-12-2021,12.0
3024473,524407,09-12-2021,1.0
3024478,524407,09-12-2021,5.0
3022783,524415,13-12-2021,3.0
2724932,508037,19-04-2021,4.0
2724976,508037,19-04-2021,4.0
3023586,524435,15-12-2021,4.0
2738483,508054,14-04-2021,4.0
2903013,516250,27-08-2021,1.0
3002917,516250,19-11-2021,2.0
3023632,524443,15-12-2021,1.0
3023652,524443,15-12-2021,2.0
3023669,524443,15-12-2021,1.0
2752941,508062,30-04-2021,2.0
2752944,508062,30-04-2021,1.0
3011435,516255,26-11-2021,3.0
3033462,524450,16-12-2021,2.0
2926353,516285,15-09-2021,1.0
2926365,516285,15-09-2021,1.0
2926383,516285,15-09-2021,3.0
3024436,524480,16-12-2021,4.0
3041187,524483,24-12-2021,2.0
3041189,524483,24-12-2021,4.0
3041196,524483,24-12-2021,1.0
3041197,524483,24-12-2021,2.0
3024203,524484,17-12-2021,1.0
3024206,524484,17-12-2021,4.0
3024223,524484,17-12-2021,1.0
2726257,508126,14-04-2021,5.0
2726299,508127,12-04-2021,2.0
2726341,508127,12-04-2021,1.0
2726394,508127,12-04-2021,4.0
2652146,499946,05-02-2021,1.0
2652148,499946,05-02-2021,2.0
2653993,499946,05-02-2021,3.0
2697929,499946,17-03-2021,2.0
2697938,499946,17-03-2021,2.0
2697945,499946,17-03-2021,1.0
2697962,499946,17-03-2021,4.0
2697965,499946,17-03-2021,2.0
2697978,499946,17-03-2021,3.0
3030018,524531,14-12-2021,4.0
3042958,524532,23-12-2021,2.0
2726894,508159,14-04-2021,3.0
2900591,516353,23-08-2021,4.0
2900599,516353,23-08-2021,4.0
2879002,516355,23-08-2021,2.0
2879009,516359,24-08-2021,5.0
2904497,516359,27-08-2021,1.0
3027619,524559,20-12-2021,6.0
3027626,524559,20-12-2021,3.0
2732291,508177,16-04-2021,4.0
3026201,524565,13-12-2021,1.0
3026202,524565,13-12-2021,4.0
3026214,524565,13-12-2021,1.0
3025966,524567,10-12-2021,3.0
3025978,524567,10-12-2021,2.0
2749144,508185,21-04-2021,4.0
2749153,508185,21-04-2021,6.0
2742322,508185,15-04-2021,2.0
2742334,508185,15-04-2021,2.0
2742342,508185,15-04-2021,2.0
2727445,508187,14-04-2021,1.0
2727616,508195,09-04-2021,2.0
2727626,508197,09-04-2021,2.0
2601890,500006,18-12-2020,5.0
2880602,516400,30-07-2021,1.0
2880609,516400,30-07-2021,1.0
2880617,516400,30-07-2021,5.0
3032186,524596,16-12-2021,1.0
3032190,524596,16-12-2021,1.0
2728108,508219,12-04-2021,2.0
2728164,508222,12-04-2021,2.0
2732188,500031,09-04-2021,2.0
2728180,508223,12-04-2021,2.0
3026952,524610,20-12-2021,2.0
3026852,524612,13-12-2021,2.0
3027520,524614,21-12-2021,6.0
3027525,524614,21-12-2021,4.0
3027813,524625,17-12-2021,4.0
2962799,516454,18-10-2021,2.0
2962813,516454,18-10-2021,3.0
2697691,500077,19-03-2021,3.0
2652458,500077,08-02-2021,1.0
2728924,508273,12-04-2021,2.0
3037624,524660,22-12-2021,2.0
2775142,508282,12-05-2021,3.0
2983314,516492,07-11-2021,1.0
2771381,508304,07-05-2021,2.0
2882674,516496,03-08-2021,4.0
2650668,500113,05-02-2021,3.0
3029052,524695,15-12-2021,2.0
3029079,524700,17-12-2021,2.0
2883814,516516,09-08-2021,1.0
2883832,516516,09-08-2021,2.0
2883905,516516,09-08-2021,4.0
2884346,516516,16-08-2021,2.0
2884362,516516,16-08-2021,1.0
2884420,516516,16-08-2021,4.0
2883328,516516,02-08-2021,1.0
2883338,516516,02-08-2021,2.0
2883355,516516,02-08-2021,4.0
2797813,508326,01-06-2021,2.0
2729754,508331,13-04-2021,5.0
2729800,508333,16-04-2021,2.0
3029876,524742,15-12-2021,2.0
2730524,508364,16-04-2021,2.0
3030974,524752,13-12-2021,2.0
3038768,516563,21-12-2021,2.0
3041951,524758,23-12-2021,2.0
3041952,524758,23-12-2021,2.0
2888655,516567,03-08-2021,2.0
3030142,524767,14-12-2021,3.0
3030164,524768,17-12-2021,4.0
3030174,524768,17-12-2021,4.0
2795866,508386,28-05-2021,2.0
2814101,508386,10-06-2021,2.0
2873071,508386,22-07-2021,2.0
2873077,508386,22-07-2021,1.0
2884853,516581,31-08-2021,3.0
2884858,516581,31-08-2021,2.0
2906116,516582,30-08-2021,3.0
2906120,516582,30-08-2021,3.0
2735505,508391,13-04-2021,4.0
3041610,508399,24-12-2021,2.0
3041616,508399,24-12-2021,1.0
3030377,524784,24-12-2021,4.0
3030385,524784,24-12-2021,4.0
2885112,516595,30-07-2021,2.0
2885122,516595,30-07-2021,8.0
3030582,524789,15-12-2021,3.0
3040397,524793,21-12-2021,1.0
3040399,524793,21-12-2021,3.0
3040407,524793,21-12-2021,2.0
2772548,508409,07-05-2021,1.0
2952470,516614,08-10-2021,1.0
2952480,516614,08-10-2021,1.0
2974628,516614,29-10-2021,1.0
2974644,516614,29-10-2021,2.0
2974599,516615,29-10-2021,2.0
2974611,516615,29-10-2021,1.0
3023387,516615,30-11-2021,2.0
2885450,516628,30-07-2021,2.0
2885452,516628,30-07-2021,3.0
2743724,508442,17-04-2021,1.0
2743781,508442,17-04-2021,3.0
2985827,516642,15-10-2021,2.0
2747909,508457,20-04-2021,2.0
2754359,508458,26-04-2021,2.0
2896735,516654,26-08-2021,1.0
2896759,516654,26-08-2021,2.0
2622558,500276,06-01-2021,7.0
2622560,500276,06-01-2021,1.0
2622563,500276,06-01-2021,2.0
3032724,524855,21-12-2021,2.0
3032731,524855,21-12-2021,3.0
2886201,516667,17-08-2021,3.0
3032210,524859,24-12-2021,4.0
3032250,524864,24-12-2021,4.0
3032302,524872,23-12-2021,3.0
2605889,500306,11-01-2021,4.0
2886708,516695,09-08-2021,4.0
2886868,516695,09-08-2021,2.0
2887043,516695,16-08-2021,4.0
2887118,516695,16-08-2021,2.0
2605920,500312,06-01-2021,2.0
3032756,524889,15-12-2021,2.0
2886959,516704,04-08-2021,4.0
2733105,508514,15-04-2021,3.0
2686115,500324,09-03-2021,7.0
3033107,524911,23-12-2021,2.0
2897173,516727,17-08-2021,1.0
2897175,516727,17-08-2021,3.0
2887624,516727,23-08-2021,6.0
3033254,524922,16-12-2021,2.0
3033274,524922,16-12-2021,1.0
2842004,508553,30-06-2021,2.0
2875376,508553,26-07-2021,3.0
2754725,508554,27-04-2021,6.0
2768806,508559,04-05-2021,1.0
2768809,508559,04-05-2021,8.0
2768815,508559,04-05-2021,1.0
2768818,508559,04-05-2021,5.0
2733647,508561,15-04-2021,6.0
2888212,516760,07-09-2021,1.0
2888199,516762,30-08-2021,3.0
2888258,516762,30-08-2021,3.0
2888233,516763,31-08-2021,2.0
3034461,524962,21-12-2021,3.0
3034462,524962,21-12-2021,4.0
2747255,508582,19-04-2021,4.0
2747269,508582,19-04-2021,1.0
2888676,516782,20-08-2021,3.0
2889041,516798,19-08-2021,2.0
2734830,508613,15-04-2021,2.0
3035805,525012,21-12-2021,2.0
3035813,525012,21-12-2021,1.0
2843118,508651,01-07-2021,2.0
3040355,525036,21-12-2021,2.0
2735929,508653,22-04-2021,5.0
2735934,508653,22-04-2021,4.0
2735255,508656,03-05-2021,7.0
2768563,508656,05-05-2021,7.0
2770800,508657,23-04-2021,2.0
3042590,525044,23-12-2021,4.0
3042605,525044,23-12-2021,3.0
2610287,500483,02-02-2021,2.0
3043909,525062,24-12-2021,4.0
2610652,500489,19-01-2021,4.0
2752836,508686,22-04-2021,4.0
2786680,508686,03-05-2021,3.0
2631636,500495,15-01-2021,3.0
2640872,500500,26-01-2021,2.0
2737838,508692,16-04-2021,3.0
3040571,525077,21-12-2021,2.0
3026063,516887,09-12-2021,5.0
3026149,516887,09-12-2021,4.0
2892319,516891,28-08-2021,4.0
2892356,516891,28-08-2021,1.0
2892279,516891,14-08-2021,1.0
2892292,516891,14-08-2021,4.0
3037835,525083,21-12-2021,2.0
2611697,500515,11-01-2021,1.0
2611707,500515,11-01-2021,1.0
2744029,508707,16-04-2021,2.0
2894294,516901,31-08-2021,1.0
2894296,516901,31-08-2021,1.0
2894305,516901,31-08-2021,2.0
2736594,508717,07-05-2021,5.0
2736606,508717,07-05-2021,5.0
3038574,525106,21-12-2021,1.0
3038580,525106,21-12-2021,4.0
2893427,516917,09-08-2021,3.0
3040444,525121,22-12-2021,4.0
3038737,525122,23-12-2021,4.0
2926787,516934,20-09-2021,2.0
3024034,516934,10-12-2021,3.0
3024072,516934,10-12-2021,2.0
3024091,516934,10-12-2021,1.0
3024109,516934,10-12-2021,1.0
3024118,516934,10-12-2021,1.0
2629796,500554,13-01-2021,3.0
2624781,500554,07-01-2021,2.0
2736897,508754,15-04-2021,3.0
2736900,508754,15-04-2021,2.0
2891138,516948,11-08-2021,2.0
2616523,500580,15-01-2021,2.0
2612837,500608,14-12-2020,4.0
2612845,500608,14-12-2020,3.0
2768757,508800,14-06-2021,2.0
2942145,517000,29-09-2021,5.0
2894260,517002,13-08-2021,2.0
2894264,517002,13-08-2021,4.0
2645714,500619,28-01-2021,2.0
2899932,517004,24-08-2021,2.0
2899937,517004,24-08-2021,4.0
2738428,508815,21-04-2021,2.0
2738291,508816,30-04-2021,3.0
2638429,500631,27-01-2021,3.0
2855556,500631,09-07-2021,2.0
2754857,508825,26-04-2021,1.0
2754858,508825,26-04-2021,1.0
2754859,508825,26-04-2021,3.0
2750811,508828,22-04-2021,2.0
2892476,517025,17-08-2021,2.0
2892467,517025,10-08-2021,2.0
2613592,500646,06-01-2021,2.0
2614111,500649,09-02-2021,1.0
2614112,500649,09-02-2021,5.0
2614125,500649,09-02-2021,4.0
2892663,517037,09-08-2021,2.0
2892667,517037,09-08-2021,2.0
2892738,517039,09-08-2021,3.0
2892753,517039,09-08-2021,2.0
2614376,500656,09-02-2021,9.0
3043161,525237,22-12-2021,2.0
3041975,525243,21-12-2021,2.0
2892998,517056,19-08-2021,5.0
2951623,517061,06-10-2021,2.0
2951632,517061,06-10-2021,4.0
2617015,500689,04-01-2021,2.0
2617057,500689,04-01-2021,1.0
2617117,500689,04-01-2021,4.0
2618838,500690,05-01-2021,8.0
2631271,500695,15-01-2021,2.0
2631280,500695,15-01-2021,3.0
2773279,508900,08-05-2021,4.0
2762344,500711,05-05-2021,4.0
2762360,500711,05-05-2021,2.0
2956641,517103,11-10-2021,1.0
3070089,517103,18-12-2021,1.0
3070105,517103,18-12-2021,1.0
2896044,517111,06-09-2021,4.0
2929313,517111,20-09-2021,4.0
2929327,517111,20-09-2021,2.0
2937962,517114,27-09-2021,2.0
2937968,517114,27-09-2021,2.0
2623834,500747,06-01-2021,2.0
2623837,500747,06-01-2021,2.0
3011496,517158,01-12-2021,3.0
2617207,500775,09-01-2021,2.0
2618948,500776,06-01-2021,5.0
2993971,517164,12-11-2021,5.0
2993978,517164,12-11-2021,1.0
2896496,517165,13-08-2021,3.0
2896498,517165,13-08-2021,2.0
2927580,517168,16-09-2021,3.0
2955919,517168,11-10-2021,4.0
2774474,508983,10-05-2021,2.0
2774482,508983,10-05-2021,1.0
2774486,508983,10-05-2021,2.0
2617489,500794,07-01-2021,2.0
2661683,492604,22-02-2021,1.0
2867923,492604,03-07-2021,3.0
2848916,508988,06-07-2021,2.0
2617617,500798,07-01-2021,2.0
2848904,508990,06-07-2021,2.0
2896763,517191,16-08-2021,2.0
2639699,500810,21-01-2021,3.0
2639710,500810,21-01-2021,2.0
3026910,517199,13-12-2021,7.0
3026914,517199,13-12-2021,2.0
3026924,517199,13-12-2021,9.0
2625296,500818,07-01-2021,1.0
2625304,500818,07-01-2021,3.0
2627756,500827,11-01-2021,4.0
2627766,500827,11-01-2021,3.0
2627776,500830,11-01-2021,6.0
2627115,500832,11-01-2021,2.0
2627130,500832,11-01-2021,1.0
2627133,500832,11-01-2021,4.0
2894800,517216,16-08-2021,1.0
2894807,517216,16-08-2021,1.0
2751402,509026,22-04-2021,3.0
2905440,517225,26-08-2021,2.0
2771369,509036,07-05-2021,1.0
2771370,509036,07-05-2021,3.0
2618660,500851,06-01-2021,4.0
2618747,500854,07-01-2021,3.0
2813631,509049,06-07-2021,3.0
2618792,500858,12-01-2021,2.0
2618815,500858,12-01-2021,1.0
2743086,509053,22-04-2021,1.0
2743088,509053,22-04-2021,2.0
2754057,509053,23-04-2021,2.0
2625521,500881,08-01-2021,3.0
2625523,500881,08-01-2021,2.0
2619578,500895,08-01-2021,3.0
2901321,517281,30-09-2021,2.0
2896217,517284,23-07-2021,1.0
2896227,517284,23-07-2021,2.0
2896254,517285,30-08-2021,1.0
2896274,517285,30-08-2021,2.0
2926324,517286,15-09-2021,4.0
2896385,517291,17-08-2021,1.0
2896386,517292,24-08-2021,4.0
2896394,517292,24-08-2021,2.0
2896404,517294,25-08-2021,2.0
2905544,517294,30-08-2021,3.0
2896417,517295,27-08-2021,3.0
2896420,517295,27-08-2021,2.0
2913771,517297,06-09-2021,3.0
2773332,509106,10-05-2021,4.0
2758335,509110,29-04-2021,3.0
2758353,509110,29-04-2021,1.0
2909850,517304,02-09-2021,3.0
2909882,517304,02-09-2021,3.0
2744204,509118,20-04-2021,4.0
2939018,517310,23-09-2021,5.0
2925418,517311,15-09-2021,2.0
2910673,517313,07-09-2021,4.0
2896706,517320,13-08-2021,2.0
2896714,517320,13-08-2021,2.0
2621432,500939,08-01-2021,7.0
2786331,509136,28-05-2021,3.0
2904195,517329,27-08-2021,3.0
2899128,517330,19-08-2021,3.0
2899144,517330,19-08-2021,2.0
2843624,509142,02-07-2021,1.0
2843633,509142,02-07-2021,1.0
2843636,509142,02-07-2021,1.0
2762633,509144,10-05-2021,2.0
2762635,509144,10-05-2021,1.0
2747967,509146,28-05-2021,6.0
2620752,500959,11-01-2021,2.0
2620754,500959,11-01-2021,1.0
2897058,517344,17-08-2021,1.0
2947610,517346,05-10-2021,2.0
2842887,500969,06-07-2021,1.0
2842923,500969,06-07-2021,2.0
2842930,500969,06-07-2021,2.0
2842949,500969,06-07-2021,1.0
2924116,517367,20-09-2021,1.0
2949765,517367,11-10-2021,1.0
2949834,517367,11-10-2021,8.0
2904580,509176,26-08-2021,1.0
2904582,509176,26-08-2021,2.0
2897615,517368,18-08-2021,4.0
2922774,517369,14-09-2021,3.0
2974054,509179,08-10-2021,1.0
2748984,509181,10-05-2021,1.0
2748994,509181,10-05-2021,1.0
2898017,517373,14-09-2021,2.0
2745791,509183,22-04-2021,4.0
2897451,517374,18-08-2021,2.0
2897463,517374,18-08-2021,3.0
2897664,517385,25-08-2021,1.0
2902351,517387,28-09-2021,2.0
2745765,509197,29-04-2021,4.0
2721930,501006,02-04-2021,1.0
2721931,501006,02-04-2021,2.0
2729059,501006,07-04-2021,1.0
3007221,492816,23-11-2021,3.0
2872796,509214,20-07-2021,2.0
2872807,509214,20-07-2021,4.0
2898085,517409,25-08-2021,1.0
2790039,501028,25-05-2021,4.0
2960587,517413,15-10-2021,4.0
2898169,517415,25-08-2021,3.0
3020415,517417,29-10-2021,4.0
2910747,517430,02-09-2021,5.0
2899736,517440,27-08-2021,2.0
2907469,517441,31-08-2021,3.0
2779617,509274,12-05-2021,4.0
2757168,509282,26-04-2021,3.0
2757174,509282,26-04-2021,5.0
2937423,517477,24-09-2021,2.0
2937448,517477,24-09-2021,2.0
2913323,517482,07-09-2021,4.0
2913338,517482,07-09-2021,2.0
2907696,517491,31-08-2021,2.0
2907697,517491,31-08-2021,2.0
2898868,517493,26-08-2021,2.0
2898878,517493,26-08-2021,4.0
2915636,517494,06-09-2021,2.0
2905627,517504,27-08-2021,8.0
2905634,517504,27-08-2021,2.0
2747750,509315,23-04-2021,5.0
2623317,501129,06-01-2021,3.0
2915915,517531,07-09-2021,4.0
2902014,517531,30-08-2021,5.0
2902023,517531,30-08-2021,1.0
