,End_Order,End_Datum,Ret_Aantal
2761852,501761,30-04-2021,2.0
2761861,501761,30-04-2021,1.0
2761871,501761,30-04-2021,2.0
2961534,501761,30-07-2021,0.0
2733134,507906,09-04-2021,2.0
2727172,503810,12-04-2021,1.0
2727180,503810,12-04-2021,1.0
2727184,503810,12-04-2021,1.0
2727189,503810,12-04-2021,1.0
2727190,503810,12-04-2021,1.0
2727197,503810,12-04-2021,2.0
2727203,503810,12-04-2021,3.0
2894905,509960,12-08-2021,6.0
2646269,497677,28-01-2021,11.0
2775111,497677,17-05-2021,6.0
2993295,497677,23-11-2021,1.0
2945233,520208,08-10-2021,6.0
2938703,503830,10-09-2021,5.0
2756352,499739,07-05-2021,7.0
2756362,499739,07-05-2021,9.0
2756371,499739,07-05-2021,2.0
2941729,499739,30-09-2021,6.0
2941744,499739,30-09-2021,2.0
2941752,499739,30-09-2021,6.0
2941755,499739,30-09-2021,4.0
2941758,499739,30-09-2021,4.0
2858621,509986,13-07-2021,5.0
2875093,509986,23-07-2021,1.0
2875094,509986,23-07-2021,3.0
2804623,512034,04-06-2021,1.0
2804632,512034,04-06-2021,1.0
2804634,512034,04-06-2021,1.0
2804640,512034,04-06-2021,1.0
2313424,483364,07-05-2020,1.0
2313427,483364,07-05-2020,2.0
2949033,483364,06-10-2021,1.0
2949034,483364,06-10-2021,3.0
2949043,483364,06-10-2021,4.0
2949045,483364,06-10-2021,2.0
2957980,483364,06-10-2021,0.0
3031499,524328,20-12-2021,14.0
2786213,509995,20-05-2021,3.0
2996496,514094,17-11-2021,1.0
2996501,514094,17-11-2021,2.0
2996505,514094,17-11-2021,2.0
2996509,514094,17-11-2021,2.0
2996515,514094,17-11-2021,1.0
2996517,514094,17-11-2021,3.0
2996523,514094,17-11-2021,1.0
2996526,514094,17-11-2021,1.0
2996548,514094,17-11-2021,3.0
3002079,522290,17-11-2021,5.0
2909232,518201,03-09-2021,3.0
2834359,514110,07-07-2021,7.0
2834363,514110,07-07-2021,5.0
2294024,475199,20-04-2020,2.0
2593781,475199,07-12-2020,4.0
2593793,475199,07-12-2020,8.0
2593797,475199,07-12-2020,4.0
2593810,475199,07-12-2020,3.0
2594605,499778,16-01-2021,8.0
2594613,499778,16-01-2021,8.0
2946524,520260,19-10-2021,8.0
2946619,520264,30-10-2021,8.0
2770690,510026,07-05-2021,3.0
2770694,510026,07-05-2021,8.0
2670656,503882,26-02-2021,2.0
2670666,503882,26-02-2021,9.0
2670675,503882,26-02-2021,4.0
2670682,503882,26-02-2021,1.0
2670693,503882,26-02-2021,1.0
2670711,503882,26-02-2021,10.0
