,Ing_Order,Ing_Datum,Ing_Aantal
3014695,516096,23-07-2021,1.0
3157424,524290,06-12-2021,1.0
3157426,524290,06-12-2021,1.0
3157429,524290,06-12-2021,1.0
2803782,503810,24-02-2021,2.0
2795631,503810,12-02-2021,2.0
3123700,522244,04-11-2021,2.0
2993743,509960,06-07-2021,3.0
2687661,491533,03-11-2020,1.0
2704337,497677,21-11-2020,1.0
2785316,497677,28-01-2021,1.0
2841128,497677,18-03-2021,1.0
3033024,497677,09-08-2021,1.0
3043015,497677,24-08-2021,4.0
3043023,497677,24-08-2021,2.0
3154757,497677,03-12-2021,2.0
3157964,524306,08-12-2021,5.0
3157996,524306,08-12-2021,5.0
3157928,524309,07-12-2021,1.0
2868705,507927,02-04-2021,2.0
2734783,499739,14-12-2020,2.0
2735003,499739,18-01-2021,1.0
2735021,499739,18-01-2021,2.0
2918778,499739,11-05-2021,1.0
2918790,499739,11-05-2021,1.0
2918816,499739,11-05-2021,1.0
2920397,499739,11-05-2021,1.0
3052347,518172,17-09-2021,1.0
3052425,518177,06-09-2021,2.0
3052433,518177,13-09-2021,2.0
2905592,509986,03-05-2021,1.0
2905596,509986,03-05-2021,1.0
2905603,509986,03-05-2021,1.0
2957929,509986,11-06-2021,4.0
2957958,509986,11-06-2021,1.0
2949555,512034,04-06-2021,1.0
2949570,512034,04-06-2021,1.0
2796303,503846,12-02-2021,2.0
2979871,514086,24-06-2021,2.0
3158288,524328,10-12-2021,6.0
3158296,524328,10-12-2021,2.0
3158306,524328,10-12-2021,3.0
3158313,524328,10-12-2021,1.0
3165735,524328,14-12-2021,2.0
2943784,512044,01-06-2021,1.0
2943788,512044,01-06-2021,1.0
2871479,507950,07-04-2021,2.0
2980027,514094,28-06-2021,1.0
2980032,514094,28-06-2021,1.0
2980049,514094,28-06-2021,1.0
2987494,514094,23-06-2021,4.0
2316411,475199,13-01-2020,4.0
2316414,475199,13-01-2020,1.0
2316493,475199,13-01-2020,2.0
2316494,475199,13-01-2020,1.0
2313848,475199,07-01-2020,3.0
2735680,499778,23-12-2020,2.0
2735720,499778,02-01-2021,5.0
2735722,499778,02-01-2021,2.0
2735737,499778,02-01-2021,2.0
3125136,522306,08-11-2021,3.0
3087494,520260,18-10-2021,1.0
3087591,520264,29-10-2021,1.0
2906823,510026,03-05-2021,2.0
2796923,503882,16-02-2021,2.0
2805930,503882,24-02-2021,3.0
2805946,503882,24-02-2021,3.0
2805953,503882,24-02-2021,1.0
3053305,518221,06-09-2021,2.0
3053261,518221,02-09-2021,2.0
2925713,510034,19-05-2021,2.0
2925717,510034,19-05-2021,3.0
2797118,503893,15-02-2021,2.0
2833208,505941,10-03-2021,3.0
2949779,512096,04-06-2021,1.0
2967961,512096,21-06-2021,3.0
2967969,512096,21-06-2021,3.0
2949829,512096,10-06-2021,3.0
2949837,512096,10-06-2021,3.0
3025066,512096,02-08-2021,3.0
3025073,512096,02-08-2021,3.0
3036200,512096,13-08-2021,3.0
3036215,512096,13-08-2021,3.0
3053697,518241,06-09-2021,2.0
3125598,522336,09-11-2021,2.0
3138388,522336,22-11-2021,3.0
3138396,522336,22-11-2021,1.0
3138407,522336,22-11-2021,1.0
3138414,522336,22-11-2021,2.0
2766856,501860,13-01-2021,3.0
3088067,520295,08-10-2021,2.0
3159474,524393,07-12-2021,1.0
3159475,524393,07-12-2021,1.0
3008673,514153,17-07-2021,1.0
3008675,514153,17-07-2021,1.0
3008826,514153,17-07-2021,1.0
3008833,514153,17-07-2021,1.0
3011254,514153,04-07-2021,1.0
3011262,514153,04-07-2021,1.0
2842493,505967,17-03-2021,1.0
2842498,505967,17-03-2021,2.0
2842503,505967,17-03-2021,4.0
2842528,505967,17-03-2021,3.0
2907624,510067,04-05-2021,8.0
2981763,510067,25-06-2021,1.0
2981765,510067,25-06-2021,1.0
2949513,510067,03-06-2021,1.0
2907846,510074,30-04-2021,6.0
2910025,510074,09-05-2021,6.0
2910039,510074,09-05-2021,5.0
3126916,522363,12-11-2021,1.0
3126925,522363,12-11-2021,1.0
3126927,522363,12-11-2021,2.0
3126941,522363,12-11-2021,1.0
2856933,501885,29-03-2021,1.0
2781789,501885,26-01-2021,1.0
