,Ing_Order,Ing_Datum,Ing_Aantal
1332013,409624,08-03-2017,2.0
2181342,466972,16-09-2019,2.0
1347205,409630,27-03-2017,2.0
1682920,434207,07-05-2018,4.0
2444542,483358,28-04-2020,8.0
2444585,483360,29-04-2020,8.0
1452792,417825,02-08-2017,8.0
1452818,417825,02-08-2017,2.0
1456911,417825,02-08-2017,2.0
2444618,483361,30-04-2020,8.0
2444669,483363,01-05-2020,8.0
2313347,475174,10-01-2020,1.0
1806795,442407,17-09-2018,2.0
2313408,475177,10-01-2020,2.0
2313488,475180,10-01-2020,4.0
1683263,434222,14-05-2018,5.0
1705636,434222,28-05-2018,2.0
2735203,499759,08-12-2020,4.0
1572175,426034,21-12-2017,2.0
2313548,475186,20-01-2020,4.0
1926014,450610,16-01-2019,2.0
1807008,442421,17-09-2018,4.0
1815463,442421,21-09-2018,4.0
1571282,426039,06-12-2017,2.0
2735641,499767,07-12-2020,5.0
1332270,409655,13-03-2017,2.0
2313646,475192,20-01-2020,4.0
2313679,475193,20-01-2020,4.0
2313697,475195,20-01-2020,4.0
1450804,417855,24-07-2017,8.0
2050817,458816,21-05-2019,2.0
2313718,475200,20-01-2020,4.0
2050865,458818,16-05-2019,4.0
2182042,467011,07-10-2019,4.0
2050934,458820,26-05-2019,6.0
1683599,434246,07-05-2018,1.0
2870553,507977,07-04-2021,3.0
2314047,475220,07-01-2020,3.0
2445646,483413,01-05-2020,2.0
1453436,417878,07-08-2017,2.0
1807579,442458,13-09-2018,3.0
2742842,499803,11-12-2020,4.0
2445783,483422,29-04-2020,2.0
2182629,467039,16-09-2019,2.0
1683862,434273,14-05-2018,1.0
1457474,417899,23-08-2017,6.0
2736592,499822,04-01-2021,2.0
1451170,417903,18-09-2017,2.0
1451178,417905,25-07-2017,3.0
2059226,458869,17-05-2019,2.0
2051305,458869,14-05-2019,2.0
2314654,475256,07-01-2020,2.0
2319592,475256,10-01-2020,2.0
1684210,434297,07-05-2018,2.0
2446307,483452,04-05-2020,2.0
2589076,491649,26-08-2020,6.0
2446630,483472,29-04-2020,2.0
1333612,409755,10-03-2017,2.0
1927356,450717,21-01-2019,4.0
1451924,417954,28-07-2017,1.0
2589749,491684,31-08-2020,7.0
2183599,467112,23-09-2019,4.0
1808708,442540,21-09-2018,2.0
1452031,417966,18-09-2017,8.0
2052193,458932,17-05-2019,4.0
2739289,499894,04-01-2021,6.0
2447141,483512,04-05-2020,2.0
1808961,442560,18-09-2018,2.0
2451602,483521,26-05-2020,2.0
2447504,483533,29-04-2020,3.0
1809134,442575,14-09-2018,1.0
1928316,450769,24-01-2019,2.0
2447586,483541,30-04-2020,8.0
2872192,508121,09-04-2021,4.0
2447609,483545,01-05-2020,8.0
1452747,418013,31-07-2017,1.0
1809538,442590,17-09-2018,2.0
1452688,418014,30-08-2017,2.0
1504520,418014,28-09-2017,8.0
2052784,458977,16-05-2019,6.0
1335277,409825,13-03-2017,4.0
1809484,442595,17-09-2018,4.0
