,Ing_Order,Ing_Datum,Ing_Aantal
2050386,458753,15-05-2019,4.0
2586787,491525,26-08-2020,4.0
2049857,458757,13-05-2019,4.0
1818423,442384,01-10-2018,5.0
1828658,442385,15-10-2018,4.0
1841436,442386,26-10-2018,5.0
2181333,466972,16-09-2019,2.0
1347192,409630,27-03-2017,2.0
1682924,434207,07-05-2018,4.0
1331896,409631,16-03-2017,1.0
1331904,409631,16-03-2017,3.0
2444537,483358,28-04-2020,8.0
2444580,483360,29-04-2020,8.0
1452784,417825,02-08-2017,5.0
1452787,417825,02-08-2017,4.0
1452791,417825,02-08-2017,8.0
1452822,417825,02-08-2017,2.0
1456920,417825,02-08-2017,2.0
2444613,483361,30-04-2020,8.0
2444664,483363,01-05-2020,8.0
2313342,475174,10-01-2020,1.0
1806789,442407,17-09-2018,2.0
1682998,434216,07-05-2018,4.0
2313414,475177,10-01-2020,2.0
2331123,475177,22-01-2020,1.0
1926323,450597,17-01-2019,4.0
2313478,475180,10-01-2020,4.0
1705639,434222,28-05-2018,2.0
1683266,434222,14-05-2018,5.0
2735189,499759,08-12-2020,4.0
2869273,507953,06-04-2021,16.0
1572178,426034,21-12-2017,2.0
1572179,426034,21-12-2017,2.0
1572183,426034,21-12-2017,2.0
2313559,475186,20-01-2020,4.0
2869288,507954,07-04-2021,16.0
2869317,507955,08-04-2021,16.0
1807003,442421,17-09-2018,2.0
1807012,442421,17-09-2018,4.0
1815445,442421,21-09-2018,4.0
1571285,426039,06-12-2017,2.0
2735640,499767,07-12-2020,2.0
2735644,499767,07-12-2020,5.0
1332282,409655,13-03-2017,2.0
2313642,475192,20-01-2020,4.0
2313669,475193,20-01-2020,4.0
2869335,507958,09-04-2021,16.0
2735607,499773,08-12-2020,2.0
2313684,475195,20-01-2020,4.0
1450802,417855,24-07-2017,4.0
1450821,417855,24-07-2017,8.0
2313727,475200,20-01-2020,4.0
1332259,409665,14-03-2017,4.0
2050846,458818,16-05-2019,4.0
2050862,458818,16-05-2019,2.0
2182044,467011,07-10-2019,4.0
2050921,458820,26-05-2019,6.0
2050935,458820,26-05-2019,2.0
1683600,434246,07-05-2018,1.0
1683602,434246,07-05-2018,2.0
1572049,426055,11-12-2017,5.0
2870550,507977,07-04-2021,3.0
2050958,458826,15-05-2019,2.0
1571707,426059,08-12-2017,2.0
2182319,467022,12-09-2019,4.0
1450983,417874,28-08-2017,2.0
2314052,475220,07-01-2020,3.0
2445662,483413,01-05-2020,2.0
2182476,467034,16-09-2019,3.0
2742836,499803,11-12-2020,4.0
1807577,442458,13-09-2018,3.0
2445800,483422,29-04-2020,2.0
2182642,467039,16-09-2019,2.0
2182645,467039,16-09-2019,2.0
1683845,434273,14-05-2018,1.0
2051118,458851,20-05-2019,3.0
2870411,508010,20-04-2021,1.0
1457473,417899,23-08-2017,6.0
2736606,499822,04-01-2021,2.0
1451157,417903,18-09-2017,2.0
1807835,442480,13-09-2018,4.0
1807836,442480,13-09-2018,4.0
1807849,442481,14-09-2018,4.0
1807850,442481,14-09-2018,4.0
1451180,417905,25-07-2017,3.0
2059223,458869,17-05-2019,2.0
2051302,458869,14-05-2019,2.0
2183020,467063,13-09-2019,4.0
2319594,475256,10-01-2020,2.0
2314656,475256,07-01-2020,2.0
1684211,434297,07-05-2018,2.0
2314781,475260,30-01-2020,4.0
2314802,475260,30-01-2020,2.0
2739993,499837,15-12-2020,4.0
2740007,499837,15-12-2020,4.0
1333418,409725,13-03-2017,4.0
1333428,409725,13-03-2017,2.0
2446294,483452,04-05-2020,2.0
2589075,491649,26-08-2020,6.0
2446628,483472,29-04-2020,2.0
2616892,491667,21-09-2020,2.0
2624662,491667,21-09-2020,1.0
2870866,508052,12-04-2021,16.0
1557201,424996,20-11-2017,2.0
2870942,508056,13-04-2021,16.0
2315175,475289,29-01-2020,2.0
2870982,508057,14-04-2021,16.0
1333625,409755,10-03-2017,2.0
2870997,508060,15-04-2021,16.0
2871036,508061,16-04-2021,16.0
1927362,450717,21-01-2019,4.0
1931119,450720,23-01-2019,5.0
1333745,409761,24-03-2017,4.0
1572938,426146,11-12-2017,2.0
1451931,417954,28-07-2017,1.0
1451882,417954,27-07-2017,8.0
2589732,491684,31-08-2020,7.0
2589734,491684,31-08-2020,3.0
2315337,475303,08-01-2020,4.0
2183595,467112,23-09-2019,4.0
1808707,442540,21-09-2018,2.0
1452032,417966,18-09-2017,8.0
2052186,458932,17-05-2019,4.0
2052190,458932,17-05-2019,2.0
2739305,499894,04-01-2021,6.0
2739313,499894,04-01-2021,1.0
2447140,483512,04-05-2020,3.0
2447147,483512,04-05-2020,2.0
1808905,442555,18-09-2018,2.0
1573152,426175,18-12-2017,8.0
1808942,442560,18-09-2018,2.0
2451589,483521,26-05-2020,2.0
2451600,483521,26-05-2020,1.0
2189452,467140,23-09-2019,2.0
1809044,442567,18-09-2018,6.0
1479053,417994,06-09-2017,5.0
1809065,442572,14-09-2018,4.0
2447512,483533,29-04-2020,3.0
2447513,483533,29-04-2020,4.0
1928288,450769,24-01-2019,4.0
1928314,450769,24-01-2019,4.0
1928344,450769,24-01-2019,2.0
2590281,491733,14-09-2020,3.0
2590847,491734,23-09-2020,1.0
2590863,491734,23-09-2020,3.0
1809280,442581,17-09-2018,4.0
1809288,442581,17-09-2018,5.0
2447591,483541,30-04-2020,8.0
2872180,508121,09-04-2021,4.0
2872205,508121,09-04-2021,10.0
2447614,483545,01-05-2020,8.0
1452765,418013,31-07-2017,1.0
1809537,442590,17-09-2018,2.0
1452686,418014,30-08-2017,2.0
1504525,418014,28-09-2017,8.0
2052789,458977,16-05-2019,1.0
2052791,458977,16-05-2019,6.0
1335289,409825,13-03-2017,4.0
1335290,409825,13-03-2017,1.0
1809478,442595,17-09-2018,4.0
1574587,426212,12-12-2017,6.0
1574628,426212,12-12-2017,6.0
1573532,426212,11-12-2017,6.0
1809712,442599,24-09-2018,10.0
1809707,442599,21-09-2018,10.0
2185166,467178,13-09-2019,2.0
1456985,418029,02-08-2017,2.0
1335171,409839,13-03-2017,4.0
1335198,409839,13-03-2017,2.0
1402606,409839,06-06-2017,1.0
1809696,442607,21-09-2018,2.0
2591073,491761,11-09-2020,8.0
1809784,442610,18-09-2018,2.0
2053057,458997,16-05-2019,2.0
2053063,458997,16-05-2019,3.0
1686096,434424,14-05-2018,6.0
2448193,483576,30-04-2020,2.0
2053171,459002,14-05-2019,4.0
