,End_Order,End_Datum,Ret_Aantal
1944140,458753,05-06-2019,7.0
1979696,462850,12-07-2019,12.0
1558220,432131,14-05-2018,15.0
1579493,432131,25-05-2018,6.0
2554757,497668,12-11-2020,3.0
1794427,448516,21-01-2019,53.0
1418604,423942,01-12-2017,15.0
1385329,419847,24-09-2017,10.0
1665898,440328,30-08-2018,18.0
1399270,419849,22-10-2017,9.0
1571190,430091,22-05-2018,2.0
1710736,442384,12-10-2018,10.0
1751102,442385,19-11-2018,17.0
2479825,493586,25-09-2020,10.0
1753714,442386,21-11-2018,4.0
1806763,446491,21-12-2018,9.0
1528671,428060,06-04-2018,27.0
1235455,409630,03-04-2017,3.0
1235456,409630,03-04-2017,10.0
1235474,409630,03-04-2017,12.0
1487125,428063,05-02-2018,6.0
2173709,469023,23-12-2019,2.0
1291782,411681,21-06-2017,20.0
2377944,487454,03-07-2020,31.0
1614386,436259,03-07-2018,4.0
1614391,436259,03-07-2018,4.0
1803328,450597,18-01-2019,6.0
1803344,450597,18-01-2019,5.0
2340332,485414,03-06-2020,4.0
1610392,434222,26-06-2018,2.0
1361998,419892,18-09-2017,28.0
2373257,487476,23-06-2020,6.0
1391194,415799,10-10-2017,4.0
1388063,417850,11-10-2017,10.0
1738186,440379,08-11-2018,10.0
2015354,464957,27-08-2019,15.0
2555209,497728,03-12-2020,3.0
1650735,440386,16-08-2018,18.0
1567016,434246,14-05-2018,26.0
1961123,460871,21-06-2019,6.0
2761331,510023,07-05-2021,11.0
1432321,417864,17-11-2017,9.0
2761450,510030,06-05-2021,25.0
1218861,409679,07-04-2017,8.0
1361271,417874,07-09-2017,11.0
1421997,424020,09-11-2017,6.0
1337130,417878,23-08-2017,24.0
1274149,413786,23-05-2017,9.0
1274152,413786,23-05-2017,6.0
1274155,413786,23-05-2017,12.0
1327973,413786,11-06-2017,2.0
2411601,489562,24-08-2020,8.0
2238394,479324,31-03-2020,2.0
1780406,448605,21-12-2018,9.0
2444303,489564,24-08-2020,4.0
2444327,489564,24-08-2020,22.0
1558814,434273,22-05-2018,13.0
1558131,432226,07-05-2018,2.0
1296674,413793,16-06-2017,29.0
1195371,407654,10-02-2017,6.0
1195372,407654,10-02-2017,3.0
2587621,495726,09-12-2020,12.0
2656855,495726,15-01-2021,0.0
2625443,499822,11-01-2021,15.0
2631848,501871,29-01-2021,1.0
2631851,501871,29-01-2021,10.0
1997309,462967,22-07-2019,6.0
1950046,460923,28-06-2019,26.0
2690305,505979,09-04-2021,13.0
2600747,499837,15-12-2020,39.0
2374449,481403,24-06-2020,7.0
1772175,448639,13-12-2018,6.0
1950136,460929,11-07-2019,11.0
1257470,411777,10-05-2017,5.0
2522833,493701,26-10-2020,4.0
2522838,493701,26-10-2020,12.0
2241142,479368,10-03-2020,9.0
2241163,479368,10-03-2020,9.0
1995292,458889,18-07-2019,2.0
2412425,489609,13-08-2020,6.0
2557028,497803,18-11-2020,18.0
1248610,411790,27-04-2017,4.0
2087699,467090,15-10-2019,9.0
2218774,467090,12-02-2020,1.0
2218775,467090,12-02-2020,1.0
2604494,491667,16-12-2020,5.0
2604547,491667,16-12-2020,3.0
1385866,419986,04-10-2017,6.0
2145009,465046,10-12-2019,12.0
1365744,419990,09-10-2017,5.0
1365756,419990,09-10-2017,4.0
2691472,506008,30-03-2021,2.0
2557946,497817,11-12-2020,3.0
1362339,419997,20-09-2017,18.0
1826733,450720,22-02-2019,6.0
1335775,417954,31-07-2017,8.0
1478929,428195,06-02-2018,4.0
2633675,501925,13-03-2021,12.0
2633696,501925,13-03-2021,6.0
1252207,411814,12-05-2017,3.0
1252208,411814,12-05-2017,9.0
1252215,411814,12-05-2017,11.0
1252220,411814,12-05-2017,23.0
1252246,411814,12-05-2017,3.0
1252256,411814,12-05-2017,8.0
1772527,448677,11-12-2018,15.0
1685436,440493,14-09-2018,4.0
1844497,452781,06-03-2019,4.0
2607044,497839,11-12-2020,3.0
1226203,407730,22-03-2017,9.0
1830179,452788,14-03-2019,8.0
2680006,499894,04-03-2021,2.0
2077503,469175,11-10-2019,23.0
2132115,471223,18-11-2019,3.0
2077562,469177,25-10-2019,23.0
1652054,440502,27-08-2018,2.0
1276017,411832,19-05-2017,10.0
1991187,454847,17-07-2019,4.0
1680390,442560,18-09-2018,4.0
1644538,438465,30-07-2018,7.0
1644559,438465,30-07-2018,12.0
1783193,444608,19-12-2018,34.0
1560093,434371,30-05-2018,19.0
2239907,479424,09-03-2020,18.0
2113578,471237,29-11-2019,6.0
1220363,409797,13-03-2017,4.0
2660483,504007,25-02-2021,11.0
2660515,504007,25-02-2021,1.0
2660549,504007,25-02-2021,19.0
2110456,467144,01-11-2019,6.0
2764496,510153,12-05-2021,4.0
2764510,510153,12-05-2021,3.0
1358927,417994,06-09-2017,6.0
1674156,440523,22-09-2018,5.0
2262453,471244,20-03-2020,1.0
1739536,446668,13-11-2018,2.0
1805276,450769,25-01-2019,13.0
2449792,491733,23-09-2020,5.0
2449828,491734,02-10-2020,10.0
1484858,428245,08-02-2018,6.0
1250756,411864,28-04-2017,6.0
1961274,461017,02-07-2019,10.0
1961265,461017,26-06-2019,2.0
2742752,508121,20-04-2021,11.0
2275324,481495,07-04-2020,2.0
2387228,487639,20-07-2020,45.0
2387254,487639,20-07-2020,2.0
