,Ing_Order,Ing_Datum,Ing_Aantal
2050390,458753,15-05-2019,7.0
2113191,462850,09-07-2019,12.0
1658214,432131,06-04-2018,15.0
1683524,432131,14-05-2018,8.0
2699510,497668,11-11-2020,3.0
1911943,448516,05-01-2019,53.0
1541125,423942,01-12-2017,15.0
1484856,419847,12-09-2017,10.0
1774057,440328,09-08-2018,18.0
1481856,419849,11-09-2017,9.0
1696759,430091,18-05-2018,2.0
1818427,442384,01-10-2018,10.0
1828670,442385,15-10-2018,17.0
2623819,493586,21-09-2020,10.0
1841429,442386,26-10-2018,4.0
1869123,446491,04-11-2018,9.0
1606928,428060,12-02-2018,27.0
1347208,409630,27-03-2017,12.0
1347209,409630,27-03-2017,10.0
1347227,409630,28-03-2017,3.0
1596307,428063,23-01-2018,6.0
2257640,469023,06-11-2019,2.0
1360700,411681,12-06-2017,20.0
2522426,487454,29-06-2020,31.0
1725262,436259,15-06-2018,4.0
1714498,436259,06-06-2018,4.0
1837851,444451,11-10-2018,8.0
1926317,450597,17-01-2019,5.0
1926318,450597,17-01-2019,6.0
2483596,485414,03-06-2020,4.0
1683260,434222,14-05-2018,2.0
1482541,419892,15-09-2017,28.0
2516161,487476,22-06-2020,6.0
1419913,415799,21-06-2017,4.0
1451767,417850,25-08-2017,10.0
1775749,440379,03-09-2018,10.0
2147828,464957,23-08-2019,15.0
2700614,497728,13-11-2020,3.0
1774879,440386,16-08-2018,18.0
1683608,434246,07-05-2018,26.0
2095130,460871,20-06-2019,6.0
2906588,510023,06-05-2021,11.0
1539274,417864,08-11-2017,9.0
2225203,469068,14-10-2019,6.0
2906815,510030,05-05-2021,25.0
1332451,409679,27-03-2017,8.0
1450979,417874,28-08-2017,11.0
1541953,424020,08-11-2017,7.0
1453416,417878,07-08-2017,24.0
1391617,413786,19-05-2017,12.0
1391638,413786,19-05-2017,6.0
1391640,413786,19-05-2017,11.0
2551402,489562,24-08-2020,8.0
2376914,479324,20-03-2020,2.0
1900234,448605,06-12-2018,9.0
2551533,489564,14-08-2020,4.0
2551550,489564,14-08-2020,22.0
1683859,434273,14-05-2018,13.0
1653327,432226,19-04-2018,2.0
1391854,413793,29-05-2017,29.0
1304862,407654,07-02-2017,3.0
1304868,407654,07-02-2017,6.0
2664627,495726,30-10-2020,16.0
2736591,499822,04-01-2021,16.0
2768691,501871,25-01-2021,10.0
2768702,501871,25-01-2021,1.0
2114093,462967,19-07-2019,6.0
2083336,460923,17-06-2019,26.0
2833913,505979,22-03-2021,13.0
2739977,499837,15-12-2020,39.0
2455786,481403,27-05-2020,7.0
1900582,448639,13-12-2018,6.0
2083462,460929,27-06-2019,11.0
