,Ing_Order,Ing_Datum,Ing_Aantal
2050384,458753,15-05-2019,4.0
2586786,491525,26-08-2020,6.0
2049856,458757,13-05-2019,5.0
1818419,442384,01-10-2018,4.0
1828667,442385,15-10-2018,4.0
1841445,442386,26-10-2018,6.0
2181335,466972,16-09-2019,2.0
1347195,409630,27-03-2017,6.0
1331900,409631,16-03-2017,1.0
2444525,483358,28-04-2020,1.0
2444546,483358,28-04-2020,2.0
2444568,483360,29-04-2020,1.0
2444589,483360,29-04-2020,2.0
1452768,417825,02-08-2017,9.0
2444601,483361,30-04-2020,1.0
2444622,483361,30-04-2020,2.0
2444652,483363,01-05-2020,1.0
2444673,483363,01-05-2020,2.0
1926328,450597,17-01-2019,5.0
2313349,475174,10-01-2020,2.0
1806803,442407,17-09-2018,2.0
2313404,475177,10-01-2020,4.0
2313475,475180,10-01-2020,4.0
1683258,434222,14-05-2018,8.0
1705634,434222,28-05-2018,2.0
1683299,434223,02-05-2018,6.0
2735196,499759,08-12-2020,4.0
1572166,426034,21-12-2017,1.0
2313557,475186,20-01-2020,4.0
1926024,450610,16-01-2019,2.0
1807004,442421,17-09-2018,10.0
1815446,442421,21-09-2018,2.0
1571279,426039,06-12-2017,2.0
2735655,499767,07-12-2020,6.0
1683390,434232,08-05-2018,1.0
1332268,409655,13-03-2017,2.0
2313633,475192,20-01-2020,2.0
2313663,475193,20-01-2020,4.0
2735597,499773,08-12-2020,4.0
2313682,475195,20-01-2020,2.0
2483041,475195,26-05-2020,2.0
1451775,417850,25-08-2017,12.0
2313720,475200,20-01-2020,4.0
1332257,409665,14-03-2017,2.0
2050854,458818,16-05-2019,2.0
2182046,467011,07-10-2019,4.0
2050953,458820,26-05-2019,10.0
1450810,417855,24-07-2017,8.0
1683601,434246,07-05-2018,9.0
1572055,426055,11-12-2017,5.0
1539260,417864,08-11-2017,6.0
2870554,507977,07-04-2021,2.0
2445268,483399,04-05-2020,2.0
1571701,426059,08-12-2017,3.0
2182324,467022,12-09-2019,2.0
1332452,409679,27-03-2017,6.0
1807390,442449,13-09-2018,12.0
1450980,417874,28-08-2017,5.0
1571802,426068,06-12-2017,4.0
1807450,442452,13-09-2018,30.0
2325245,475220,20-01-2020,2.0
2314043,475220,07-01-2020,4.0
2445638,483413,01-05-2020,2.0
1453424,417878,07-08-2017,15.0
2182475,467034,16-09-2019,8.0
2742851,499803,11-12-2020,2.0
1807581,442458,13-09-2018,2.0
2445784,483422,29-04-2020,2.0
2182644,467039,16-09-2019,6.0
1683841,434273,14-05-2018,18.0
2051124,458851,20-05-2019,7.0
2736618,499822,04-01-2021,8.0
1451153,417903,18-09-2017,2.0
1451192,417905,25-07-2017,2.0
2059227,458869,17-05-2019,10.0
2051306,458869,14-05-2019,8.0
2183017,467063,13-09-2019,4.0
2319584,475256,10-01-2020,2.0
2314646,475256,07-01-2020,2.0
2314784,475260,30-01-2020,3.0
2739966,499837,15-12-2020,13.0
1333400,409725,13-03-2017,4.0
2446309,483452,04-05-2020,4.0
2051585,458889,13-05-2019,3.0
2446632,483472,29-04-2020,2.0
2616901,491667,21-09-2020,3.0
2624664,491667,21-09-2020,2.0
1557200,424996,20-11-2017,5.0
2315177,475289,29-01-2020,6.0
1333621,409755,10-03-2017,2.0
1927364,450717,21-01-2019,12.0
1931132,450720,23-01-2019,15.0
1333737,409761,24-03-2017,1.0
1572943,426146,11-12-2017,8.0
1451914,417954,28-07-2017,5.0
2589738,491684,31-08-2020,6.0
2589537,491685,27-08-2020,2.0
