,End_Order,End_Datum,Ret_Aantal
1979685,462850,12-07-2019,1.0
1979694,462850,12-07-2019,2.0
1979699,462850,12-07-2019,2.0
2554774,497668,12-11-2020,4.0
2479805,493586,25-09-2020,14.0
2014530,464924,21-08-2019,2.0
2014535,464924,21-08-2019,2.0
2014537,464924,21-08-2019,1.0
2014548,464924,21-08-2019,1.0
2014552,464924,21-08-2019,2.0
2014557,464924,21-08-2019,3.0
2377952,487454,03-07-2020,2.0
1803308,450597,18-01-2019,2.0
1803311,450597,18-01-2019,2.0
1803327,450597,18-01-2019,1.0
1803342,450597,18-01-2019,2.0
1800778,434232,31-12-2018,2.0
1417582,419902,15-10-2017,1.0
1420269,424009,25-11-2017,1.0
1420272,424009,25-11-2017,1.0
1420295,424009,25-11-2017,1.0
1382450,419917,29-09-2017,2.0
2112465,467027,27-09-2019,2.0
2612023,499803,16-12-2020,6.0
2786667,510043,21-05-2021,4.0
2724388,508010,20-04-2021,2.0
2631834,501871,29-01-2021,12.0
2631841,501871,29-01-2021,2.0
2631844,501871,29-01-2021,2.0
2374436,481403,24-06-2020,4.0
2374442,481403,24-06-2020,2.0
2374458,481403,24-06-2020,1.0
2600729,499837,15-12-2020,4.0
2600736,499837,15-12-2020,29.0
2241134,479368,10-03-2020,4.0
2241148,479368,10-03-2020,2.0
2241158,479368,10-03-2020,2.0
2241164,479368,10-03-2020,1.0
2412464,489609,13-08-2020,8.0
1852893,452749,20-03-2019,8.0
2239288,479375,04-03-2020,1.0
2177235,467090,17-12-2019,1.0
2218773,467090,12-02-2020,1.0
2604491,491667,16-12-2020,2.0
2604506,491667,16-12-2020,1.0
2604512,491667,16-12-2020,4.0
2604516,491667,16-12-2020,2.0
2604518,491667,16-12-2020,2.0
1365739,419990,09-10-2017,5.0
1365748,419990,09-10-2017,3.0
1365771,419990,09-10-2017,2.0
2691468,506008,30-03-2021,1.0
2691487,506008,30-03-2021,2.0
1451846,426146,11-12-2017,1.0
2633676,501925,13-03-2021,5.0
2633691,501925,13-03-2021,2.0
2633697,501925,13-03-2021,1.0
2633704,501925,13-03-2021,3.0
2680021,499894,04-03-2021,2.0
2708193,506043,01-04-2021,4.0
1783211,444608,19-12-2018,4.0
1644551,438465,30-07-2018,4.0
1644555,438465,30-07-2018,5.0
2052162,467140,23-09-2019,6.0
2660477,504007,25-02-2021,1.0
2660494,504007,25-02-2021,1.0
2660521,504007,25-02-2021,5.0
2660529,504007,25-02-2021,2.0
2660570,504007,25-02-2021,2.0
2764487,510153,12-05-2021,3.0
2764503,510153,12-05-2021,2.0
2764511,510153,12-05-2021,2.0
2764515,510153,12-05-2021,2.0
2764517,510153,12-05-2021,2.0
1739525,446668,13-11-2018,1.0
1739535,446668,13-11-2018,1.0
1806050,450766,22-01-2019,1.0
1805239,450769,25-01-2019,2.0
1805256,450769,25-01-2019,1.0
1805279,450769,25-01-2019,2.0
1805305,450769,25-01-2019,2.0
1961268,461017,02-07-2019,7.0
1961262,461017,26-06-2019,4.0
1738654,444639,08-11-2018,3.0
1808242,444639,31-12-2018,16.0
1808252,444639,31-12-2018,2.0
1808261,444639,31-12-2018,4.0
2653461,501986,05-02-2021,3.0
2653473,501986,05-02-2021,1.0
2653480,501986,05-02-2021,2.0
1680968,442599,24-09-2018,1.0
1680985,442599,24-09-2018,1.0
2450049,491761,11-09-2020,2.0
2587243,497905,02-12-2020,6.0
2375942,483576,24-06-2020,3.0
1736599,444666,09-11-2018,2.0
2692576,506113,17-03-2021,2.0
2727254,508182,12-04-2021,2.0
2727271,508182,12-04-2021,2.0
2727279,508182,12-04-2021,3.0
1635256,434466,23-07-2018,4.0
1635260,434466,23-07-2018,5.0
1635269,434466,23-07-2018,2.0
1635281,434466,23-07-2018,1.0
1635294,434466,23-07-2018,1.0
1644572,434466,31-07-2018,1.0
1644580,434466,31-07-2018,4.0
1644593,434466,31-07-2018,2.0
1644596,434466,31-07-2018,5.0
1644599,434466,31-07-2018,1.0
1644602,434466,31-07-2018,2.0
1644605,434466,31-07-2018,1.0
1644608,434466,31-07-2018,5.0
1644611,434466,31-07-2018,1.0
1644614,434466,31-07-2018,1.0
1644617,434466,31-07-2018,2.0
1644620,434466,31-07-2018,1.0
1644623,434466,31-07-2018,1.0
1644626,434466,31-07-2018,1.0
1644652,434466,31-07-2018,1.0
1711402,434466,31-07-2018,1.0
2212307,477476,10-02-2020,2.0
2274712,481576,06-04-2020,5.0
2274715,481576,06-04-2020,5.0
2274723,481576,06-04-2020,5.0
2274745,481576,06-04-2020,1.0
2274755,481576,06-04-2020,1.0
2274772,481576,06-04-2020,1.0
2274779,481576,06-04-2020,1.0
2274781,481576,06-04-2020,1.0
2277399,481576,04-04-2020,1.0
2277400,481576,04-04-2020,4.0
2410306,485682,17-07-2020,2.0
2660434,504120,22-02-2021,2.0
2660450,504120,22-02-2021,2.0
2660453,504120,22-02-2021,2.0
2342497,485706,05-06-2020,6.0
2342520,485706,05-06-2020,2.0
1806441,450897,28-01-2019,1.0
1806460,450897,28-01-2019,1.0
2188288,475476,14-01-2020,2.0
2114751,471387,18-11-2019,2.0
2114766,471387,18-11-2019,2.0
2551617,493923,06-11-2020,3.0
1365167,420201,13-09-2017,2.0
2695709,504170,16-03-2021,4.0
2695746,504170,16-03-2021,9.0
2695747,504170,16-03-2021,3.0
2695760,504170,16-03-2021,5.0
2071746,465265,04-10-2019,1.0
2071778,465265,04-10-2019,2.0
2071779,465265,04-10-2019,3.0
1712265,444785,18-10-2018,3.0
1712293,444785,18-10-2018,1.0
1954014,461196,17-06-2019,3.0
2685441,504209,30-03-2021,1.0
2685442,504209,30-03-2021,1.0
2685455,504209,30-03-2021,3.0
2685467,504209,30-03-2021,2.0
2685472,504209,30-03-2021,2.0
2685473,504209,30-03-2021,2.0
2685485,504209,30-03-2021,3.0
2685490,504209,30-03-2021,6.0
2685499,504209,30-03-2021,1.0
2685505,504209,30-03-2021,3.0
2685507,504209,30-03-2021,1.0
2685534,504209,30-03-2021,1.0
2685535,504209,30-03-2021,2.0
2685537,504209,30-03-2021,1.0
2314401,483730,13-05-2020,2.0
2314403,483730,13-05-2020,6.0
2766812,506267,06-05-2021,1.0
2766816,506267,06-05-2021,2.0
2766849,506267,06-05-2021,1.0
2116369,471453,27-11-2019,2.0
2602525,500128,15-12-2020,1.0
2602530,500128,15-12-2020,2.0
2602545,500128,15-12-2020,1.0
