,Ing_Order,Ing_Datum,Ing_Aantal
249420,327684,01-03-2010,4.0
3157582,524293,15-12-2021,2.0
2593032,491524,07-09-2020,2.0
3158141,524296,10-12-2021,7.0
1570941,425997,07-12-2017,4.0
1571035,426004,07-12-2017,4.0
1110538,393240,08-03-2016,3.0
1571083,426009,07-12-2017,8.0
1571093,426011,08-12-2017,3.0
2587280,491548,31-08-2020,1.0
2587229,491549,31-08-2020,2.0
2587205,491551,07-09-2020,2.0
660606,360480,23-09-2013,3.0
2587311,491554,06-07-2020,1.0
2050352,458791,12-05-2019,3.0
1110687,393256,13-03-2016,3.0
1110770,393265,07-03-2016,6.0
3158766,524337,20-12-2021,3.0
2050558,458804,13-05-2019,2.0
1580535,426037,15-01-2018,2.0
2066762,458809,04-06-2019,6.0
2050678,458812,13-05-2019,4.0
2050807,458814,13-05-2019,2.0
1110868,393279,08-03-2016,2.0
2050770,458815,13-05-2019,2.0
2588627,491583,31-08-2020,2.0
1571584,426053,08-12-2017,4.0
250024,327752,02-03-2010,2.0
3158917,524361,16-12-2021,4.0
1571619,426058,13-12-2017,1.0
3159088,524363,14-12-2021,4.0
3159130,524364,10-12-2021,4.0
3159010,524365,08-12-2021,2.0
250057,327754,03-03-2010,2.0
250094,327757,03-03-2010,4.0
2050916,458825,13-05-2019,2.0
2050974,458828,21-05-2019,2.0
661155,360525,23-09-2013,2.0
3159145,524372,08-12-2021,2.0
3159151,524373,08-12-2021,3.0
3159187,524374,08-12-2021,3.0
1571841,426071,08-12-2017,1.0
1571853,426072,08-12-2017,1.0
2051098,458837,14-05-2019,5.0
2051151,458838,15-05-2019,5.0
2051051,458836,13-05-2019,4.0
661310,360532,15-10-2013,3.0
2588224,491607,14-09-2020,2.0
250331,327774,02-03-2010,5.0
250352,327776,12-03-2010,3.0
3159331,524385,07-12-2021,4.0
2588440,491616,07-09-2020,2.0
661576,360548,01-10-2013,3.0
2588598,491623,28-08-2020,2.0
2607649,491625,11-09-2020,3.0
661680,360555,23-09-2013,2.0
2588851,491633,27-08-2020,4.0
1111518,393335,11-03-2016,2.0
1120842,393335,29-03-2016,1.0
1111571,393339,09-03-2016,3.0
661796,360571,03-10-2013,2.0
3159911,524416,16-12-2021,8.0
1572466,426112,11-12-2017,5.0
2051566,458881,23-05-2019,5.0
1572511,426120,08-12-2017,2.0
301865,327816,06-09-2010,4.0
662040,360591,25-09-2013,2.0
1572568,426128,09-12-2017,2.0
2589415,491677,07-09-2020,2.0
1111921,393375,10-03-2016,2.0
2630537,491681,25-09-2020,3.0
2680150,491681,29-10-2020,1.0
2589453,491682,14-09-2020,2.0
2052009,458916,21-05-2019,4.0
1572991,426157,11-12-2017,3.0
3160440,524467,21-12-2021,3.0
1573031,426163,11-12-2017,3.0
662534,360627,07-10-2013,4.0
251386,327865,05-03-2010,4.0
2052763,458939,14-05-2019,6.0
1113873,393404,11-03-2016,2.0
1573130,426173,18-12-2017,2.0
2724287,491709,26-11-2020,1.0
2589805,491713,27-08-2020,2.0
2052287,458946,13-05-2019,2.0
251578,327880,08-03-2010,2.0
662810,360649,04-10-2013,2.0
2592150,491724,07-09-2020,1.0
2590067,491726,31-08-2020,2.0
662929,360659,26-09-2013,1.0
2590177,491740,31-08-2020,2.0
2590186,491740,31-08-2020,5.0
2590262,491741,03-09-2020,5.0
2590412,491741,03-09-2020,3.0
2052752,458976,15-05-2019,2.0
252064,327912,05-03-2010,2.0
663593,360681,30-09-2013,9.0
664426,360681,30-09-2013,2.0
252165,327919,11-03-2010,1.0
2052938,458991,22-05-2019,3.0
1112910,393457,11-03-2016,3.0
1144836,393457,11-05-2016,1.0
1144839,393457,11-05-2016,1.0
1178142,393457,07-07-2016,17.0
2052968,458994,12-06-2019,3.0
1573813,426227,11-12-2017,2.0
262112,327924,06-04-2010,2.0
262146,327924,06-04-2010,3.0
255540,327924,19-03-2010,2.0
255505,327924,18-03-2010,3.0
279639,327924,11-06-2010,2.0
279662,327924,11-06-2010,3.0
663332,360692,01-10-2013,2.0
663341,360692,01-10-2013,3.0
2591121,491765,31-08-2020,12.0
663385,360698,30-09-2013,6.0
2053271,459004,17-05-2019,1.0
293235,327933,27-07-2010,2.0
1113090,393471,15-03-2016,4.0
2053358,459008,15-05-2019,3.0
1113112,393476,16-03-2016,4.0
2591341,491782,01-09-2020,4.0
1573911,426247,10-12-2017,5.0
663620,360716,30-09-2013,6.0
665209,360716,01-10-2013,2.0
2591520,491788,31-08-2020,4.0
3161780,524568,14-12-2021,2.0
1574087,426267,11-12-2017,4.0
3161827,524573,14-12-2021,2.0
2592879,491807,10-09-2020,2.0
1113580,393504,11-03-2016,2.0
3161854,524578,14-12-2021,4.0
2625866,491813,25-09-2020,8.0
3162030,524587,16-12-2021,2.0
2592302,491823,02-09-2020,2.0
2592332,491826,10-09-2020,8.0
2592383,491828,03-09-2020,8.0
2592927,491830,09-09-2020,9.0
3162999,524605,13-12-2021,2.0
2054399,459071,22-05-2019,4.0
1574613,426312,12-12-2017,2.0
664545,360777,30-09-2013,1.0
2592836,491851,04-09-2020,1.0
253226,328012,15-03-2010,2.0
1114074,393549,29-04-2016,1.0
3162451,524622,10-12-2021,2.0
3162924,524623,17-12-2021,3.0
253132,328014,10-03-2010,2.0
1114021,393553,15-03-2016,2.0
3162484,524626,09-12-2021,2.0
3162521,524627,14-12-2021,2.0
2054665,459091,15-05-2019,3.0
2592919,491852,11-09-2020,1.0
1122289,393558,31-03-2016,4.0
3162603,524630,20-12-2021,4.0
2054688,459095,16-05-2019,2.0
2593057,491867,07-09-2020,2.0
2593287,491876,07-09-2020,2.0
2593326,491879,18-09-2020,2.0
2678889,491879,30-10-2020,5.0
665799,360819,02-10-2013,2.0
1575134,426358,13-12-2017,4.0
3163308,524663,20-12-2021,2.0
253693,328055,22-03-2010,2.0
253827,328063,11-03-2010,2.0
2593879,491907,31-08-2020,2.0
2593978,491907,04-09-2020,1.0
665576,360837,01-10-2013,1.0
2055127,459148,14-05-2019,2.0
1575556,426386,18-12-2017,4.0
1576187,426386,22-12-2017,4.0
3163809,524692,13-12-2021,11.0
1115043,393626,16-03-2016,2.0
2056093,459167,17-05-2019,4.0
1575904,426400,14-12-2017,4.0
3164126,524707,14-12-2021,5.0
669371,360874,09-10-2013,2.0
254217,328109,15-03-2010,2.0
666030,360878,03-10-2013,3.0
254408,328112,15-03-2010,4.0
1576219,426418,14-12-2017,3.0
2055847,459186,20-05-2019,5.0
2055857,459187,20-05-2019,5.0
3164387,524728,15-12-2021,2.0
1576332,426425,18-12-2017,3.0
2059062,459201,20-05-2019,2.0
254498,328136,15-03-2010,8.0
1117733,393675,18-03-2016,6.0
1115888,393675,20-03-2016,16.0
1579121,426447,18-12-2017,4.0
1115963,393685,24-03-2016,5.0
2062388,459222,17-05-2019,3.0
254626,328154,16-03-2010,4.0
666602,360925,07-10-2013,2.0
254811,328159,25-03-2010,13.0
1576884,426464,18-12-2017,3.0
2056749,459233,20-05-2019,1.0
1576911,426466,15-12-2017,2.0
2056724,459234,22-05-2019,2.0
2056773,459236,20-05-2019,8.0
1576982,426468,19-12-2017,3.0
1577042,426470,19-12-2017,3.0
258739,328160,06-04-2010,2.0
2060564,459240,21-05-2019,2.0
1577113,426473,15-01-2018,4.0
666632,360929,09-10-2013,2.0
1119171,393708,25-03-2016,3.0
2057010,459245,20-05-2019,3.0
1119841,393712,24-03-2016,3.0
3165218,524791,15-12-2021,2.0
254879,328184,16-03-2010,2.0
2059816,459262,23-05-2019,4.0
1577349,426499,18-12-2017,21.0
2057518,459267,20-05-2019,3.0
3165414,524805,15-12-2021,8.0
2596314,492039,04-09-2020,3.0
2596319,492040,10-09-2020,2.0
2596428,492048,07-09-2020,2.0
669217,360979,09-10-2013,1.0
2596549,492051,02-09-2020,3.0
667668,360984,07-10-2013,6.0
255160,328218,22-03-2010,2.0
264877,328218,16-04-2010,2.0
2057830,459290,17-05-2019,2.0
667772,360989,03-10-2013,2.0
1577927,426531,03-01-2018,1.0
255293,328229,22-03-2010,3.0
2596807,492069,02-09-2020,6.0
1118030,393767,21-03-2016,4.0
255285,328232,16-03-2010,6.0
2596898,492073,17-09-2020,2.0
669058,361009,14-10-2013,4.0
2597238,492081,15-09-2020,3.0
2610361,492092,12-09-2020,3.0
2659751,492092,13-10-2020,2.0
1638291,426560,16-03-2018,4.0
3166343,524866,21-12-2021,1.0
1118230,393795,17-03-2016,4.0
2597771,492101,01-09-2020,2.0
668353,361031,07-10-2013,2.0
255668,328265,18-03-2010,4.0
1118562,393807,21-03-2016,4.0
255736,328271,18-03-2010,6.0
2095043,459348,21-06-2019,2.0
2082577,459349,12-06-2019,4.0
3166605,524887,16-12-2021,3.0
2598012,492122,08-09-2020,4.0
2635371,492122,29-09-2020,1.0
1578635,426587,18-12-2017,4.0
3166624,524893,21-12-2021,4.0
255943,328288,18-03-2010,3.0
255965,328293,18-03-2010,2.0
1578833,426598,05-01-2018,2.0
668609,361062,13-10-2013,2.0
2598295,492140,07-09-2020,2.0
256056,328301,22-03-2010,2.0
1118823,393838,23-03-2016,4.0
3166801,524910,16-12-2021,2.0
1578947,426609,04-01-2018,5.0
2063115,459377,23-05-2019,2.0
2059150,459379,23-05-2019,5.0
2598435,492146,08-09-2020,4.0
2598460,492150,09-09-2020,2.0
256234,328315,22-03-2010,2.0
668760,361084,08-10-2013,4.0
1579137,426627,02-01-2018,4.0
669856,361094,11-10-2013,3.0
3167150,524935,16-12-2021,4.0
1119147,393864,21-03-2016,2.0
1579166,426632,18-12-2017,2.0
1119204,393868,24-03-2016,6.0
256475,328337,19-03-2010,4.0
1579294,426643,20-12-2017,2.0
1579302,426643,20-12-2017,1.0
3167271,524948,15-12-2021,3.0
2599103,492188,14-09-2020,5.0
2059728,459425,22-05-2019,2.0
256717,328356,29-03-2010,2.0
256735,328356,29-03-2010,1.0
1119592,393893,22-03-2016,2.0
256806,328361,23-03-2010,2.0
256811,328361,23-03-2010,4.0
1119637,393899,29-03-2016,2.0
1579858,426671,08-01-2018,6.0
1579655,426672,19-12-2017,2.0
2599458,492210,07-09-2020,2.0
256906,328371,22-03-2010,1.0
1119869,393913,24-03-2016,8.0
1121367,393914,29-03-2016,5.0
2060123,459450,21-06-2019,3.0
