,Date,Net_week_art
0,2010-01-10,0.0
1,2010-01-17,2.0
2,2010-01-24,35.0
3,2010-01-31,39.0
4,2010-02-07,56.0
5,2010-02-14,60.0
6,2010-02-21,52.0
7,2010-02-28,68.0
8,2010-03-07,84.0
9,2010-03-14,80.0
10,2010-03-21,107.0
11,2010-03-28,113.0
12,2010-04-04,108.0
13,2010-04-11,105.0
14,2010-04-18,90.0
15,2010-04-25,94.0
16,2010-05-02,107.0
17,2010-05-09,108.0
18,2010-05-16,114.0
19,2010-05-23,107.0
20,2010-05-30,113.0
21,2010-06-06,114.0
22,2010-06-13,106.0
23,2010-06-20,111.0
24,2010-06-27,77.0
25,2010-07-04,77.0
26,2010-07-11,83.0
27,2010-07-18,75.0
28,2010-07-25,67.0
29,2010-08-01,56.0
30,2010-08-08,60.0
31,2010-08-15,64.0
32,2010-08-22,64.0
33,2010-08-29,89.0
34,2010-09-05,92.0
35,2010-09-12,109.0
36,2010-09-19,124.0
37,2010-09-26,134.0
38,2010-10-03,175.0
39,2010-10-10,177.0
40,2010-10-17,184.0
41,2010-10-24,163.0
42,2010-10-31,172.0
43,2010-11-07,147.0
44,2010-11-14,147.0
45,2010-11-21,155.0
46,2010-11-28,136.0
47,2010-12-05,112.0
48,2010-12-12,111.0
49,2010-12-19,104.0
50,2010-12-26,66.0
51,2011-01-02,64.0
52,2011-01-09,70.0
53,2011-01-16,81.0
54,2011-01-23,82.0
55,2011-01-30,77.0
56,2011-02-06,91.0
57,2011-02-13,102.0
58,2011-02-20,100.0
59,2011-02-27,109.0
60,2011-03-06,159.0
61,2011-03-13,159.0
62,2011-03-20,144.0
63,2011-03-27,162.0
64,2011-04-03,162.0
65,2011-04-10,158.0
66,2011-04-17,166.0
67,2011-04-24,156.0
68,2011-05-01,176.0
69,2011-05-08,164.0
70,2011-05-15,169.0
71,2011-05-22,164.0
72,2011-05-29,171.0
73,2011-06-05,165.0
74,2011-06-12,145.0
75,2011-06-19,161.0
76,2011-06-26,152.0
77,2011-07-03,172.0
78,2011-07-10,154.0
79,2011-07-17,140.0
80,2011-07-24,137.0
81,2011-07-31,118.0
82,2011-08-07,99.0
83,2011-08-14,88.0
84,2011-08-21,109.0
85,2011-08-28,121.0
86,2011-09-04,218.0
87,2011-09-11,216.0
88,2011-09-18,165.0
89,2011-09-25,165.0
90,2011-10-02,165.0
91,2011-10-09,173.0
92,2011-10-16,167.0
93,2011-10-23,184.0
94,2011-10-30,171.0
95,2011-11-06,160.0
96,2011-11-13,187.0
97,2011-11-20,183.0
98,2011-11-27,203.0
99,2011-12-04,168.0
100,2011-12-11,156.0
101,2011-12-18,126.0
102,2011-12-25,111.0
103,2012-01-01,74.0
104,2012-01-08,78.0
105,2012-01-15,88.0
106,2012-01-22,100.0
107,2012-01-29,109.0
108,2012-02-05,101.0
109,2012-02-12,121.0
110,2012-02-19,107.0
111,2012-02-26,101.0
112,2012-03-04,113.0
113,2012-03-11,114.0
114,2012-03-18,120.0
115,2012-03-25,129.0
116,2012-04-01,138.0
117,2012-04-08,176.0
118,2012-04-15,131.0
119,2012-04-22,130.0
120,2012-04-29,144.0
121,2012-05-06,139.0
122,2012-05-13,139.0
123,2012-05-20,118.0
124,2012-05-27,119.0
125,2012-06-03,129.0
126,2012-06-10,115.0
127,2012-06-17,127.0
128,2012-06-24,148.0
129,2012-07-01,150.0
130,2012-07-08,155.0
131,2012-07-15,135.0
132,2012-07-22,130.0
133,2012-07-29,112.0
134,2012-08-05,98.0
135,2012-08-12,98.0
136,2012-08-19,103.0
137,2012-08-26,122.0
138,2012-09-02,128.0
139,2012-09-09,123.0
140,2012-09-16,131.0
141,2012-09-23,133.0
142,2012-09-30,133.0
143,2012-10-07,130.0
144,2012-10-14,119.0
145,2012-10-21,123.0
146,2012-10-28,131.0
147,2012-11-04,144.0
148,2012-11-11,160.0
149,2012-11-18,165.0
150,2012-11-25,160.0
151,2012-12-02,188.0
152,2012-12-09,186.0
153,2012-12-16,183.0
154,2012-12-23,129.0
155,2012-12-30,74.0
156,2013-01-06,142.0
157,2013-01-13,103.0
158,2013-01-20,108.0
159,2013-01-27,101.0
160,2013-02-03,102.0
161,2013-02-10,118.0
162,2013-02-17,108.0
163,2013-02-24,140.0
164,2013-03-03,144.0
165,2013-03-10,146.0
166,2013-03-17,166.0
167,2013-03-24,187.0
168,2013-03-31,186.0
169,2013-04-07,195.0
170,2013-04-14,193.0
171,2013-04-21,172.0
172,2013-04-28,167.0
173,2013-05-05,166.0
174,2013-05-12,158.0
175,2013-05-19,180.0
176,2013-05-26,174.0
177,2013-06-02,184.0
178,2013-06-09,202.0
179,2013-06-16,203.0
180,2013-06-23,169.0
181,2013-06-30,182.0
182,2013-07-07,192.0
183,2013-07-14,203.0
184,2013-07-21,179.0
185,2013-07-28,136.0
186,2013-08-04,137.0
187,2013-08-11,140.0
188,2013-08-18,167.0
189,2013-08-25,187.0
190,2013-09-01,186.0
191,2013-09-08,182.0
192,2013-09-15,208.0
193,2013-09-22,194.0
194,2013-09-29,225.0
195,2013-10-06,245.0
196,2013-10-13,227.0
197,2013-10-20,230.0
198,2013-10-27,206.0
199,2013-11-03,199.0
200,2013-11-10,218.0
201,2013-11-17,211.0
202,2013-11-24,215.0
203,2013-12-01,207.0
204,2013-12-08,192.0
205,2013-12-15,187.0
206,2013-12-22,177.0
207,2013-12-29,142.0
208,2014-01-05,147.0
209,2014-01-12,157.0
210,2014-01-19,156.0
211,2014-01-26,164.0
212,2014-02-02,167.0
213,2014-02-09,172.0
214,2014-02-16,186.0
215,2014-02-23,180.0
216,2014-03-02,172.0
217,2014-03-09,178.0
218,2014-03-16,212.0
219,2014-03-23,210.0
220,2014-03-30,187.0
221,2014-04-06,198.0
222,2014-04-13,196.0
223,2014-04-20,207.0
224,2014-04-27,206.0
225,2014-05-04,220.0
226,2014-05-11,199.0
227,2014-05-18,196.0
228,2014-05-25,198.0
229,2014-06-01,209.0
230,2014-06-08,209.0
231,2014-06-15,218.0
232,2014-06-22,242.0
233,2014-06-29,215.0
234,2014-07-06,215.0
235,2014-07-13,213.0
236,2014-07-20,208.0
237,2014-07-27,185.0
238,2014-08-03,154.0
239,2014-08-10,143.0
240,2014-08-17,167.0
241,2014-08-24,220.0
242,2014-08-31,195.0
243,2014-09-07,189.0
244,2014-09-14,215.0
245,2014-09-21,224.0
246,2014-09-28,242.0
247,2014-10-05,234.0
248,2014-10-12,212.0
249,2014-10-19,213.0
250,2014-10-26,208.0
251,2014-11-02,203.0
252,2014-11-09,184.0
253,2014-11-16,175.0
254,2014-11-23,196.0
255,2014-11-30,192.0
256,2014-12-07,211.0
257,2014-12-14,184.0
258,2014-12-21,159.0
259,2014-12-28,115.0
260,2015-01-04,106.0
261,2015-01-11,120.0
262,2015-01-18,143.0
263,2015-01-25,163.0
264,2015-02-01,167.0
265,2015-02-08,150.0
266,2015-02-15,168.0
267,2015-02-22,182.0
268,2015-03-01,201.0
269,2015-03-08,163.0
270,2015-03-15,183.0
271,2015-03-22,163.0
272,2015-03-29,173.0
273,2015-04-05,179.0
274,2015-04-12,195.0
275,2015-04-19,192.0
276,2015-04-26,175.0
277,2015-05-03,177.0
278,2015-05-10,174.0
279,2015-05-17,164.0
280,2015-05-24,168.0
281,2015-05-31,155.0
282,2015-06-07,180.0
283,2015-06-14,182.0
284,2015-06-21,176.0
285,2015-06-28,161.0
286,2015-07-05,166.0
287,2015-07-12,179.0
288,2015-07-19,191.0
289,2015-07-26,176.0
290,2015-08-02,166.0
291,2015-08-09,176.0
292,2015-08-16,167.0
293,2015-08-23,206.0
294,2015-08-30,230.0
295,2015-09-06,218.0
296,2015-09-13,186.0
297,2015-09-20,203.0
298,2015-09-27,198.0
299,2015-10-04,214.0
300,2015-10-11,235.0
301,2015-10-18,261.0
302,2015-10-25,231.0
303,2015-11-01,212.0
304,2015-11-08,230.0
305,2015-11-15,240.0
306,2015-11-22,272.0
307,2015-11-29,256.0
308,2015-12-06,258.0
309,2015-12-13,240.0
310,2015-12-20,213.0
311,2015-12-27,171.0
312,2016-01-03,147.0
313,2016-01-10,163.0
314,2016-01-17,192.0
315,2016-01-24,199.0
316,2016-01-31,223.0
317,2016-02-07,226.0
318,2016-02-14,213.0
319,2016-02-21,233.0
320,2016-02-28,279.0
321,2016-03-06,284.0
322,2016-03-13,300.0
323,2016-03-20,271.0
324,2016-03-27,285.0
325,2016-04-03,310.0
326,2016-04-10,304.0
327,2016-04-17,315.0
328,2016-04-24,323.0
329,2016-05-01,307.0
330,2016-05-08,319.0
331,2016-05-15,270.0
332,2016-05-22,279.0
333,2016-05-29,298.0
334,2016-06-05,303.0
335,2016-06-12,299.0
336,2016-06-19,305.0
337,2016-06-26,313.0
338,2016-07-03,337.0
339,2016-07-10,369.0
340,2016-07-17,376.0
341,2016-07-24,360.0
342,2016-07-31,312.0
343,2016-08-07,297.0
344,2016-08-14,294.0
345,2016-08-21,284.0
346,2016-08-28,305.0
347,2016-09-04,322.0
348,2016-09-11,298.0
349,2016-09-18,310.0
350,2016-09-25,278.0
351,2016-10-02,306.0
352,2016-10-09,280.0
353,2016-10-16,302.0
354,2016-10-23,322.0
355,2016-10-30,315.0
356,2016-11-06,299.0
357,2016-11-13,329.0
358,2016-11-20,338.0
359,2016-11-27,338.0
360,2016-12-04,301.0
361,2016-12-11,289.0
362,2016-12-18,294.0
363,2016-12-25,263.0
364,2017-01-01,207.0
365,2017-01-08,220.0
366,2017-01-15,259.0
367,2017-01-22,268.0
368,2017-01-29,284.0
369,2017-02-05,329.0
370,2017-02-12,330.0
371,2017-02-19,315.0
372,2017-02-26,340.0
373,2017-03-05,349.0
374,2017-03-12,383.0
375,2017-03-19,374.0
376,2017-03-26,340.0
377,2017-04-02,330.0
378,2017-04-09,317.0
379,2017-04-16,310.0
380,2017-04-23,291.0
381,2017-04-30,275.0
382,2017-05-07,289.0
383,2017-05-14,306.0
384,2017-05-21,284.0
385,2017-05-28,276.0
386,2017-06-04,324.0
387,2017-06-11,313.0
388,2017-06-18,297.0
389,2017-06-25,302.0
390,2017-07-02,318.0
391,2017-07-09,308.0
392,2017-07-16,336.0
393,2017-07-23,334.0
394,2017-07-30,331.0
395,2017-08-06,302.0
396,2017-08-13,288.0
397,2017-08-20,278.0
398,2017-08-27,328.0
399,2017-09-03,341.0
400,2017-09-10,352.0
401,2017-09-17,366.0
402,2017-09-24,388.0
403,2017-10-01,355.0
404,2017-10-08,378.0
405,2017-10-15,388.0
406,2017-10-22,424.0
407,2017-10-29,440.0
408,2017-11-05,441.0
409,2017-11-12,433.0
410,2017-11-19,465.0
411,2017-11-26,503.0
412,2017-12-03,460.0
413,2017-12-10,417.0
414,2017-12-17,421.0
415,2017-12-24,426.0
416,2017-12-31,270.0
417,2018-01-07,305.0
418,2018-01-14,342.0
419,2018-01-21,392.0
420,2018-01-28,405.0
421,2018-02-04,392.0
422,2018-02-11,367.0
423,2018-02-18,371.0
424,2018-02-25,362.0
425,2018-03-04,401.0
426,2018-03-11,447.0
427,2018-03-18,496.0
428,2018-03-25,511.0
429,2018-04-01,511.0
430,2018-04-08,480.0
431,2018-04-15,467.0
432,2018-04-22,511.0
433,2018-04-29,500.0
434,2018-05-06,567.0
435,2018-05-13,494.0
436,2018-05-20,494.0
437,2018-05-27,472.0
438,2018-06-03,440.0
439,2018-06-10,458.0
440,2018-06-17,471.0
441,2018-06-24,446.0
442,2018-07-01,508.0
443,2018-07-08,506.0
444,2018-07-15,470.0
445,2018-07-22,465.0
446,2018-07-29,463.0
447,2018-08-05,440.0
448,2018-08-12,433.0
449,2018-08-19,420.0
450,2018-08-26,443.0
451,2018-09-02,473.0
452,2018-09-09,595.0
453,2018-09-16,609.0
454,2018-09-23,572.0
455,2018-09-30,556.0
456,2018-10-07,553.0
457,2018-10-14,556.0
458,2018-10-21,564.0
459,2018-10-28,575.0
460,2018-11-04,569.0
461,2018-11-11,546.0
462,2018-11-18,483.0
463,2018-11-25,497.0
464,2018-12-02,501.0
465,2018-12-09,491.0
466,2018-12-16,489.0
467,2018-12-23,452.0
468,2018-12-30,305.0
469,2019-01-06,367.0
470,2019-01-13,387.0
471,2019-01-20,384.0
472,2019-01-27,400.0
473,2019-02-03,427.0
474,2019-02-10,445.0
475,2019-02-17,475.0
476,2019-02-24,504.0
477,2019-03-03,506.0
478,2019-03-10,518.0
479,2019-03-17,498.0
480,2019-03-24,513.0
481,2019-03-31,517.0
482,2019-04-07,580.0
483,2019-04-14,597.0
484,2019-04-21,539.0
485,2019-04-28,486.0
486,2019-05-05,493.0
487,2019-05-12,502.0
488,2019-05-19,495.0
489,2019-05-26,499.0
490,2019-06-02,460.0
491,2019-06-09,489.0
492,2019-06-16,519.0
493,2019-06-23,516.0
494,2019-06-30,507.0
495,2019-07-07,482.0
496,2019-07-14,451.0
497,2019-07-21,465.0
498,2019-07-28,453.0
499,2019-08-04,453.0
500,2019-08-11,465.0
501,2019-08-18,457.0
502,2019-08-25,467.0
503,2019-09-01,475.0
504,2019-09-08,517.0
505,2019-09-15,583.0
506,2019-09-22,596.0
507,2019-09-29,591.0
508,2019-10-06,622.0
509,2019-10-13,634.0
510,2019-10-20,638.0
511,2019-10-27,635.0
512,2019-11-03,576.0
513,2019-11-10,593.0
514,2019-11-17,586.0
515,2019-11-24,597.0
516,2019-12-01,590.0
517,2019-12-08,572.0
518,2019-12-15,536.0
519,2019-12-22,562.0
520,2019-12-29,461.0
521,2020-01-05,352.0
522,2020-01-12,475.0
523,2020-01-19,459.0
524,2020-01-26,424.0
525,2020-02-02,422.0
526,2020-02-09,453.0
527,2020-02-16,443.0
528,2020-02-23,454.0
529,2020-03-01,480.0
530,2020-03-08,495.0
531,2020-03-15,478.0
532,2020-03-22,479.0
533,2020-03-29,484.0
534,2020-04-05,477.0
535,2020-04-12,474.0
536,2020-04-19,514.0
537,2020-04-26,508.0
538,2020-05-03,504.0
539,2020-05-10,474.0
