,Date,Net_daily_art
0,2010-01-01,0.0
1,2010-01-02,0.0
2,2010-01-03,0.0
3,2010-01-04,0.0
4,2010-01-05,0.0
5,2010-01-06,0.0
6,2010-01-07,0.0
7,2010-01-08,0.0
8,2010-01-09,0.0
9,2010-01-10,0.0
10,2010-01-11,7.0
11,2010-01-12,7.0
12,2010-01-13,7.0
13,2010-01-14,7.0
14,2010-01-15,7.0
15,2010-01-16,7.0
16,2010-01-17,7.0
17,2010-01-18,26.0
18,2010-01-19,26.0
19,2010-01-20,42.0
20,2010-01-21,48.0
21,2010-01-22,50.0
22,2010-01-23,50.0
23,2010-01-24,50.0
24,2010-01-25,59.0
25,2010-01-26,59.0
26,2010-01-27,50.0
27,2010-01-28,48.0
28,2010-01-29,50.0
29,2010-01-30,50.0
30,2010-01-31,50.0
31,2010-02-01,70.0
32,2010-02-02,97.0
33,2010-02-03,83.0
34,2010-02-04,89.0
35,2010-02-05,95.0
36,2010-02-06,95.0
37,2010-02-07,95.0
38,2010-02-08,103.0
39,2010-02-09,132.0
40,2010-02-10,130.0
41,2010-02-11,128.0
42,2010-02-12,124.0
43,2010-02-13,124.0
44,2010-02-14,124.0
45,2010-02-15,162.0
46,2010-02-16,152.0
47,2010-02-17,152.0
48,2010-02-18,155.0
49,2010-02-19,124.0
50,2010-02-20,124.0
51,2010-02-21,124.0
52,2010-02-22,170.0
53,2010-02-23,186.0
54,2010-02-24,178.0
55,2010-02-25,193.0
56,2010-02-26,199.0
57,2010-02-27,178.0
58,2010-02-28,178.0
59,2010-03-01,224.0
60,2010-03-02,227.0
61,2010-03-03,250.0
62,2010-03-04,342.0
63,2010-03-05,356.0
64,2010-03-06,356.0
65,2010-03-07,356.0
66,2010-03-08,377.0
67,2010-03-09,377.0
68,2010-03-10,385.0
69,2010-03-11,375.0
70,2010-03-12,361.0
71,2010-03-13,346.0
72,2010-03-14,346.0
73,2010-03-15,393.0
74,2010-03-16,398.0
75,2010-03-17,421.0
76,2010-03-18,436.0
77,2010-03-19,415.0
78,2010-03-20,403.0
79,2010-03-21,399.0
80,2010-03-22,437.0
81,2010-03-23,433.0
82,2010-03-24,461.0
83,2010-03-25,465.0
84,2010-03-26,461.0
85,2010-03-27,414.0
86,2010-03-28,414.0
87,2010-03-29,448.0
88,2010-03-30,441.0
89,2010-03-31,433.0
90,2010-04-01,423.0
91,2010-04-02,414.0
92,2010-04-03,408.0
93,2010-04-04,408.0
94,2010-04-05,408.0
95,2010-04-06,456.0
96,2010-04-07,450.0
97,2010-04-08,447.0
98,2010-04-09,486.0
99,2010-04-10,476.0
100,2010-04-11,476.0
101,2010-04-12,458.0
102,2010-04-13,486.0
103,2010-04-14,469.0
104,2010-04-15,463.0
105,2010-04-16,484.0
106,2010-04-17,475.0
107,2010-04-18,475.0
108,2010-04-19,478.0
109,2010-04-20,471.0
110,2010-04-21,471.0
111,2010-04-22,479.0
112,2010-04-23,483.0
113,2010-04-24,466.0
114,2010-04-25,466.0
115,2010-04-26,476.0
116,2010-04-27,487.0
117,2010-04-28,495.0
118,2010-04-29,485.0
119,2010-04-30,464.0
120,2010-05-01,464.0
121,2010-05-02,464.0
122,2010-05-03,475.0
123,2010-05-04,475.0
124,2010-05-05,475.0
125,2010-05-06,502.0
126,2010-05-07,500.0
127,2010-05-08,451.0
128,2010-05-09,451.0
129,2010-05-10,632.0
130,2010-05-11,476.0
131,2010-05-12,487.0
132,2010-05-13,449.0
133,2010-05-14,488.0
134,2010-05-15,488.0
135,2010-05-16,488.0
136,2010-05-17,495.0
137,2010-05-18,503.0
138,2010-05-19,496.0
139,2010-05-20,500.0
140,2010-05-21,492.0
141,2010-05-22,458.0
142,2010-05-23,458.0
143,2010-05-24,458.0
144,2010-05-25,493.0
145,2010-05-26,479.0
146,2010-05-27,437.0
147,2010-05-28,466.0
148,2010-05-29,448.0
149,2010-05-30,448.0
150,2010-05-31,476.0
151,2010-06-01,503.0
152,2010-06-02,484.0
153,2010-06-03,463.0
154,2010-06-04,476.0
155,2010-06-05,476.0
156,2010-06-06,476.0
157,2010-06-07,498.0
158,2010-06-08,496.0
159,2010-06-09,497.0
160,2010-06-10,445.0
161,2010-06-11,436.0
162,2010-06-12,412.0
163,2010-06-13,400.0
164,2010-06-14,444.0
165,2010-06-15,433.0
166,2010-06-16,404.0
167,2010-06-17,390.0
168,2010-06-18,383.0
169,2010-06-19,378.0
170,2010-06-20,378.0
