,Ing_Order,Ing_Datum,Ing_Aantal
2049930,458754,14-05-2019,16.0
249429,327684,01-03-2010,2.0
249447,327684,01-03-2010,2.0
3157574,524293,15-12-2021,2.0
3157567,524294,06-12-2021,4.0
2061060,458759,24-05-2019,2.0
2049874,458759,14-05-2019,2.0
3158167,524296,10-12-2021,12.0
2593030,491524,07-09-2020,6.0
2591852,491529,04-09-2020,4.0
2654983,491529,12-10-2020,2.0
2049972,458763,13-05-2019,4.0
1570930,425997,07-12-2017,4.0
2050158,458770,10-05-2019,9.0
2050264,458773,13-05-2019,4.0
3157929,524311,03-12-2021,3.0
2050201,458775,13-05-2019,2.0
2050215,458777,17-05-2019,10.0
1571101,426011,08-12-2017,4.0
2587296,491548,31-08-2020,5.0
2587238,491549,31-08-2020,12.0
2587269,491549,31-08-2020,4.0
249633,327711,26-02-2010,4.0
2587195,491551,07-09-2020,2.0
660597,360480,23-09-2013,8.0
661024,360480,26-09-2013,4.0
660633,360482,23-09-2013,4.0
2587316,491554,06-07-2020,4.0
2587471,491556,27-08-2020,18.0
2050370,458791,12-05-2019,4.0
1110686,393256,13-03-2016,12.0
1110776,393265,07-03-2016,8.0
3158759,524337,20-12-2021,2.0
660929,360497,23-09-2013,5.0
660945,360497,23-09-2013,2.0
3158426,524340,08-12-2021,4.0
1580510,426037,15-01-2018,2.0
2050525,458804,13-05-2019,2.0
2050589,458804,13-05-2019,10.0
660979,360502,24-09-2013,1.0
2066752,458809,04-06-2019,3.0
2050639,458812,13-05-2019,2.0
2050680,458812,13-05-2019,4.0
2053949,458812,14-05-2019,2.0
2115104,458812,25-06-2019,1.0
661055,360509,20-09-2013,6.0
2050811,458814,13-05-2019,4.0
1110860,393279,08-03-2016,4.0
2050781,458815,13-05-2019,4.0
2588631,491583,31-08-2020,6.0
1571560,426052,06-12-2017,4.0
3159037,524359,06-12-2021,15.0
3158904,524359,04-12-2021,3.0
3158910,524360,05-12-2021,6.0
3158919,524361,16-12-2021,4.0
1571640,426058,13-12-2017,6.0
3159086,524363,14-12-2021,1.0
3159125,524364,10-12-2021,4.0
3159016,524365,08-12-2021,6.0
3159019,524365,08-12-2021,2.0
3159068,524366,10-12-2021,2.0
249998,327752,02-03-2010,2.0
250014,327752,02-03-2010,2.0
250023,327752,02-03-2010,1.0
2050909,458825,13-05-2019,3.0
250061,327754,03-03-2010,1.0
250063,327754,03-03-2010,2.0
250069,327754,03-03-2010,2.0
2050969,458828,21-05-2019,3.0
250100,327757,03-03-2010,2.0
250108,327757,03-03-2010,2.0
2052717,458831,14-05-2019,3.0
2060066,458831,21-05-2019,2.0
3159166,524373,08-12-2021,2.0
3159182,524374,08-12-2021,4.0
1571838,426071,08-12-2017,4.0
1577340,426071,18-12-2017,1.0
1571850,426072,08-12-2017,6.0
2050995,458832,10-05-2019,17.0
2051060,458836,13-05-2019,17.0
2051103,458837,14-05-2019,10.0
2051150,458838,15-05-2019,13.0
2051199,458842,13-05-2019,1.0
250332,327774,02-03-2010,2.0
2051026,458846,10-05-2019,6.0
250357,327776,12-03-2010,3.0
3159337,524385,07-12-2021,9.0
2588374,491612,07-09-2020,16.0
2600963,491612,07-09-2020,4.0
2588453,491614,31-08-2020,5.0
2588439,491616,07-09-2020,9.0
2588564,491619,27-08-2020,2.0
2588605,491623,28-08-2020,9.0
1118112,393320,21-03-2016,8.0
1154451,393320,27-05-2016,3.0
2607674,491625,11-09-2020,5.0
2051167,458859,16-05-2019,10.0
661674,360555,23-09-2013,1.0
2588818,491632,28-08-2020,7.0
2588843,491633,27-08-2020,2.0
661704,360562,24-09-2013,4.0
1572211,426101,14-12-2017,6.0
2588867,491637,01-09-2020,2.0
1111551,393335,11-03-2016,6.0
1111603,393339,09-03-2016,6.0
1114125,393339,09-03-2016,5.0
661797,360571,03-10-2013,4.0
1572408,426111,07-12-2017,2.0
3159897,524416,16-12-2021,3.0
1579586,426112,19-12-2017,2.0
1581376,426112,21-12-2017,4.0
1111684,393346,09-03-2016,5.0
254095,327808,12-03-2010,1.0
2051559,458881,23-05-2019,6.0
2589056,491647,28-08-2020,8.0
2051536,458886,16-05-2019,2.0
2589184,491650,31-08-2020,19.0
1572500,426120,08-12-2017,2.0
3159860,524425,09-12-2021,11.0
250789,327816,03-03-2010,4.0
301859,327816,06-09-2010,8.0
251636,327822,04-03-2010,100.0
1572573,426128,09-12-2017,5.0
2054607,458897,20-05-2019,5.0
2589238,491666,27-08-2020,8.0
2589589,491672,14-09-2020,4.0
2589277,491672,07-09-2020,9.0
2589335,491674,31-08-2020,2.0
2589398,491677,07-09-2020,6.0
2589368,491678,28-08-2020,8.0
1111929,393375,10-03-2016,3.0
