,Date,Net_month_art
0,2010-01-31,59.0
1,2010-02-28,199.0
2,2010-03-31,465.0
3,2010-04-30,495.0
4,2010-05-31,632.0
5,2010-06-30,503.0
6,2010-07-31,415.0
7,2010-08-31,448.0
8,2010-09-30,650.0
9,2010-10-31,665.0
10,2010-11-30,620.0
11,2010-12-31,473.0
12,2011-01-31,468.0
13,2011-02-28,560.0
14,2011-03-31,823.0
15,2011-04-30,895.0
16,2011-05-31,998.0
17,2011-06-30,829.0
18,2011-07-31,818.0
19,2011-08-31,532.0
20,2011-09-30,559.0
21,2011-10-31,607.0
22,2011-11-30,642.0
23,2011-12-31,598.0
24,2012-01-31,329.0
25,2012-02-29,340.0
26,2012-03-31,559.0
27,2012-04-30,588.0
28,2012-05-31,656.0
29,2012-06-30,649.0
30,2012-07-31,685.0
31,2012-08-31,724.0
32,2012-09-30,819.0
33,2012-10-31,1005.0
34,2012-11-30,1018.0
35,2012-12-31,797.0
36,2013-01-31,707.0
37,2013-02-28,676.0
38,2013-03-31,773.0
39,2013-04-30,794.0
40,2013-05-31,763.0
41,2013-06-30,838.0
42,2013-07-31,814.0
43,2013-08-31,843.0
44,2013-09-30,890.0
45,2013-10-31,974.0
46,2013-11-30,1009.0
47,2013-12-31,899.0
48,2014-01-31,659.0
49,2014-02-28,721.0
50,2014-03-31,826.0
51,2014-04-30,888.0
52,2014-05-31,860.0
53,2014-06-30,862.0
54,2014-07-31,835.0
55,2014-08-31,932.0
56,2014-09-30,1028.0
57,2014-10-31,1064.0
58,2014-11-30,850.0
59,2014-12-31,808.0
60,2015-01-31,905.0
61,2015-02-28,697.0
62,2015-03-31,772.0
63,2015-04-30,771.0
64,2015-05-31,813.0
65,2015-06-30,857.0
66,2015-07-31,940.0
67,2015-08-31,983.0
68,2015-09-30,1015.0
69,2015-10-31,1119.0
70,2015-11-30,1112.0
71,2015-12-31,956.0
72,2016-01-31,932.0
73,2016-02-29,1121.0
74,2016-03-31,1262.0
75,2016-04-30,1312.0
76,2016-05-31,1203.0
77,2016-06-30,1073.0
78,2016-07-31,1183.0
79,2016-08-31,1004.0
80,2016-09-30,1058.0
81,2016-10-31,1101.0
82,2016-11-30,1191.0
83,2016-12-31,1181.0
84,2017-01-31,1165.0
85,2017-02-28,1456.0
86,2017-03-31,1551.0
87,2017-04-30,1425.0
88,2017-05-31,1417.0
89,2017-06-30,1439.0
90,2017-07-31,1436.0
91,2017-08-31,1349.0
92,2017-09-30,1486.0
93,2017-10-31,1722.0
94,2017-11-30,1895.0
95,2017-12-31,1667.0
96,2018-01-31,1520.0
97,2018-02-28,1558.0
98,2018-03-31,1888.0
99,2018-04-30,1941.0
100,2018-05-31,2077.0
101,2018-06-30,2035.0
102,2018-07-31,2018.0
103,2018-08-31,1974.0
104,2018-09-30,2380.0
105,2018-10-31,2452.0
106,2018-11-30,2485.0
107,2018-12-31,2287.0
108,2019-01-31,1900.0
109,2019-02-28,2283.0
110,2019-03-31,2388.0
111,2019-04-30,2755.0
112,2019-05-31,2582.0
113,2019-06-30,2598.0
114,2019-07-31,2516.0
115,2019-08-31,2248.0
116,2019-09-30,2739.0
117,2019-10-31,2711.0
118,2019-11-30,2727.0
119,2019-12-31,2504.0
120,2020-01-31,2094.0
121,2020-02-29,2315.0
122,2020-03-31,2368.0
123,2020-04-30,2559.0
124,2020-05-31,2585.0
125,2020-06-30,2656.0
126,2020-07-31,2587.0
127,2020-08-31,2697.0
128,2020-09-30,2837.0
129,2020-10-31,2938.0
130,2020-11-30,2704.0
131,2020-12-31,2471.0
132,2021-01-31,1980.0
133,2021-02-28,2139.0
134,2021-03-31,2229.0
135,2021-04-30,2126.0
136,2021-05-31,2145.0
137,2021-06-30,2255.0
138,2021-07-31,2210.0
139,2021-08-31,2233.0
140,2021-09-30,2332.0
141,2021-10-31,2386.0
142,2021-11-30,2465.0
143,2021-12-31,2346.0
