,Date,Net_week_art
0,2010-01-10,0.0
1,2010-01-17,7.0
2,2010-01-24,50.0
3,2010-01-31,59.0
4,2010-02-07,97.0
5,2010-02-14,132.0
6,2010-02-21,162.0
7,2010-02-28,199.0
8,2010-03-07,356.0
9,2010-03-14,385.0
10,2010-03-21,436.0
11,2010-03-28,465.0
12,2010-04-04,448.0
13,2010-04-11,486.0
14,2010-04-18,486.0
15,2010-04-25,483.0
16,2010-05-02,495.0
17,2010-05-09,502.0
18,2010-05-16,632.0
19,2010-05-23,503.0
20,2010-05-30,493.0
21,2010-06-06,503.0
22,2010-06-13,498.0
23,2010-06-20,444.0
24,2010-06-27,427.0
25,2010-07-04,441.0
26,2010-07-11,415.0
27,2010-07-18,402.0
28,2010-07-25,366.0
29,2010-08-01,344.0
30,2010-08-08,334.0
31,2010-08-15,330.0
32,2010-08-22,359.0
33,2010-08-29,407.0
34,2010-09-05,453.0
35,2010-09-12,523.0
36,2010-09-19,600.0
37,2010-09-26,627.0
38,2010-10-03,650.0
39,2010-10-10,654.0
40,2010-10-17,665.0
41,2010-10-24,573.0
42,2010-10-31,562.0
43,2010-11-07,530.0
44,2010-11-14,596.0
45,2010-11-21,620.0
46,2010-11-28,576.0
47,2010-12-05,476.0
48,2010-12-12,470.0
49,2010-12-19,460.0
50,2010-12-26,450.0
51,2011-01-02,441.0
52,2011-01-09,441.0
53,2011-01-16,440.0
54,2011-01-23,468.0
55,2011-01-30,439.0
56,2011-02-06,412.0
57,2011-02-13,417.0
58,2011-02-20,499.0
59,2011-02-27,519.0
60,2011-03-06,593.0
61,2011-03-13,622.0
62,2011-03-20,783.0
63,2011-03-27,823.0
64,2011-04-03,822.0
65,2011-04-10,802.0
66,2011-04-17,853.0
67,2011-04-24,818.0
68,2011-05-01,895.0
69,2011-05-08,922.0
70,2011-05-15,998.0
71,2011-05-22,977.0
72,2011-05-29,929.0
73,2011-06-05,888.0
74,2011-06-12,786.0
75,2011-06-19,814.0
76,2011-06-26,791.0
77,2011-07-03,829.0
78,2011-07-10,818.0
79,2011-07-17,761.0
80,2011-07-24,692.0
81,2011-07-31,626.0
82,2011-08-07,429.0
83,2011-08-14,417.0
84,2011-08-21,468.0
85,2011-08-28,489.0
86,2011-09-04,537.0
87,2011-09-11,540.0
88,2011-09-18,552.0
89,2011-09-25,559.0
90,2011-10-02,533.0
91,2011-10-09,607.0
92,2011-10-16,603.0
93,2011-10-23,601.0
94,2011-10-30,587.0
95,2011-11-06,587.0
96,2011-11-13,615.0
97,2011-11-20,613.0
98,2011-11-27,642.0
99,2011-12-04,642.0
100,2011-12-11,598.0
101,2011-12-18,510.0
102,2011-12-25,457.0
103,2012-01-01,441.0
104,2012-01-08,524.0
105,2012-01-15,296.0
106,2012-01-22,313.0
107,2012-01-29,329.0
108,2012-02-05,321.0
109,2012-02-12,330.0
110,2012-02-19,311.0
111,2012-02-26,340.0
112,2012-03-04,336.0
113,2012-03-11,428.0
114,2012-03-18,498.0
115,2012-03-25,541.0
116,2012-04-01,559.0
117,2012-04-08,588.0
118,2012-04-15,511.0
119,2012-04-22,510.0
120,2012-04-29,536.0
121,2012-05-06,597.0
122,2012-05-13,656.0
123,2012-05-20,556.0
124,2012-05-27,592.0
125,2012-06-03,649.0
126,2012-06-10,620.0
127,2012-06-17,584.0
128,2012-06-24,589.0
129,2012-07-01,642.0
130,2012-07-08,685.0
131,2012-07-15,668.0
132,2012-07-22,645.0
133,2012-07-29,606.0
134,2012-08-05,599.0
135,2012-08-12,600.0
136,2012-08-19,603.0
137,2012-08-26,701.0
138,2012-09-02,724.0
139,2012-09-09,734.0
140,2012-09-16,800.0
141,2012-09-23,813.0
142,2012-09-30,819.0
143,2012-10-07,865.0
144,2012-10-14,910.0
145,2012-10-21,910.0
146,2012-10-28,1005.0
147,2012-11-04,989.0
148,2012-11-11,1018.0
149,2012-11-18,908.0
150,2012-11-25,878.0
151,2012-12-02,824.0
152,2012-12-09,797.0
153,2012-12-16,750.0
154,2012-12-23,650.0
155,2012-12-30,526.0
156,2013-01-06,546.0
157,2013-01-13,644.0
158,2013-01-20,639.0
159,2013-01-27,707.0
160,2013-02-03,624.0
161,2013-02-10,637.0
162,2013-02-17,585.0
163,2013-02-24,669.0
164,2013-03-03,676.0
165,2013-03-10,708.0
166,2013-03-17,726.0
167,2013-03-24,728.0
168,2013-03-31,773.0
169,2013-04-07,750.0
170,2013-04-14,794.0
171,2013-04-21,722.0
172,2013-04-28,725.0
173,2013-05-05,644.0
174,2013-05-12,649.0
175,2013-05-19,709.0
176,2013-05-26,687.0
177,2013-06-02,763.0
178,2013-06-09,826.0
179,2013-06-16,838.0
180,2013-06-23,721.0
181,2013-06-30,750.0
182,2013-07-07,801.0
183,2013-07-14,814.0
184,2013-07-21,810.0
185,2013-07-28,691.0
186,2013-08-04,683.0
187,2013-08-11,691.0
188,2013-08-18,768.0
189,2013-08-25,843.0
190,2013-09-01,816.0
191,2013-09-08,800.0
192,2013-09-15,874.0
193,2013-09-22,818.0
194,2013-09-29,879.0
195,2013-10-06,961.0
196,2013-10-13,953.0
197,2013-10-20,974.0
198,2013-10-27,855.0
199,2013-11-03,913.0
200,2013-11-10,922.0
201,2013-11-17,1009.0
202,2013-11-24,928.0
203,2013-12-01,890.0
204,2013-12-08,899.0
205,2013-12-15,817.0
206,2013-12-22,752.0
207,2013-12-29,556.0
208,2014-01-05,508.0
209,2014-01-12,610.0
210,2014-01-19,611.0
211,2014-01-26,659.0
212,2014-02-02,641.0
213,2014-02-09,653.0
214,2014-02-16,689.0
215,2014-02-23,693.0
216,2014-03-02,721.0
217,2014-03-09,746.0
218,2014-03-16,792.0
219,2014-03-23,826.0
220,2014-03-30,752.0
221,2014-04-06,829.0
222,2014-04-13,838.0
223,2014-04-20,840.0
224,2014-04-27,806.0
225,2014-05-04,888.0
226,2014-05-11,860.0
227,2014-05-18,813.0
228,2014-05-25,832.0
229,2014-06-01,821.0
230,2014-06-08,840.0
231,2014-06-15,811.0
232,2014-06-22,862.0
233,2014-06-29,819.0
234,2014-07-06,815.0
235,2014-07-13,835.0
236,2014-07-20,793.0
237,2014-07-27,755.0
238,2014-08-03,747.0
239,2014-08-10,734.0
240,2014-08-17,759.0
241,2014-08-24,888.0
242,2014-08-31,932.0
243,2014-09-07,957.0
244,2014-09-14,972.0
245,2014-09-21,986.0
246,2014-09-28,1028.0
247,2014-10-05,1006.0
248,2014-10-12,1064.0
249,2014-10-19,1060.0
250,2014-10-26,1010.0
251,2014-11-02,929.0
252,2014-11-09,850.0
253,2014-11-16,819.0
254,2014-11-23,822.0
255,2014-11-30,788.0
256,2014-12-07,808.0
257,2014-12-14,761.0
258,2014-12-21,695.0
259,2014-12-28,508.0
260,2015-01-04,494.0
261,2015-01-11,553.0
262,2015-01-18,810.0
263,2015-01-25,905.0
264,2015-02-01,612.0
265,2015-02-08,610.0
266,2015-02-15,654.0
267,2015-02-22,697.0
268,2015-03-01,652.0
269,2015-03-08,637.0
270,2015-03-15,703.0
271,2015-03-22,699.0
272,2015-03-29,772.0
273,2015-04-05,737.0
274,2015-04-12,753.0
275,2015-04-19,769.0
276,2015-04-26,707.0
277,2015-05-03,813.0
278,2015-05-10,761.0
279,2015-05-17,724.0
280,2015-05-24,760.0
281,2015-05-31,740.0
282,2015-06-07,842.0
283,2015-06-14,750.0
284,2015-06-21,857.0
285,2015-06-28,843.0
286,2015-07-05,852.0
287,2015-07-12,925.0
288,2015-07-19,940.0
289,2015-07-26,861.0
290,2015-08-02,805.0
291,2015-08-09,775.0
292,2015-08-16,810.0
293,2015-08-23,906.0
294,2015-08-30,983.0
295,2015-09-06,939.0
296,2015-09-13,948.0
297,2015-09-20,994.0
298,2015-09-27,948.0
299,2015-10-04,1015.0
300,2015-10-11,1035.0
301,2015-10-18,1100.0
302,2015-10-25,1119.0
303,2015-11-01,1065.0
304,2015-11-08,1112.0
305,2015-11-15,1058.0
306,2015-11-22,1029.0
307,2015-11-29,968.0
308,2015-12-06,956.0
309,2015-12-13,921.0
310,2015-12-20,899.0
311,2015-12-27,705.0
312,2016-01-03,678.0
313,2016-01-10,722.0
314,2016-01-17,818.0
315,2016-01-24,874.0
316,2016-01-31,932.0
317,2016-02-07,944.0
318,2016-02-14,967.0
319,2016-02-21,993.0
320,2016-02-28,1116.0
321,2016-03-06,1127.0
322,2016-03-13,1194.0
323,2016-03-20,1132.0
324,2016-03-27,1199.0
325,2016-04-03,1262.0
326,2016-04-10,1249.0
327,2016-04-17,1287.0
328,2016-04-24,1312.0
329,2016-05-01,1202.0
330,2016-05-08,1203.0
331,2016-05-15,1008.0
332,2016-05-22,1001.0
333,2016-05-29,1098.0
334,2016-06-05,1063.0
335,2016-06-12,1073.0
336,2016-06-19,1073.0
337,2016-06-26,1049.0
338,2016-07-03,1067.0
339,2016-07-10,1055.0
340,2016-07-17,1183.0
341,2016-07-24,1179.0
342,2016-07-31,1082.0
343,2016-08-07,921.0
344,2016-08-14,939.0
345,2016-08-21,920.0
346,2016-08-28,980.0
347,2016-09-04,1004.0
348,2016-09-11,964.0
349,2016-09-18,1058.0
350,2016-09-25,977.0
351,2016-10-02,1056.0
352,2016-10-09,960.0
353,2016-10-16,1044.0
354,2016-10-23,1101.0
355,2016-10-30,1062.0
356,2016-11-06,1021.0
357,2016-11-13,1098.0
358,2016-11-20,1139.0
359,2016-11-27,1191.0
360,2016-12-04,1160.0
361,2016-12-11,1170.0
362,2016-12-18,1181.0
363,2016-12-25,1053.0
364,2017-01-01,798.0
365,2017-01-08,880.0
366,2017-01-15,1046.0
367,2017-01-22,1052.0
368,2017-01-29,1116.0
369,2017-02-05,1208.0
370,2017-02-12,1297.0
371,2017-02-19,1321.0
372,2017-02-26,1435.0
373,2017-03-05,1456.0
374,2017-03-12,1551.0
375,2017-03-19,1551.0
376,2017-03-26,1477.0
377,2017-04-02,1374.0
378,2017-04-09,1379.0
379,2017-04-16,1395.0
380,2017-04-23,1419.0
381,2017-04-30,1425.0
382,2017-05-07,1330.0
383,2017-05-14,1417.0
384,2017-05-21,1394.0
385,2017-05-28,1302.0
386,2017-06-04,1405.0
387,2017-06-11,1359.0
388,2017-06-18,1357.0
389,2017-06-25,1392.0
390,2017-07-02,1439.0
391,2017-07-09,1426.0
392,2017-07-16,1436.0
393,2017-07-23,1409.0
394,2017-07-30,1374.0
395,2017-08-06,1204.0
396,2017-08-13,1164.0
397,2017-08-20,1095.0
398,2017-08-27,1240.0
399,2017-09-03,1349.0
400,2017-09-10,1356.0
401,2017-09-17,1430.0
402,2017-09-24,1486.0
403,2017-10-01,1420.0
404,2017-10-08,1587.0
405,2017-10-15,1617.0
406,2017-10-22,1644.0
407,2017-10-29,1719.0
408,2017-11-05,1861.0
409,2017-11-12,1816.0
410,2017-11-19,1825.0
411,2017-11-26,1895.0
412,2017-12-03,1740.0
413,2017-12-10,1594.0
414,2017-12-17,1532.0
415,2017-12-24,1481.0
416,2017-12-31,1027.0
417,2018-01-07,1399.0
418,2018-01-14,1219.0
419,2018-01-21,1460.0
420,2018-01-28,1496.0
421,2018-02-04,1520.0
422,2018-02-11,1458.0
423,2018-02-18,1468.0
424,2018-02-25,1487.0
425,2018-03-04,1558.0
426,2018-03-11,1797.0
427,2018-03-18,1865.0
428,2018-03-25,1855.0
429,2018-04-01,1888.0
430,2018-04-08,1877.0
431,2018-04-15,1819.0
432,2018-04-22,1878.0
433,2018-04-29,1823.0
434,2018-05-06,2010.0
435,2018-05-13,2046.0
436,2018-05-20,2077.0
437,2018-05-27,1932.0
438,2018-06-03,1875.0
439,2018-06-10,1985.0
440,2018-06-17,2035.0
441,2018-06-24,1957.0
442,2018-07-01,1997.0
443,2018-07-08,2018.0
444,2018-07-15,1971.0
445,2018-07-22,1937.0
446,2018-07-29,1887.0
447,2018-08-05,1775.0
448,2018-08-12,1693.0
449,2018-08-19,1717.0
450,2018-08-26,1857.0
451,2018-09-02,1974.0
452,2018-09-09,2086.0
453,2018-09-16,2163.0
454,2018-09-23,2315.0
455,2018-09-30,2380.0
456,2018-10-07,2288.0
457,2018-10-14,2285.0
458,2018-10-21,2260.0
459,2018-10-28,2437.0
460,2018-11-04,2452.0
461,2018-11-11,2485.0
462,2018-11-18,2322.0
463,2018-11-25,2460.0
464,2018-12-02,2437.0
465,2018-12-09,2287.0
466,2018-12-16,2279.0
467,2018-12-23,2143.0
468,2018-12-30,1402.0
469,2019-01-06,1610.0
470,2019-01-13,1759.0
471,2019-01-20,1848.0
472,2019-01-27,1878.0
473,2019-02-03,1900.0
474,2019-02-10,1942.0
475,2019-02-17,2084.0
476,2019-02-24,2227.0
477,2019-03-03,2283.0
478,2019-03-10,2284.0
479,2019-03-17,2226.0
480,2019-03-24,2388.0
481,2019-03-31,2384.0
482,2019-04-07,2708.0
483,2019-04-14,2755.0
484,2019-04-21,2497.0
485,2019-04-28,2474.0
486,2019-05-05,2529.0
487,2019-05-12,2582.0
488,2019-05-19,2506.0
489,2019-05-26,2474.0
490,2019-06-02,2220.0
491,2019-06-09,2347.0
492,2019-06-16,2527.0
493,2019-06-23,2598.0
494,2019-06-30,2504.0
495,2019-07-07,2516.0
496,2019-07-14,2304.0
497,2019-07-21,2348.0
498,2019-07-28,2170.0
499,2019-08-04,1997.0
500,2019-08-11,1971.0
501,2019-08-18,2030.0
502,2019-08-25,2225.0
503,2019-09-01,2248.0
504,2019-09-08,2242.0
505,2019-09-15,2543.0
506,2019-09-22,2739.0
507,2019-09-29,2701.0
508,2019-10-06,2559.0
509,2019-10-13,2584.0
510,2019-10-20,2641.0
511,2019-10-27,2711.0
512,2019-11-03,2657.0
513,2019-11-10,2648.0
514,2019-11-17,2727.0
515,2019-11-24,2620.0
516,2019-12-01,2556.0
517,2019-12-08,2504.0
518,2019-12-15,2364.0
519,2019-12-22,2261.0
520,2019-12-29,1738.0
521,2020-01-05,1675.0
522,2020-01-12,1999.0
523,2020-01-19,2094.0
524,2020-01-26,2078.0
525,2020-02-02,2006.0
526,2020-02-09,2043.0
