,End_Order,End_Datum,Ret_Aantal
1917607,458754,24-05-2019,2.0
1917611,458754,24-05-2019,12.0
205757,327684,10-03-2010,4.0
3033961,524293,15-12-2021,2.0
3042537,524294,22-12-2021,4.0
1935693,458759,28-05-2019,2.0
1917534,458759,14-05-2019,2.0
3020894,524296,14-12-2021,1.0
3020922,524296,14-12-2021,2.0
3029315,524296,14-12-2021,5.0
2507016,491524,13-10-2020,2.0
2625039,491529,11-01-2021,1.0
2625046,491529,11-01-2021,3.0
2625050,491529,11-01-2021,2.0
1925981,458763,17-05-2019,5.0
206497,327692,12-03-2010,2.0
1462494,425997,11-12-2017,4.0
1449381,426000,08-12-2017,4.0
1449392,426000,08-12-2017,4.0
1926030,458770,17-05-2019,5.0
1466894,426004,21-12-2017,4.0
3041842,524311,21-12-2021,2.0
1008815,393240,10-03-2016,3.0
1450965,426009,07-12-2017,8.0
1985357,458775,11-07-2019,2.0
1449562,426011,08-12-2017,3.0
2446943,491548,03-09-2020,1.0
2446947,491548,03-09-2020,4.0
2446960,491548,03-09-2020,1.0
2459479,491549,04-09-2020,2.0
2459484,491549,04-09-2020,4.0
2459489,491549,04-09-2020,2.0
2467669,491551,10-09-2020,2.0
577457,360480,27-09-2013,1.0
583515,360480,04-10-2013,3.0
583519,360480,04-10-2013,1.0
580287,360482,27-09-2013,4.0
2446968,491554,17-07-2020,1.0
1917917,458791,13-05-2019,3.0
1008930,393256,14-03-2016,2.0
1008955,393256,14-03-2016,3.0
1011714,393265,11-03-2016,4.0
1011716,393265,11-03-2016,6.0
3044964,524337,24-12-2021,3.0
3044966,524337,24-12-2021,1.0
204009,327729,02-03-2010,4.0
204012,327729,02-03-2010,4.0
3036605,524340,17-12-2021,5.0
1492353,426037,15-02-2018,2.0
1485606,426037,05-02-2018,1.0
1485621,426037,05-02-2018,2.0
2008156,458804,02-08-2019,2.0
1999217,458804,24-07-2019,2.0
1999232,458804,24-07-2019,3.0
586275,360497,11-10-2013,4.0
1952020,458809,13-06-2019,6.0
2038270,458812,19-08-2019,3.0
2038289,458812,19-08-2019,4.0
2038291,458812,19-08-2019,1.0
1009210,393279,16-03-2016,2.0
1009217,393279,16-03-2016,2.0
2448162,491583,03-09-2020,2.0
1456208,426052,12-12-2017,2.0
1861223,426053,22-03-2019,3.0
1949976,426053,12-06-2019,1.0
3031595,524359,16-12-2021,3.0
3031603,524359,16-12-2021,4.0
221917,327752,12-05-2010,1.0
221922,327752,12-05-2010,3.0
228638,327752,01-06-2010,1.0
3039122,524361,21-12-2021,4.0
1450289,426058,14-12-2017,1.0
1450293,426058,14-12-2017,2.0
3021739,524363,14-12-2021,4.0
1009331,393292,09-03-2016,2.0
3021760,524364,10-12-2021,4.0
3021731,524366,21-12-2021,1.0
1918219,458825,13-05-2019,2.0
221883,327754,12-05-2010,2.0
1918228,458828,21-05-2019,2.0
221853,327757,12-05-2010,4.0
1955890,458831,20-06-2019,2.0
3021770,524372,08-12-2021,2.0
3021771,524372,08-12-2021,3.0
3021796,524373,08-12-2021,3.0
3021798,524373,08-12-2021,3.0
3021873,524374,08-12-2021,3.0
1457789,426071,20-12-2017,1.0
1457801,426071,20-12-2017,4.0
1473399,426072,12-01-2018,6.0
1473400,426072,12-01-2018,1.0
1918282,458836,13-05-2019,4.0
1918292,458836,13-05-2019,4.0
1918334,458837,14-05-2019,5.0
1918347,458837,14-05-2019,4.0
1918505,458838,15-05-2019,3.0
1918506,458838,15-05-2019,4.0
577774,360532,14-10-2013,4.0
577795,360532,22-10-2013,3.0
577809,360532,22-10-2013,5.0
2447759,491605,11-09-2020,2.0
203088,327774,03-03-2010,5.0
2639031,491607,21-01-2021,2.0
209500,327776,19-03-2010,3.0
3022143,524385,16-12-2021,4.0
2500501,491612,06-10-2020,3.0
2500505,491612,06-10-2020,2.0
2463254,491614,10-09-2020,4.0
2463262,491614,10-09-2020,1.0
2472007,491616,15-09-2020,3.0
2458580,491619,03-09-2020,2.0
577962,360548,30-09-2013,2.0
583573,360548,08-10-2013,2.0
577984,360548,24-07-2014,3.0
577991,360548,24-07-2014,2.0
577995,360548,24-07-2014,2.0
2504072,491623,14-09-2020,2.0
2504092,491623,14-09-2020,2.0
1085803,393320,29-07-2016,10.0
2562460,491625,31-10-2020,4.0
2562467,491625,31-10-2020,3.0
1918559,458859,16-05-2019,2.0
600949,360555,05-11-2013,2.0
2448269,491632,28-08-2020,2.0
2448271,491632,28-08-2020,2.0
2448202,491633,28-08-2020,2.0
2448214,491633,28-08-2020,4.0
600886,360562,30-10-2013,1.0
665785,360562,28-03-2014,1.0
1451042,426101,22-12-2017,3.0
2448222,491637,01-09-2020,4.0
1038568,393335,02-05-2016,2.0
1029689,393335,15-04-2016,1.0
1488844,426105,19-01-2018,0.0
1019748,393339,29-03-2016,1.0
1019768,393339,29-03-2016,3.0
587269,360571,15-10-2013,2.0
1475706,426111,19-01-2018,2.0
3023223,524416,16-12-2021,8.0
1461532,426112,21-12-2017,5.0
2477080,491647,17-09-2020,3.0
2448425,491650,01-09-2020,1.0
2448428,491650,01-09-2020,9.0
1918978,458886,16-05-2019,2.0
1456168,426120,13-12-2017,2.0
3036932,524425,17-12-2021,3.0
269384,327816,24-11-2010,1.0
269390,327816,24-11-2010,1.0
269400,327816,24-11-2010,4.0
583885,360591,04-10-2013,2.0
1922012,458897,21-05-2019,3.0
2449361,491666,27-08-2020,3.0
2448699,491672,12-09-2020,2.0
2573902,491672,25-11-2020,2.0
2573907,491672,25-11-2020,2.0
2448748,491677,08-09-2020,2.0
2483598,491678,23-09-2020,8.0
1009878,393375,11-03-2016,2.0
2460858,491680,04-09-2020,3.0
2533502,491681,29-10-2020,1.0
2561534,491681,16-11-2020,3.0
