,Date,Net_month_art
0,2010-01-31,46.0
1,2010-02-28,98.0
2,2010-03-31,155.0
3,2010-04-30,154.0
4,2010-05-31,147.0
5,2010-06-30,150.0
6,2010-07-31,118.0
7,2010-08-31,127.0
8,2010-09-30,264.0
9,2010-10-31,281.0
10,2010-11-30,269.0
11,2010-12-31,181.0
12,2011-01-31,154.0
13,2011-02-28,217.0
14,2011-03-31,253.0
15,2011-04-30,276.0
16,2011-05-31,272.0
17,2011-06-30,281.0
18,2011-07-31,270.0
19,2011-08-31,226.0
20,2011-09-30,267.0
21,2011-10-31,298.0
22,2011-11-30,317.0
23,2011-12-31,264.0
24,2012-01-31,205.0
25,2012-02-29,210.0
26,2012-03-31,273.0
27,2012-04-30,315.0
28,2012-05-31,273.0
29,2012-06-30,257.0
30,2012-07-31,268.0
31,2012-08-31,216.0
32,2012-09-30,220.0
33,2012-10-31,273.0
34,2012-11-30,327.0
35,2012-12-31,306.0
36,2013-01-31,198.0
37,2013-02-28,256.0
38,2013-03-31,356.0
39,2013-04-30,333.0
40,2013-05-31,316.0
41,2013-06-30,359.0
42,2013-07-31,356.0
43,2013-08-31,322.0
44,2013-09-30,401.0
45,2013-10-31,448.0
46,2013-11-30,438.0
47,2013-12-31,388.0
48,2014-01-31,303.0
49,2014-02-28,355.0
50,2014-03-31,416.0
51,2014-04-30,431.0
52,2014-05-31,409.0
53,2014-06-30,524.0
54,2014-07-31,483.0
55,2014-08-31,455.0
56,2014-09-30,464.0
57,2014-10-31,476.0
58,2014-11-30,397.0
59,2014-12-31,456.0
60,2015-01-31,309.0
61,2015-02-28,349.0
62,2015-03-31,355.0
63,2015-04-30,363.0
64,2015-05-31,330.0
65,2015-06-30,347.0
66,2015-07-31,393.0
67,2015-08-31,487.0
68,2015-09-30,476.0
69,2015-10-31,485.0
70,2015-11-30,523.0
71,2015-12-31,450.0
72,2016-01-31,424.0
73,2016-02-29,602.0
74,2016-03-31,620.0
75,2016-04-30,625.0
76,2016-05-31,601.0
77,2016-06-30,616.0
78,2016-07-31,714.0
79,2016-08-31,608.0
80,2016-09-30,600.0
81,2016-10-31,637.0
82,2016-11-30,610.0
83,2016-12-31,591.0
84,2017-01-31,634.0
85,2017-02-28,756.0
86,2017-03-31,865.0
87,2017-04-30,755.0
88,2017-05-31,800.0
89,2017-06-30,778.0
90,2017-07-31,747.0
91,2017-08-31,677.0
92,2017-09-30,741.0
93,2017-10-31,944.0
94,2017-11-30,1016.0
95,2017-12-31,893.0
96,2018-01-31,811.0
97,2018-02-28,803.0
98,2018-03-31,990.0
99,2018-04-30,1020.0
100,2018-05-31,1092.0
101,2018-06-30,961.0
102,2018-07-31,947.0
103,2018-08-31,928.0
104,2018-09-30,1089.0
105,2018-10-31,1173.0
106,2018-11-30,1170.0
107,2018-12-31,1044.0
108,2019-01-31,872.0
109,2019-02-28,1065.0
110,2019-03-31,1090.0
111,2019-04-30,1189.0
112,2019-05-31,1116.0
113,2019-06-30,1153.0
114,2019-07-31,1113.0
115,2019-08-31,1000.0
116,2019-09-30,1252.0
117,2019-10-31,1389.0
118,2019-11-30,1373.0
119,2019-12-31,1243.0
120,2020-01-31,1016.0
121,2020-02-29,1145.0
122,2020-03-31,1198.0
123,2020-04-30,1253.0
124,2020-05-31,1208.0
125,2020-06-30,1223.0
126,2020-07-31,1233.0
127,2020-08-31,1242.0
128,2020-09-30,1361.0
129,2020-10-31,1477.0
130,2020-11-30,1362.0
131,2020-12-31,1261.0
132,2021-01-31,948.0
133,2021-02-28,1108.0
134,2021-03-31,1151.0
135,2021-04-30,1032.0
136,2021-05-31,1030.0
137,2021-06-30,1077.0
138,2021-07-31,1071.0
139,2021-08-31,989.0
140,2021-09-30,1120.0
141,2021-10-31,1201.0
142,2021-11-30,1268.0
143,2021-12-31,1159.0
